wak,syllables,flag,a,b,c
ถ้าฉวยเปล่าแล้วสิอดเหมือนมดแดง,10,10 syllables — likely shatter/miscount,ถ้าฉวยเปล่าแล้วสิอดเหมือนมดแดง,,
ไม่คิดเลยหรือไฉนเมื่อไปสวน,11,11 syllables — likely shatter/miscount,ไม่คิดเลยหรือไฉนเมื่อไปสวน,,
อย่าลวนลามเหมือนที่สวนจะหวนหุน,12,12 syllables — likely shatter/miscount,อย่าลวนลามเหมือนที่สวนจะหวนหุน,,
พอรื้อไข้ขึ้นก็เหมือนดังเดือนเต็ม,10,10 syllables — likely shatter/miscount,พอรื้อไข้ขึ้นก็เหมือนดังเดือนเต็ม,,
เพราะคิดอ่านออกตัวกลัวมลทิน,9,word straddles a beat boundary,เพราะคิดอ่าน,ออกตัวกลัว,มลทิน
การนินทากาเลเหมือนเทน้ำ,9,word straddles a beat boundary,การนินทา,กาเลเหมือน,เทน้ำ
ไม่ชอกช้ำเหมือนเอามีดลงขีดหิน,10,10 syllables — likely shatter/miscount,ไม่ชอกช้ำเหมือนเอามีดลงขีดหิน,,
แม้นสิ้นโศกโรคภัยเหมือนใจหวัง,9,word straddles a beat boundary,แม้นสิ้นโศก,โรคภัยเหมือน,ใจหวัง
วาสนาอาภัพอัปภาคย์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",วาสนา,อาภัพ,อัปภาคย์
ทำลุกลวงลองใจจะไคลคลา,9,word straddles a beat boundary,ทำลุกลวง,ลองใจ,จะไคลคลา
เหมือนให้น้องครองชีวิตไว้สืบไป,10,10 syllables — likely shatter/miscount,เหมือนให้น้องครองชีวิตไว้สืบไป,,
ขึ้นบรรจถรณ์แท่นทองประคองเชย,9,word straddles a beat boundary,ขึ้นบรรจถรณ์,แท่นทอง,ประคองเชย
รู้สึกตัวกลัวจะว่ามาตอแย,10,10 syllables — likely shatter/miscount,รู้สึกตัวกลัวจะว่ามาตอแย,,
ผิดธรรมเนียมเจียมตัวกลัวนินทา,9,word straddles a beat boundary,ผิดธรรมเนียม,เจียมตัวกลัว,นินทา
ระกำกรมกรอมใจจนวายวาง,9,word straddles a beat boundary,ระกำกรมกรอม,ใจ,จนวายวาง
สมเด็จท้าวเจ้ากรุงบำรุงราษฎร์,10,10 syllables — likely shatter/miscount,สมเด็จท้าวเจ้ากรุงบำรุงราษฎร์,,
กับบังอรองค์อัครชายา,8,word straddles a beat boundary,กับบังอร,องค์อัคร,ชายา
เพชรรัตน์พรายพร่างสว่างไสว,8,word straddles a beat boundary,เพชรรัตน์พราย,พร่างสว่าง,ไสว
ให้ครองขัณฑเสมาพาราเรา,9,word straddles a beat boundary,ให้ครองขัณฑ,เสมา,พาราเรา
เห็นไพร่ฟ้าข้าแผ่นดินสิ้นทั้งหลาย,9,4-syllable word not at วรรค edge,เห็นไพร่ฟ้าข้าแผ่นดินสิ้นทั้งหลาย,,
