wak,syllables,flag,a,b,c
อยู่พร้อมพรั่งทั้งลูกศิษย์นางกฤษณา,10,10 syllables — likely shatter/miscount,อยู่พร้อมพรั่งทั้งลูกศิษย์นางกฤษณา,,
ฝ่ายศรีสุวรรณครั้นรู้ว่าศึกล่าทัพ,10,10 syllables — likely shatter/miscount,ฝ่ายศรีสุวรรณครั้นรู้ว่าศึกล่าทัพ,,
เหมือนต้นไม้ไม่กำจัดตัดต้นราก,10,10 syllables — likely shatter/miscount,เหมือนต้นไม้ไม่กำจัดตัดต้นราก,,
ไม่เหมือนทรวงเราที่รับแต่อับปาง,10,10 syllables — likely shatter/miscount,ไม่เหมือนทรวงเราที่รับแต่อับปาง,,
จนแก่ออกนอกบาญชียังมีครรภ์,10,10 syllables — likely shatter/miscount,จนแก่ออกนอกบาญชียังมีครรภ์,,
เหมือนควันโขมงแล้วจะปิดมันมิดหรือ,12,12 syllables — likely shatter/miscount,เหมือนควันโขมงแล้วจะปิดมันมิดหรือ,,
เหมือนต่อตีมิชนะถึงจะแพ้,10,10 syllables — likely shatter/miscount,เหมือนต่อตีมิชนะถึงจะแพ้,,
กำลังคลื่นครื้นเครงโคลงเคลงคลอน,9,word straddles a beat boundary,กำลังคลื่น,ครื้นเครงโคลงเคลง,คลอน
ให้ปวดป่วนเหมือนชีวิตจะปลิดปลง,10,10 syllables — likely shatter/miscount,ให้ปวดป่วนเหมือนชีวิตจะปลิดปลง,,
ที่สามไปปัศจิมทิศา,8,word straddles a beat boundary,ที่สามไป,ปัศจิม,ทิศา
ผิวเนื้อน้ำกัมพลเหมือนชนนี,10,10 syllables — likely shatter/miscount,ผิวเนื้อน้ำกัมพลเหมือนชนนี,,
จะทรมานนานช้าอยู่ว่าไร,9,word straddles a beat boundary,จะทรมาน,นานช้า,อยู่ว่าไร
ไม่ทันถึงครึ่งเดือนเหมือนจะรู้,9,word straddles a beat boundary,ไม่ทันถึง,ครึ่งเดือนเหมือน,จะรู้
เห็นหน้าแม่แลดูเหมือนรู้จัก,8,word straddles a beat boundary,เห็นหน้าแม่,แลดูเหมือน,รู้จัก
สลบไปแล้วก็คืนกลับฟื้นกาย,10,10 syllables — likely shatter/miscount,สลบไปแล้วก็คืนกลับฟื้นกาย,,
แล้วทูลถามตามระแคงแคลงวิญญาณ์,11,11 syllables — likely shatter/miscount,แล้วทูลถามตามระแคงแคลงวิญญาณ์,,
เหมือนอกใจนี้จะแตกแหลกทำลาย,10,10 syllables — likely shatter/miscount,เหมือนอกใจนี้จะแตกแหลกทำลาย,,
เกิดไม่ถึงกึ่งเดือนเหมือนผู้ใหญ่,9,word straddles a beat boundary,เกิดไม่ถึง,กึ่งเดือนเหมือน,ผู้ใหญ่
ภิปรายปราศรัยถามสามกุมาร,8,word straddles a beat boundary,ภิปรายปราศรัย,ถาม,สามกุมาร
พระมารดรจรจากไปฟากฟ้า,9,word straddles a beat boundary,พระมารดร,จรจาก,ไปฟากฟ้า
หรือบิดาว่าไม่รับจะกลับไป,10,10 syllables — likely shatter/miscount,หรือบิดาว่าไม่รับจะกลับไป,,
เทพจินดาน้องรองหม่อมฉาน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เทพจินดา,น้องรอง,หม่อมฉาน
พระอนุชาราเมศมีเหตุการณ์,10,10 syllables — likely shatter/miscount,พระอนุชาราเมศมีเหตุการณ์,,
ให้เรียกท่านมารดานาควรรณ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้เรียกท่าน,มารดา,นาควรรณ
ไปสามเดือนเฟื่อนถิ่นกระสินธุ์สาย,10,10 syllables — likely shatter/miscount,ไปสามเดือนเฟื่อนถิ่นกระสินธุ์สาย,,
พระเทวสินธุ์ยินเขาว่าอดอาหาร,10,10 syllables — likely shatter/miscount,พระเทวสินธุ์ยินเขาว่าอดอาหาร,,
แต่ลำที่นั่งพระมังคลาข้าวปลาสิ้น,10,10 syllables — likely shatter/miscount,แต่ลำที่นั่งพระมังคลาข้าวปลาสิ้น,,
เหมือนดินดิบหยิบเข้าเป็นเถ้าพราว,10,10 syllables — likely shatter/miscount,เหมือนดินดิบหยิบเข้าเป็นเถ้าพราว,,
ด้วยเรื่องราวคราวปฐมบุรมบุราณ,10,10 syllables — likely shatter/miscount,ด้วยเรื่องราวคราวปฐมบุรมบุราณ,,
พระพักตร์เหมือนเยื้อนยิ้มอิ่มอุดม,9,word straddles a beat boundary,พระพักตร์เหมือน,เยื้อนยิ้ม,อิ่มอุดม
รูปสุรางค์นางสนมประนมกร,10,10 syllables — likely shatter/miscount,รูปสุรางค์นางสนมประนมกร,,
เราอุปถัมภ์บำรุงชาวกรุงไกร,9,word straddles a beat boundary,เราอุปถัมภ์,บำรุง,ชาวกรุงไกร
ถือขันตีวิจารณาอุตสาหะ,10,10 syllables — likely shatter/miscount,ถือขันตีวิจารณาอุตสาหะ,,
