wak,syllables,flag,a,b,c
ดูคมขำสำอางเหมือนอย่างหุ่น,9,word straddles a beat boundary,ดูคมขำ,สำอางเหมือน,อย่างหุ่น
ดังดวงจิตปิตุเรศเกศกษัตริย์,10,10 syllables — likely shatter/miscount,ดังดวงจิตปิตุเรศเกศกษัตริย์,,
เป็นพี่เลี้ยงเคียงพระราชธิดา,9,word straddles a beat boundary,เป็นพี่เลี้ยง,เคียงพระราชธิดา,
นายทหารเหน็บกริชฤทธิรุทร,10,10 syllables — likely shatter/miscount,นายทหารเหน็บกริชฤทธิรุทร,,
ทั้งใต้เหนือคอยระวังให้นั่งยาม,10,10 syllables — likely shatter/miscount,ทั้งใต้เหนือคอยระวังให้นั่งยาม,,
พวกล้าต้าต้นหนพลไพร่,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พวกล้าต้า,ต้นหน,พลไพร่
ที่ในท้องวังวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ที่ในท้อง,วังวน,ชลสาย
ปรึกษาราชการร้อนคิดผ่อนผัน,9,word straddles a beat boundary,ปรึกษาราชการ,ร้อน,คิดผ่อนผัน
ให้หาโหรมาทำนายทายลัคน์จันทร์,10,10 syllables — likely shatter/miscount,ให้หาโหรมาทำนายทายลัคน์จันทร์,,
ไปทางทิศหรดีที่สำคัญ,9,4-syllable word not at วรรค edge,ไปทางทิศหรดีที่สำคัญ,,
จัดขุนนางอาสาจามตามบาญชี,10,10 syllables — likely shatter/miscount,จัดขุนนางอาสาจามตามบาญชี,,
ไปตามทิศหรดีวิถีทาง,9,4-syllable word not at วรรค edge,ไปตามทิศหรดีวิถีทาง,,
เขาย่อมว่ากลิ่นตัวเหมือนหัวหอม,9,word straddles a beat boundary,เขาย่อมว่า,กลิ่นตัวเหมือน,หัวหอม
เล่นเอาหญิงอ่อนละมุนเหมือนวุ้นลาย,10,10 syllables — likely shatter/miscount,เล่นเอาหญิงอ่อนละมุนเหมือนวุ้นลาย,,
ต้องลอกคราบยอมเป็นเมียเหมือนเบี้ยหงาย,10,10 syllables — likely shatter/miscount,ต้องลอกคราบยอมเป็นเมียเหมือนเบี้ยหงาย,,
เหมือนส้มสูกแทรกเจือเหลือขยัน,10,10 syllables — likely shatter/miscount,เหมือนส้มสูกแทรกเจือเหลือขยัน,,
อันวิชาเรียนร่ำเหมือนน้ำอ้อย,9,word straddles a beat boundary,อันวิชา,เรียนร่ำเหมือน,น้ำอ้อย
ขอกล่าวกลับจับความเรือตามหา,9,word straddles a beat boundary,ขอกล่าวกลับ,จับความ,เรือตามหา
เข้าแดนชวาเห็นละเมาะเกาะทั้งสอง,10,10 syllables — likely shatter/miscount,เข้าแดนชวาเห็นละเมาะเกาะทั้งสอง,,
ชะวุ้งชะวากปากน้ำเหมือนลำคลอง,10,10 syllables — likely shatter/miscount,ชะวุ้งชะวากปากน้ำเหมือนลำคลอง,,
ฝ่ายไทท้าวเจ้าพารามหากษัตริย์,10,10 syllables — likely shatter/miscount,ฝ่ายไทท้าวเจ้าพารามหากษัตริย์,,
สรงสหัสธาราทาพิมเสน,9,4-syllable word not at วรรค edge,สรงสหัสธาราทาพิมเสน,,
ออกพระโรงรจนาฝากระจก,10,10 syllables — likely shatter/miscount,ออกพระโรงรจนาฝากระจก,,
ถวายบรรณาการแจ้งบ้านเมือง,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ถวายบรรณาการ,แจ้ง,บ้านเมือง
ประโคมสังข์แตรแซ่ประสาน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ประโคมสังข์,แตรแซ่,ประสาน
บำรุงรักราษฎรอาวรณ์ถวิล,10,10 syllables — likely shatter/miscount,บำรุงรักราษฎรอาวรณ์ถวิล,,
ก็ยุรยาตรจากสุวรรณบรรจถรณ์,10,10 syllables — likely shatter/miscount,ก็ยุรยาตรจากสุวรรณบรรจถรณ์,,
ทิวงคตหมดวงศ์หมดพงศ์พันธุ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทิวงคตหมด,วงศ์หมด,พงศ์พันธุ์
ขึ้นเสวยสวรรยาราชาภิเษก,10,10 syllables — likely shatter/miscount,ขึ้นเสวยสวรรยาราชาภิเษก,,
มอบเศวตฉัตรชัยทั้งไอศูรย์,9,4-syllable word not at วรรค edge,มอบเศวตฉัตรชัยทั้งไอศูรย์,,
ชื่อพระมังคลานราราช,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ชื่อพระมัง,คลานรา,ราช
นางมอบราชสมบัติเหมือนมาดหมาย,10,10 syllables — likely shatter/miscount,นางมอบราชสมบัติเหมือนมาดหมาย,,
ให้ข้าพเจ้าอยู่รักษาอาณาเขต,10,10 syllables — likely shatter/miscount,ให้ข้าพเจ้าอยู่รักษาอาณาเขต,,
แม้นมิพบเจ้านายเหมือนหมายมุ่ง,9,word straddles a beat boundary,แม้นมิพบ,เจ้านายเหมือน,หมายมุ่ง
ขอขึ้นกรุงสำปันหนาเหมือนข้าหวัง,10,10 syllables — likely shatter/miscount,ขอขึ้นกรุงสำปันหนาเหมือนข้าหวัง,,
จะขอตั้งสัจจาเหมือนมาทูล,9,word straddles a beat boundary,จะขอตั้ง,สัจจาเหมือน,มาทูล
