wak,syllables,flag,guess,a,b,c
พระอนุชาน้อมคำนับรับโองการ,10,10 syllables — likely shatter/miscount,พระอนุชาน้อมคำนับรับโองการ,,,
ให้บ่าวไพร่ไปกำกับกำชับกำชา,10,10 syllables — likely shatter/miscount,ให้บ่าวไพร่ไปกำกับกำชับกำชา,,,
ทั้งโหมดตาดอัตลัดเข็มขัดขัน,10,10 syllables — likely shatter/miscount,ทั้งโหมดตาดอัตลัดเข็มขัดขัน,,,
เห็นทรงศักดิ์อัคเรศร่วมบัลลังก์,10,10 syllables — likely shatter/miscount,เห็นทรงศักดิ์อัคเรศร่วมบัลลังก์,,,
เจ้าเป็นหญิงจริงอยู่แต่สู้รบ,9,4-syllable word not at วรรค edge,เจ้าเป็นหญิงจริงอยู่แต่สู้รบ,,,
เมื่อเธอมีโอรสยศไกร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เมื่อเธอมี | โอรส | ยศไกร,,,
ไม่แช่มช้อยผุดผ่องเหมือนต้องผี,9,word straddles a beat boundary,ไม่แช่มช้อย | ผุดผ่องเหมือน | ต้องผี,,,
นางรำภาข้าจะกลับกองทัพแล้ว,10,10 syllables — likely shatter/miscount,นางรำภาข้าจะกลับกองทัพแล้ว,,,
ยังรำลึกนึกเห็นเหมือนเช่นเคย,9,word straddles a beat boundary,ยังรำลึก | นึกเห็นเหมือน | เช่นเคย,,,
จะชวนเจ้าเยาวลักษณ์ไปนัคเรศ,10,10 syllables — likely shatter/miscount,จะชวนเจ้าเยาวลักษณ์ไปนัคเรศ,,,
จะถือเพศพุทธกิจหรือคิดไฉน,10,10 syllables — likely shatter/miscount,จะถือเพศพุทธกิจหรือคิดไฉน,,,
ไม่ถือโทษโทษารำภาสะหรี,10,10 syllables — likely shatter/miscount,ไม่ถือโทษโทษารำภาสะหรี,,,
ขอฝากรักไว้กับนางต่างภาษา,10,10 syllables — likely shatter/miscount,ขอฝากรักไว้กับนางต่างภาษา,,,
ถึงมิเมินก็เหมือนเมินด้วยเกินกาย,10,10 syllables — likely shatter/miscount,ถึงมิเมินก็เหมือนเมินด้วยเกินกาย,,,
ค่อยก้มกรายกราบลากลับมาเตียง,9,word straddles a beat boundary,ค่อยก้มกราย | กราบลากลับ | มาเตียง,,,
อย่าให้อันตรายมีทางนี้เลย,9,word straddles a beat boundary,อย่าให้อันตราย | มี | ทางนี้เลย,,,
ใคร่พานางไปนิเวศน์ประเทศสถาน,10,10 syllables — likely shatter/miscount,ใคร่พานางไปนิเวศน์ประเทศสถาน,,,
พรุ่งนี้เช้าเราจะกลับกองทัพแล้ว,10,10 syllables — likely shatter/miscount,พรุ่งนี้เช้าเราจะกลับกองทัพแล้ว,,,
เข้าตึกทองห้องละเวงวัณฬาสนิท,10,10 syllables — likely shatter/miscount,เข้าตึกทองห้องละเวงวัณฬาสนิท,,,
เหมือนจะรู้อยู่ว่าโศกเพราะโรครัก,10,10 syllables — likely shatter/miscount,เหมือนจะรู้อยู่ว่าโศกเพราะโรครัก,,,
พระชลนาคลอคลองประคองเคียง,9,word straddles a beat boundary,พระชลนา | คลอคลอง | ประคองเคียง,,,
ค่อยสวมสอดกอดประทับนางกลับตื่น,10,10 syllables — likely shatter/miscount,ค่อยสวมสอดกอดประทับนางกลับตื่น,,,
ให้ศรีสวัสดิ์สิ้นทุกข์สิ้นยุคเข็ญ,9,word straddles a beat boundary,ให้ศรีสวัสดิ์ | สิ้นทุกข์ | สิ้นยุคเข็ญ,,,
เหมือนตัวพี่ผู้บิดาให้ถาวร,10,10 syllables — likely shatter/miscount,เหมือนตัวพี่ผู้บิดาให้ถาวร,,,
ระทวยทับกับพระเพลาเฝ้าชะอ้อน,10,10 syllables — likely shatter/miscount,ระทวยทับกับพระเพลาเฝ้าชะอ้อน,,,
แต่ชาติก่อนกรรมน้องมากเหมือนพรากนก,10,10 syllables — likely shatter/miscount,แต่ชาติก่อนกรรมน้องมากเหมือนพรากนก,,,
ได้พึ่งบุญทูลกระหม่อมเหมือนฉัตรแก้ว,10,10 syllables — likely shatter/miscount,ได้พึ่งบุญทูลกระหม่อมเหมือนฉัตรแก้ว,,,
จะคลาดแคล้วคล้อยเคลื่อนเหมือนเดือนดับ,9,word straddles a beat boundary,จะคลาดแคล้ว | คล้อยเคลื่อนเหมือน | เดือนดับ,,,
ยังคืนกลับมาสว่างเมื่อกลางเดือน,10,10 syllables — likely shatter/miscount,ยังคืนกลับมาสว่างเมื่อกลางเดือน,,,
เหมือนเดือนส่องภพไตรใครจะเหมือน,10,10 syllables — likely shatter/miscount,เหมือนเดือนส่องภพไตรใครจะเหมือน,,,
จะนับปีมิได้กลับมาเยี่ยมเยือน,10,10 syllables — likely shatter/miscount,จะนับปีมิได้กลับมาเยี่ยมเยือน,,,
พระกอดองค์นงลักษณ์อัคเรศ,9,word straddles a beat boundary,พระกอดองค์ | นงลักษณ์อัค | เรศ,,,
