wak,syllables,flag,a,b,c
จึงเขียนเวทวิทยาวิชาขยัน,10,10 syllables — likely shatter/miscount,จึงเขียนเวทวิทยาวิชาขยัน,,
ฝรั่งแขกแยกกันนั่งสังวัธยาย,10,10 syllables — likely shatter/miscount,ฝรั่งแขกแยกกันนั่งสังวัธยาย,,
เสนหาอาวรณ์ร้อนฤทัย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เสนหาอา,วรณ์ร้อน,ฤทัย
สักปีครึ่งจึงจะกลับมารับน้อง,10,10 syllables — likely shatter/miscount,สักปีครึ่งจึงจะกลับมารับน้อง,,
ด้วยพรั่นตัวกลัวภัยผีเสื้อสมุทร,10,10 syllables — likely shatter/miscount,ด้วยพรั่นตัวกลัวภัยผีเสื้อสมุทร,,
สงสารกายอยู่แต่ตนทนทรมาน,10,10 syllables — likely shatter/miscount,สงสารกายอยู่แต่ตนทนทรมาน,,
เหมือนอุ้มทุกข์ไปสักเท่าภูเขาหลวง,10,10 syllables — likely shatter/miscount,เหมือนอุ้มทุกข์ไปสักเท่าภูเขาหลวง,,
ถ้าโฉมฉายวายวางเหมือนอย่างว่า,9,word straddles a beat boundary,ถ้าโฉมฉาย,วายวางเหมือน,อย่างว่า
แล้วหยิบธำมรงค์ครุฑบุษรา,10,10 syllables — likely shatter/miscount,แล้วหยิบธำมรงค์ครุฑบุษรา,,
จะระหกระเหินไปไกลสถาน,9,4-syllable word not at วรรค edge,จะระหกระเหินไปไกลสถาน,,
ขอฝากไว้ใต้บาทเหมือนมาดหมาย,9,word straddles a beat boundary,ขอฝากไว้,ใต้บาทเหมือน,มาดหมาย
อย่ามีทุกข์สุขังมังคลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อย่ามีทุกข์,สุขัง,มังคลา
อันของฉันมันเผือกผลาผล,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อันของฉัน,มันเผือก,ผลาผล
อยู่พร้อมเพรียงนักสนมกรมใน,8,word straddles a beat boundary,อยู่พร้อมเพรียง,นักสนม,กรมใน
ตาต้องมาตามตัวกลัวจะหนี,9,word straddles a beat boundary,ตาต้องมา,ตามตัวกลัว,จะหนี
พระมารดรวอนชวนให้ชมเชย,9,word straddles a beat boundary,พระมารดร,วอนชวน,ให้ชมเชย
สิทธาเฒ่าสาวสุรางค์สำรวลสรวล,10,10 syllables — likely shatter/miscount,สิทธาเฒ่าสาวสุรางค์สำรวลสรวล,,
ทั้งกินอาบน้ำท่าผลาผล,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งกินอาบ,น้ำท่า,ผลาผล
โพยภัยอันตรายอย่าแผ้วพาน,8,word straddles a beat boundary,โพยภัยอันตราย,อย่า,แผ้วพาน
ทำลอมแลมลดเลี้ยวเกี้ยวสีกา,10,10 syllables — likely shatter/miscount,ทำลอมแลมลดเลี้ยวเกี้ยวสีกา,,
จึงบอกว่าบิตุรงค์นี้จงใจ,10,10 syllables — likely shatter/miscount,จึงบอกว่าบิตุรงค์นี้จงใจ,,
พระหน่อนาถนั่งกวนนวลหง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระหน่อนาถ,นั่งกวน,นวลหง
หรือมารดรเดือดใจไม่ไยดี,9,word straddles a beat boundary,หรือมารดร,เดือดใจ,ไม่ไยดี
จะจัดแจงแต่งการภิเษกศรี,9,word straddles a beat boundary,จะจัดแจง,แต่งการภิเษก,ศรี
ให้ทรงยศโปรดเกศเหมือนเชษฐา,9,word straddles a beat boundary,ให้ทรงยศ,โปรดเกศเหมือน,เชษฐา
บนบรรจถรณ์นางประทับให้หลับไป,10,10 syllables — likely shatter/miscount,บนบรรจถรณ์นางประทับให้หลับไป,,
เหมือนคำของทรามสงวนนวลหง,9,word straddles a beat boundary,เหมือนคำ,ของทรามสงวน,นวลหง
จะหาไหนได้เหมือนนุชสุดเสียดาย,10,10 syllables — likely shatter/miscount,จะหาไหนได้เหมือนนุชสุดเสียดาย,,
เหมือนอิเหนาเผาเมืองเรื่องยังมี,9,word straddles a beat boundary,เหมือนอิเหนา,เผาเมือง,เรื่องยังมี
เจ้าจงหลอกลวงแม่พูดแก้ไข,8,word straddles a beat boundary,เจ้าจงหลอกลวง,แม่,พูดแก้ไข
ทำซบพักตร์ลงกับเพลาเฝ้าร้องไห้,10,10 syllables — likely shatter/miscount,ทำซบพักตร์ลงกับเพลาเฝ้าร้องไห้,,
จึงซ้ำซักทรามสวาทเหมือนมาดหมาย,10,10 syllables — likely shatter/miscount,จึงซ้ำซักทรามสวาทเหมือนมาดหมาย,,
อย่าเพ่อปลดเปลื้องชีวาตม์ให้ขาดสูญ,10,10 syllables — likely shatter/miscount,อย่าเพ่อปลดเปลื้องชีวาตม์ให้ขาดสูญ,,
ไปว่าขานขอชีวิตพระบิตุรงค์,10,10 syllables — likely shatter/miscount,ไปว่าขานขอชีวิตพระบิตุรงค์,,
ว่าตามแต่องค์พระบิดาจะปรานี,10,10 syllables — likely shatter/miscount,ว่าตามแต่องค์พระบิดาจะปรานี,,
จึงหยิบธำมรงค์เพชรเจ็ดกะรัต,10,10 syllables — likely shatter/miscount,จึงหยิบธำมรงค์เพชรเจ็ดกะรัต,,
นางยิ้มหยิบธำมรงค์มาทรงใส่,10,10 syllables — likely shatter/miscount,นางยิ้มหยิบธำมรงค์มาทรงใส่,,
กลัวแต่ที่เธอจะทำโจนน้ำตาย,10,10 syllables — likely shatter/miscount,กลัวแต่ที่เธอจะทำโจนน้ำตาย,,
แล้วเอนองค์ลงเอกเขนกเขนย,9,word straddles a beat boundary,แล้วเอนองค์,ลงเอกเขนก,เขนย
