wak,syllables,flag,a,b,c
อยู่ด้วยนางดวงประไพได้กว่าปี,10,10 syllables — likely shatter/miscount,อยู่ด้วยนางดวงประไพได้กว่าปี,,
ตามแต่อัธยาศัยพระทัยถวิล,10,10 syllables — likely shatter/miscount,ตามแต่อัธยาศัยพระทัยถวิล,,
ขออภิวาทบาทมูลจะทูลลา,10,10 syllables — likely shatter/miscount,ขออภิวาทบาทมูลจะทูลลา,,
ขุนเสนีตำมะหงงเร่งลงเรือ,10,10 syllables — likely shatter/miscount,ขุนเสนีตำมะหงงเร่งลงเรือ,,
ทั้งปืนผาประจุไว้อย่าไผลเผล,10,10 syllables — likely shatter/miscount,ทั้งปืนผาประจุไว้อย่าไผลเผล,,
ทั้งบิตุเรศนางพระยาอัชฌาสัย,10,10 syllables — likely shatter/miscount,ทั้งบิตุเรศนางพระยาอัชฌาสัย,,
แม้นทินกรแจ่มสีรวีวรรณ,9,word straddles a beat boundary,แม้นทินกร,แจ่มสี,รวีวรรณ
จงวัฒนาศรีสวัสดิ์กำจัดภัย,10,10 syllables — likely shatter/miscount,จงวัฒนาศรีสวัสดิ์กำจัดภัย,,
เหมือนฝนตกทั่วหมดสยดสยอง,10,10 syllables — likely shatter/miscount,เหมือนฝนตกทั่วหมดสยดสยอง,,
บากกำปั่นไปวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",บากกำปั่น,ไปวน,ชลสาย
แล้วให้ช่วยกลับใบไปฝ่ายเหนือ,10,10 syllables — likely shatter/miscount,แล้วให้ช่วยกลับใบไปฝ่ายเหนือ,,
เอาโยนทิ้งลงมาเหมือนว่าขาน,9,word straddles a beat boundary,เอาโยนทิ้ง,ลงมาเหมือน,ว่าขาน
ฝ่ายอนงค์องค์ประไพวิไลสมร,10,10 syllables — likely shatter/miscount,ฝ่ายอนงค์องค์ประไพวิไลสมร,,
ดูคล้ายคล้ายกันกับเสือนางเหลือกลัว,10,10 syllables — likely shatter/miscount,ดูคล้ายคล้ายกันกับเสือนางเหลือกลัว,,
เสียงเยือกเยืนจับจิตให้คิดกลัว,10,10 syllables — likely shatter/miscount,เสียงเยือกเยืนจับจิตให้คิดกลัว,,
นางว่าขานแล้วก็รีบไปหยิบพลัน,10,10 syllables — likely shatter/miscount,นางว่าขานแล้วก็รีบไปหยิบพลัน,,
มาเตรียมท่าจอมกษัตริย์ราชหงส์,8,word straddles a beat boundary,มาเตรียมท่า,จอมกษัตริย์,ราชหงส์
ขึ้นบรรจถรณ์นคเรศนิเวศน์วัง,10,10 syllables — likely shatter/miscount,ขึ้นบรรจถรณ์นคเรศนิเวศน์วัง,,
ทั้งเสนาข้าบาทพระญาติวงศ์,9,word straddles a beat boundary,ทั้งเสนา,ข้าบาทพระญาติ,วงศ์
มีครบถ้วนที่ในงานการภิเษก,10,10 syllables — likely shatter/miscount,มีครบถ้วนที่ในงานการภิเษก,,
