wak,syllables,flag,a,b,c
จะเหมือนหนึ่งฉันลงน้ำดำไปหรือ,10,10 syllables — likely shatter/miscount,จะเหมือนหนึ่งฉันลงน้ำดำไปหรือ,,
พระชลนัยน์ไหลหลั่งลงพรั่งพราย,9,word straddles a beat boundary,พระชลนัยน์,ไหลหลั่ง,ลงพรั่งพราย
ก็กลับได้สติฟื้นเหมือนตื่นนอน,11,11 syllables — likely shatter/miscount,ก็กลับได้สติฟื้นเหมือนตื่นนอน,,
ลืมพระเนตรเห็นบุตรกับอุศเรน,10,10 syllables — likely shatter/miscount,ลืมพระเนตรเห็นบุตรกับอุศเรน,,
ลูกจึงพลัดไปกับเหล่านางสาวศรี,10,10 syllables — likely shatter/miscount,ลูกจึงพลัดไปกับเหล่านางสาวศรี,,
จนไปถึงรมจักรนัครา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จนไปถึง,รมจักร,นัครา
จึงตรัสบอกอุศเรนเจนณรงค์,10,10 syllables — likely shatter/miscount,จึงตรัสบอกอุศเรนเจนณรงค์,,
ให้กราบกรานอุศเรนเจนณรงค์,10,10 syllables — likely shatter/miscount,ให้กราบกรานอุศเรนเจนณรงค์,,
ฝ่ายลูกท้าวเจ้าลังกาหน้าเป็นเหม,10,10 syllables — likely shatter/miscount,ฝ่ายลูกท้าวเจ้าลังกาหน้าเป็นเหม,,
ให้คืนได้ดวงสวาทเหมือนมาดหมาย,10,10 syllables — likely shatter/miscount,ให้คืนได้ดวงสวาทเหมือนมาดหมาย,,
เพชรรัตน์รจนามุกดาหาร,8,word straddles a beat boundary,เพชรรัตน์รจนา,มุก,ดาหาร
แกล้งเสชวนอุศเรนอันเรืองศรี,10,10 syllables — likely shatter/miscount,แกล้งเสชวนอุศเรนอันเรืองศรี,,
หัศเกนเจนปืนยืนประจำ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",หัศเกนเจน,ปืนยืน,ประจำ
ฉลององค์ทรงสวมกรวมสลับ,9,word straddles a beat boundary,ฉลององค์,ทรงสวมกรวม,สลับ
ปั้นเหน่งเนื่องเฟื่องกระหนกกระหนาบรัด,10,10 syllables — likely shatter/miscount,ปั้นเหน่งเนื่องเฟื่องกระหนกกระหนาบรัด,,
แล้วทรงทัดพระมหามาลาระบาย,10,10 syllables — likely shatter/miscount,แล้วทรงทัดพระมหามาลาระบาย,,
สอดฉลองพระบาทเพชรเสด็จมา,9,4-syllable word not at วรรค edge,สอดฉลองพระบาทเพชรเสด็จมา,,
ขึ้นแท่นทองที่นั่งทั้งอุศเรน,10,10 syllables — likely shatter/miscount,ขึ้นแท่นทองที่นั่งทั้งอุศเรน,,
เหล่าโยธีศรีสุวรรณกับสินสมุทร,10,10 syllables — likely shatter/miscount,เหล่าโยธีศรีสุวรรณกับสินสมุทร,,
พระชลนัยน์ไหลหลั่งลงพรั่งพราย,9,word straddles a beat boundary,พระชลนัยน์,ไหลหลั่ง,ลงพรั่งพราย
พระชลนานองเนตรสังเวชใจ,9,word straddles a beat boundary,พระชลนา,นองเนตร,สังเวชใจ
ว่าพระชนนีนาถจะขาดใจ,9,word straddles a beat boundary,ว่าพระชนนี,นาถ,จะขาดใจ
เหมือนทรามเชยช่วยธุระพระบิดา,10,10 syllables — likely shatter/miscount,เหมือนทรามเชยช่วยธุระพระบิดา,,
อันองค์อุศเรนนี้อารีนัก,10,10 syllables — likely shatter/miscount,อันองค์อุศเรนนี้อารีนัก,,
เธอผูกรักซื่อตรงเหมือนวงศา,9,word straddles a beat boundary,เธอผูกรัก,ซื่อตรงเหมือน,วงศา
เธอเป็นคู่สู่ขออรไท,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เธอเป็นคู่,สู่ขอ,อรไท
เดี๋ยวนี้เล่าเขาจะรับไปอภิเษก,10,10 syllables — likely shatter/miscount,เดี๋ยวนี้เล่าเขาจะรับไปอภิเษก,,
กลัวฝีมือเขากระมังนั่งร้องไห้,10,10 syllables — likely shatter/miscount,กลัวฝีมือเขากระมังนั่งร้องไห้,,
ว่าตามแต่ประดิพัทธไม่ขัดขืน,10,10 syllables — likely shatter/miscount,ว่าตามแต่ประดิพัทธไม่ขัดขืน,,
พระมารดาอย่าฟังจงยั่งยืน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระมารดา,อย่าฟัง,จงยั่งยืน
ให้แค้นคำพระอภัยใครจะเหมือน,10,10 syllables — likely shatter/miscount,ให้แค้นคำพระอภัยใครจะเหมือน,,
ตายเสียดีกว่าอยู่รับอัประมาน,9,word straddles a beat boundary,ตายเสียดีกว่า,อยู่รับ,อัประมาน
อัปยศอดสูอยู่ไม่รอด,8,word straddles a beat boundary,อัปยศอดสู,อยู่,ไม่รอด
ฉวยกระชากจากนางแล้วขว้างทิ้ง,9,word straddles a beat boundary,ฉวยกระชาก,จากนาง,แล้วขว้างทิ้ง
จะขอพบสุดสวาทเหมือนมาดหมาย,10,10 syllables — likely shatter/miscount,จะขอพบสุดสวาทเหมือนมาดหมาย,,
ครั้นคู่เก่าเขามารับก็กลับกลัว,11,11 syllables — likely shatter/miscount,ครั้นคู่เก่าเขามารับก็กลับกลัว,,
พระชลนัยน์ไหลซาบอาบพักตรา,10,10 syllables — likely shatter/miscount,พระชลนัยน์ไหลซาบอาบพักตรา,,
ลุกออกมากวักพระหัตถ์ตรัสเรียกน้อง,10,10 syllables — likely shatter/miscount,ลุกออกมากวักพระหัตถ์ตรัสเรียกน้อง,,
อุศเรนเห็นทำนองจะข้องขัด,10,10 syllables — likely shatter/miscount,อุศเรนเห็นทำนองจะข้องขัด,,
ยิ่งกลุ้มกลัดกล่าวแกล้งแถลงไข,10,10 syllables — likely shatter/miscount,ยิ่งกลุ้มกลัดกล่าวแกล้งแถลงไข,,
มิใช่คิดโหยกเหยกมาเสกสรร,10,10 syllables — likely shatter/miscount,มิใช่คิดโหยกเหยกมาเสกสรร,,
จึงต้องตามทรามสงวนนวลหง,8,word straddles a beat boundary,จึงต้องตาม,ทรามสงวน,นวลหง
น้องก็รักภูวเรศเหมือนเชษฐา,11,11 syllables — likely shatter/miscount,น้องก็รักภูวเรศเหมือนเชษฐา,,
แต่ลูกเต้าเขาไม่เหมือนคนทั้งปวง,10,10 syllables — likely shatter/miscount,แต่ลูกเต้าเขาไม่เหมือนคนทั้งปวง,,
ทรลักษณ์อกตัญญุตาเขา,9,4-syllable word not at วรรค edge,ทรลักษณ์อกตัญญุตาเขา,,
เพราะบิดามาด้วยอุศเรนนี้,10,10 syllables — likely shatter/miscount,เพราะบิดามาด้วยอุศเรนนี้,,
เจ้าทำผิดก็เหมือนพ่อทรยศ,10,10 syllables — likely shatter/miscount,เจ้าทำผิดก็เหมือนพ่อทรยศ,,
สินสมุทรสุดจะคิดถึงบิตุเรศ,10,10 syllables — likely shatter/miscount,สินสมุทรสุดจะคิดถึงบิตุเรศ,,
ที่ไหนนางจะยอมไปเหมือนใจจง,10,10 syllables — likely shatter/miscount,ที่ไหนนางจะยอมไปเหมือนใจจง,,
ถ้าแม้นพี่น้องนางมาด้วย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ถ้าแม้นพี่,น้องนาง,มาด้วย
นี่แหละงามตามตรงเหมือนพงศ์พันธุ์,9,word straddles a beat boundary,นี่แหละงาม,ตามตรงเหมือน,พงศ์พันธุ์
แต่เช่นนั้นนั่นก็เหมือนไม่ให้ไป,10,10 syllables — likely shatter/miscount,แต่เช่นนั้นนั่นก็เหมือนไม่ให้ไป,,
ถึงจะบอกออกเหมือนท่านจำนรรจา,10,10 syllables — likely shatter/miscount,ถึงจะบอกออกเหมือนท่านจำนรรจา,,
ว่าชิชะพูดเพราะช่างเหมาะเหมง,10,10 syllables — likely shatter/miscount,ว่าชิชะพูดเพราะช่างเหมาะเหมง,,
คิดว่าพ่อลูกกันเหมือนมั่นหมาย,9,word straddles a beat boundary,คิดว่าพ่อ,ลูกกันเหมือน,มั่นหมาย
สัประยุทธ์กันก็จิตจะคิดไฉน,10,10 syllables — likely shatter/miscount,สัประยุทธ์กันก็จิตจะคิดไฉน,,
คุณของท่านเลิศลบภพไตร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",คุณของท่าน,เลิศลบ,ภพไตร
เหมือนใจจืดเจ้าก็คงจะสงสัย,10,10 syllables — likely shatter/miscount,เหมือนใจจืดเจ้าก็คงจะสงสัย,,
เพราะลูกเต้าเขาไม่ชั่วไม่กลัวใคร,10,10 syllables — likely shatter/miscount,เพราะลูกเต้าเขาไม่ชั่วไม่กลัวใคร,,
ทั้งดุร้ายใจเหมือนเสือเหลือกำลัง,10,10 syllables — likely shatter/miscount,ทั้งดุร้ายใจเหมือนเสือเหลือกำลัง,,
ห้ามไม่ฟังเหมือนทุกคนเป็นจนใจ,10,10 syllables — likely shatter/miscount,ห้ามไม่ฟังเหมือนทุกคนเป็นจนใจ,,
