wak,syllables,flag,guess,a,b,c
อยู่สำนักเนินสิงคุตรกุฏิฤๅษี,10,10 syllables — likely shatter/miscount,อยู่สำนักเนินสิงคุตรกุฏิฤๅษี,,,
พลางเสด็จออกนอกกุฎีที่สำนัก,10,10 syllables — likely shatter/miscount,พลางเสด็จออกนอกกุฎีที่สำนัก,,,
ภิปรายปราศรัยน้องสองนารี,8,word straddles a beat boundary,ภิปรายปราศรัย | น้อง | สองนารี,,,
แล้วเทศนาปราศรัยให้ใจเย็น,9,word straddles a beat boundary,แล้วเทศนา | ปราศรัย | ให้ใจเย็น,,,
อันบทเบื้องเรื่องสัมผัสเหมือนมัดผูก,10,10 syllables — likely shatter/miscount,อันบทเบื้องเรื่องสัมผัสเหมือนมัดผูก,,,
เข้ากระดูกแล้วมันทำเสียหยำเหยอ,11,11 syllables — likely shatter/miscount,เข้ากระดูกแล้วมันทำเสียหยำเหยอ,,,
ทั้งเยาวมาลย์มัจฉาสีกาโยม,9,word straddles a beat boundary,ทั้งเยาวมาลย์ | มัจฉา | สีกาโยม,,,
พระเสด็จจรทางกสิณอภิญญาณ,10,10 syllables — likely shatter/miscount,พระเสด็จจรทางกสิณอภิญญาณ,,,
ดูสำราญท่าทางเหมือนอย่างเคย,9,word straddles a beat boundary,ดูสำราญ | ท่าทางเหมือน | อย่างเคย,,,
ละสมบัติพัสถานการพารา,9,4-syllable word not at วรรค edge,ละสมบัติพัสถานการพารา,,,
หรือเห็นภัยในคฤหัสถ์ตัดลูกเมีย,10,10 syllables — likely shatter/miscount,หรือเห็นภัยในคฤหัสถ์ตัดลูกเมีย,,,
ประเสริฐแล้วอุตสาห์เพียรตัดเสี้ยนหนาม,10,10 syllables — likely shatter/miscount,ประเสริฐแล้วอุตสาห์เพียรตัดเสี้ยนหนาม,,,
จะมีความสุขใจในนิพพาน,9,4-syllable word not at วรรค edge,จะมีความสุขใจในนิพพาน,,,
ทั้งปรนนิบัติพัดวีชุลีกร,9,word straddles a beat boundary,ทั้งปรนนิบัติ | พัดวี | ชุลีกร,,,
ทั้งเภสัชเพลาสารพัน,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งเภสัชเพลา | สารพัน,,,
พระสุริยาขึ้นสว่างกลางเวหน,10,10 syllables — likely shatter/miscount,พระสุริยาขึ้นสว่างกลางเวหน,,,
ขนุนขนันจันทน์อินผลลิ้นจี่,9,word straddles a beat boundary,ขนุนขนัน | จันทน์อิน | ผลลิ้นจี่,,,
กลัวจะไม่รอดแล้ววะเดชะบุญ,10,10 syllables — likely shatter/miscount,กลัวจะไม่รอดแล้ววะเดชะบุญ,,,
นางเงือกอยู่วังวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นางเงือกอยู่ | วังวน | ชลสาย,,,
แล้วเรียกสายสวาทพลางเหมือนอย่างเคย,10,10 syllables — likely shatter/miscount,แล้วเรียกสายสวาทพลางเหมือนอย่างเคย,,,
ตัวพี่จรกลับมาแล้วน้องแก้วเอ๋ย,10,10 syllables — likely shatter/miscount,ตัวพี่จรกลับมาแล้วน้องแก้วเอ๋ย,,,
เหมือนเสียงองค์ภูวไนยให้อาวรณ์,10,10 syllables — likely shatter/miscount,เหมือนเสียงองค์ภูวไนยให้อาวรณ์,,,
เห็นทรงฤทธิ์จิตปลี้มลืมความทุกข์,10,10 syllables — likely shatter/miscount,เห็นทรงฤทธิ์จิตปลี้มลืมความทุกข์,,,
สลบหลับเหมือนชีวาตม์จะขาดสูญ,11,11 syllables — likely shatter/miscount,สลบหลับเหมือนชีวาตม์จะขาดสูญ,,,
ก็ถึงภาวสัญญีนิ่งไม่ติงกาย,10,10 syllables — likely shatter/miscount,ก็ถึงภาวสัญญีนิ่งไม่ติงกาย,,,
จะตายแท้หรือว่าซบสลบไสล,10,10 syllables — likely shatter/miscount,จะตายแท้หรือว่าซบสลบไสล,,,
แกภาวนาช่วยชีวิตจิตอาวรณ์,10,10 syllables — likely shatter/miscount,แกภาวนาช่วยชีวิตจิตอาวรณ์,,,
เหมืองโรงร้านแต่พอยั้งกำลังกาย,10,10 syllables — likely shatter/miscount,เหมืองโรงร้านแต่พอยั้งกำลังกาย,,,
กูจะให้แต่ศีลเหมือนกินข้าว,9,word straddles a beat boundary,กูจะให้ | แต่ศีลเหมือน | กินข้าว,,,
จะพรรณนามาไปเหมือนไฟเผา,10,10 syllables — likely shatter/miscount,จะพรรณนามาไปเหมือนไฟเผา,,,
สัพลาวาจามุสาวาท,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สัพลาวา | จามุ | สาวาท,,,
พูดเลอะเทอะไปยังค่ำพย่ำเผยอ,10,10 syllables — likely shatter/miscount,พูดเลอะเทอะไปยังค่ำพย่ำเผยอ,,,
แล้วเทรดกายยับสับประหาร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วเทรดกาย | ยับสับ | ประหาร,,,
สละสลัดปัดไปเสียให้พ้น,9,word straddles a beat boundary,สละสลัด | ปัดไป | เสียให้พ้น,,,
ตัดกังวลเพราะเห็นชั่วถ่อยร้อยประตู,10,10 syllables — likely shatter/miscount,ตัดกังวลเพราะเห็นชั่วถ่อยร้อยประตู,,,
ถือให้มั่นแม่นยำเหมือนคำกู,9,word straddles a beat boundary,ถือให้มั่น | แม่นยำเหมือน | คำกู,,,
ทั้งคุ้มกันอันตรายเหมือนหมายมาด,10,10 syllables — likely shatter/miscount,ทั้งคุ้มกันอันตรายเหมือนหมายมาด,,,
การกุศลอบรมเหมือนร่มโพธิ์,9,word straddles a beat boundary,การกุศล | อบรมเหมือน | ร่มโพธิ์,,,
ตามระบอบพระสิทธาเหมือนว่าขาน,10,10 syllables — likely shatter/miscount,ตามระบอบพระสิทธาเหมือนว่าขาน,,,
อธิษฐานขอให้สมอารมณ์ปอง,10,10 syllables — likely shatter/miscount,อธิษฐานขอให้สมอารมณ์ปอง,,,
หวังนิพพานเหมือนหนึ่งจิตคิดถวิล,10,10 syllables — likely shatter/miscount,หวังนิพพานเหมือนหนึ่งจิตคิดถวิล,,,
คงได้พบเห็นกันเหมือนมั่นหมาย,9,word straddles a beat boundary,คงได้พบ | เห็นกันเหมือน | มั่นหมาย,,,
ขอบารมีแหวกใส่ในเกศา,9,word straddles a beat boundary,ขอบารมี | แหวกใส่ | ในเกศา,,,
ฟังคดีทรามสงวนนวลหง,8,word straddles a beat boundary,ฟังคดี | ทรามสงวน | นวลหง,,,
จึ่งว่าพี่ละสมบัติญาติวงศ์,8,word straddles a beat boundary,จึ่งว่าพี่ | ละสมบัติ | ญาติวงศ์,,,
เวลานี้พี่จะลาสุดากนิษฐ์,10,10 syllables — likely shatter/miscount,เวลานี้พี่จะลาสุดากนิษฐ์,,,
พระนักสิทธ์สองรากลับมากุฏิ์,9,word straddles a beat boundary,พระนักสิทธ์ | สองรากลับ | มากุฏิ์,,,
พระสุริยาภาณุมาศลีลาศเลื่อน,10,10 syllables — likely shatter/miscount,พระสุริยาภาณุมาศลีลาศเลื่อน,,,
เคยปรนนิบัติตามกิจศิษย์ฤๅษี,9,word straddles a beat boundary,เคยปรนนิบัติ | ตามกิจ | ศิษย์ฤๅษี,,,
จึ่งกลับมาหาอำมาตย์แจ้งราชกิจ,11,11 syllables — likely shatter/miscount,จึ่งกลับมาหาอำมาตย์แจ้งราชกิจ,,,
พลางขับอัศวราให้คลาไคล,9,word straddles a beat boundary,พลางขับอัศว | รา | ให้คลาไคล,,,
แก้วโกมินพาหุรัดจรัสเรือง,10,10 syllables — likely shatter/miscount,แก้วโกมินพาหุรัดจรัสเรือง,,,
ออกไพชยนต์เนาวรัตน์จำรัสฉาย,10,10 syllables — likely shatter/miscount,ออกไพชยนต์เนาวรัตน์จำรัสฉาย,,,
ตรัสว่าราชการในไอศวรรย์,9,4-syllable word not at วรรค edge,ตรัสว่าราชการในไอศวรรย์,,,
กับเสนาอำมาตย์พระญาติวงศ์,9,word straddles a beat boundary,กับเสนา | อำมาตย์พระญาติ | วงศ์,,,
