wak,syllables,flag,a,b,c
จะอยู่คอยหรือจะไปเสียไกลสวน,11,11 syllables — likely shatter/miscount,จะอยู่คอยหรือจะไปเสียไกลสวน,,
ทำแย้มสรวลเหมือนจะชวนจำนรรจา,10,10 syllables — likely shatter/miscount,ทำแย้มสรวลเหมือนจะชวนจำนรรจา,,
จะกลับไปหรือจะอยู่ไม่รู้เลย,10,10 syllables — likely shatter/miscount,จะกลับไปหรือจะอยู่ไม่รู้เลย,,
ไม่แต่งองค์ทรงเล่นเหมือนเช่นเคย,9,word straddles a beat boundary,ไม่แต่งองค์,ทรงเล่นเหมือน,เช่นเคย
หรือวานนี้ไปสวนประชวรมา,10,10 syllables — likely shatter/miscount,หรือวานนี้ไปสวนประชวรมา,,
หรือพระน้องต้องรุกขเทวา,8,word straddles a beat boundary,หรือพระน้อง,ต้องรุกข,เทวา
พระบุตรีแกล้งตรัสเหมือนขัดใจ,9,word straddles a beat boundary,พระบุตรี,แกล้งตรัสเหมือน,ขัดใจ
จึงอยู่น้องต้องเทวดาด้วย,8,word straddles a beat boundary,จึงอยู่น้อง,ต้องเทวดา,ด้วย
จึงเจ็บป่วยเป็นไข้เพราะไปสวน,10,10 syllables — likely shatter/miscount,จึงเจ็บป่วยเป็นไข้เพราะไปสวน,,
ถ้าแม้นเหมือนหมายมาดไม่คลาดแคล้ว,9,word straddles a beat boundary,ถ้าแม้นเหมือน,หมายมาด,ไม่คลาดแคล้ว
เหมือนฟื้นฝอยหาตะเข็บให้เจ็บจิต,10,10 syllables — likely shatter/miscount,เหมือนฟื้นฝอยหาตะเข็บให้เจ็บจิต,,
สมคบคิดกันพาข้าไปสวน,10,10 syllables — likely shatter/miscount,สมคบคิดกันพาข้าไปสวน,,
ถ้าบอกจริงจึงจะพ้นที่โทษทัณฑ์,10,10 syllables — likely shatter/miscount,ถ้าบอกจริงจึงจะพ้นที่โทษทัณฑ์,,
น้อยไปหรือดื้อดึงไปถึงสวน,10,10 syllables — likely shatter/miscount,น้อยไปหรือดื้อดึงไปถึงสวน,,
ทำท่วงทีเหมือนกระต่ายตะกายดิน,10,10 syllables — likely shatter/miscount,ทำท่วงทีเหมือนกระต่ายตะกายดิน,,
เป็นเชิงชักปริศนาน่าอดสู,10,10 syllables — likely shatter/miscount,เป็นเชิงชักปริศนาน่าอดสู,,
ทำทีหลังแล้วจะทูลให้วุ่นวาย,10,10 syllables — likely shatter/miscount,ทำทีหลังแล้วจะทูลให้วุ่นวาย,,
แต่พราหมณ์ใหญ่ไม่งามเหมือนพราหมณ์น้อย,9,word straddles a beat boundary,แต่พราหมณ์ใหญ่,ไม่งามเหมือน,พราหมณ์น้อย
เมื่อเกียจคร้านจึงค่อยลดปลดบาญชี,10,10 syllables — likely shatter/miscount,เมื่อเกียจคร้านจึงค่อยลดปลดบาญชี,,
หรือเห็นดีแล้วไม่ห้ามตามอารมณ์,10,10 syllables — likely shatter/miscount,หรือเห็นดีแล้วไม่ห้ามตามอารมณ์,,
แล้วสั่งให้ไขหีบหยิบสมุด,9,word straddles a beat boundary,แล้วสั่งให้,ไขหีบหยิบ,สมุด
ทำเหลียวแลแก้เก้อไปตามเกิน,9,word straddles a beat boundary,ทำเหลียวแล,แก้เก้อ,ไปตามเกิน
เหมือนเสียงแก้วเกษรามารศรี,10,10 syllables — likely shatter/miscount,เหมือนเสียงแก้วเกษรามารศรี,,
ที่หลอนหลอกนั่นแหละเงาเจ้าของสวน,11,11 syllables — likely shatter/miscount,ที่หลอนหลอกนั่นแหละเงาเจ้าของสวน,,
ประหลาดใจจริงน้องเหมือนต้องมนต์,9,word straddles a beat boundary,ประหลาดใจ,จริงน้องเหมือน,ต้องมนต์
หนักอะไรจะเหมือนรักหนักอุรา,10,10 syllables — likely shatter/miscount,หนักอะไรจะเหมือนรักหนักอุรา,,
หลงอะไรจะเหมือนหลงทรงมนุษย์,10,10 syllables — likely shatter/miscount,หลงอะไรจะเหมือนหลงทรงมนุษย์,,
สำรวลพลางทางหยิบกลีบจำปา,10,10 syllables — likely shatter/miscount,สำรวลพลางทางหยิบกลีบจำปา,,
ได้โฉมตรูอุบลรัศมี,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",ได้โฉมตรู,อุบลรัศมี,
ไปอยู่ที่ต้นลำดวนในสวนขวัญ,11,11 syllables — likely shatter/miscount,ไปอยู่ที่ต้นลำดวนในสวนขวัญ,,
พอถึงสวนฉายแสงพระสุริย์ฉัน,11,11 syllables — likely shatter/miscount,พอถึงสวนฉายแสงพระสุริย์ฉัน,,
ได้ระเบียบอยู่มิให้สไบขยาย,10,10 syllables — likely shatter/miscount,ได้ระเบียบอยู่มิให้สไบขยาย,,
ฉันอยู่หลังตั้งแต่เสด็จกลับ,9,word straddles a beat boundary,ฉันอยู่หลัง,ตั้งแต่เสด็จ,กลับ
แลเขม้นเหมือนจะเถือเอาเนื้อหนัง,10,10 syllables — likely shatter/miscount,แลเขม้นเหมือนจะเถือเอาเนื้อหนัง,,
ประทานสีที่ห่มมาชมสวน,10,10 syllables — likely shatter/miscount,ประทานสีที่ห่มมาชมสวน,,
ได้กราบทูลแล้วจะออกมาบอกความ,10,10 syllables — likely shatter/miscount,ได้กราบทูลแล้วจะออกมาบอกความ,,
