wak,syllables,flag,a,b,c
รู้ว่าพระอภัยมณีเธอมีชัย,10,10 syllables — likely shatter/miscount,รู้ว่าพระอภัยมณีเธอมีชัย,,
รำภาสะหรีลีวันต่างหรรษา,10,10 syllables — likely shatter/miscount,รำภาสะหรีลีวันต่างหรรษา,,
มาพร้อมพรั่งทั้งวัณฬายุพาผกา,10,10 syllables — likely shatter/miscount,มาพร้อมพรั่งทั้งวัณฬายุพาผกา,,
ฝ่ายพระอภัยชื่นชมสมประสงค์,9,word straddles a beat boundary,ฝ่ายพระอภัย,ชื่นชม,สมประสงค์
สองภูมีสู่สวรรคครรไล,8,word straddles a beat boundary,สองภูมี,สู่สวรรค,ครรไล
การณรงค์คงจะดับให้สรรพเสร็จ,10,10 syllables — likely shatter/miscount,การณรงค์คงจะดับให้สรรพเสร็จ,,
ท้าวทศวงศ์ทรงฟังสรรเสริญ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ท้าวทศวงศ์,ทรงฟัง,สรรเสริญ
จงเจริญพงศ์พันธุ์ชันษา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จงเจริญ,พงศ์พันธุ์,ชันษา
รู้จักรักกันเหลือเหมือนเนื้อไข,9,word straddles a beat boundary,รู้จักรัก,กันเหลือเหมือน,เนื้อไข
จะเหมือนใจแม่วัณฬาสุมาลี,10,10 syllables — likely shatter/miscount,จะเหมือนใจแม่วัณฬาสุมาลี,,
เหมือนเกิดใหม่ได้มาเห็นกันเช่นนี้,10,10 syllables — likely shatter/miscount,เหมือนเกิดใหม่ได้มาเห็นกันเช่นนี้,,
วัณฬาฉลาดผันผ่อนพูดอ่อนหวาน,9,word straddles a beat boundary,วัณฬาฉลาด,ผันผ่อน,พูดอ่อนหวาน
เรียกพระหัสไชยชาติราชหงส์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เรียกพระหัส,ไชยชาติ,ราชหงส์
เหล่าพวกพ้องชมกษัตริย์หัสไชย,8,word straddles a beat boundary,เหล่าพวกพ้อง,ชมกษัตริย์,หัสไชย
จะต้องนิ่งตามสำเนาเหมือนเท้าหลัง,10,10 syllables — likely shatter/miscount,จะต้องนิ่งตามสำเนาเหมือนเท้าหลัง,,
จึงยิ้มแย้มเยื้อนว่ารำภาสะหรี,10,10 syllables — likely shatter/miscount,จึงยิ้มแย้มเยื้อนว่ารำภาสะหรี,,
ความเจ้บแค้นแสนชาติไม่ปรารถนา,10,10 syllables — likely shatter/miscount,ความเจ้บแค้นแสนชาติไม่ปรารถนา,,
ถวายบรมกษัตริย์ขัตติยา,9,word straddles a beat boundary,ถวายบรม,กษัตริย์,ขัตติยา
พระอภัยมณีศรีสุวรรณเป็นหลั่นมา,11,11 syllables — likely shatter/miscount,พระอภัยมณีศรีสุวรรณเป็นหลั่นมา,,
รู้ท่วงทีหน่อกษัตริย์หัสไชย,8,word straddles a beat boundary,รู้ท่วงที,หน่อกษัตริย์,หัสไชย
พระชนนีตีลูกสาวเล็บยาวหยิก,10,10 syllables — likely shatter/miscount,พระชนนีตีลูกสาวเล็บยาวหยิก,,
ต้องจ่ายโภชนาปรนพลขันธ์,9,word straddles a beat boundary,ต้องจ่ายโภชนา,ปรน,พลขันธ์
ซึ่งเป็นผู้วิเศษถือเหมือนฤๅษี,10,10 syllables — likely shatter/miscount,ซึ่งเป็นผู้วิเศษถือเหมือนฤๅษี,,
ฝ่ายลูกสาวเจ้าลังกาวัณฬาฉลาด,10,10 syllables — likely shatter/miscount,ฝ่ายลูกสาวเจ้าลังกาวัณฬาฉลาด,,
เชิญองค์พระอนุชาเมืองการะเวก,10,10 syllables — likely shatter/miscount,เชิญองค์พระอนุชาเมืองการะเวก,,
ช่วยภิเษกสืบสมบัติพัสถาน,10,10 syllables — likely shatter/miscount,ช่วยภิเษกสืบสมบัติพัสถาน,,
คารี้คารมยังไม่หายอีกยายเอ๋ย,10,10 syllables — likely shatter/miscount,คารี้คารมยังไม่หายอีกยายเอ๋ย,,
แต่สินสมุทรสุดเศร้าเปลี่ยวเปล่าจิต,9,word straddles a beat boundary,แต่สินสมุทร,สุดเศร้า,เปลี่ยวเปล่าจิต
ต้องปล้ำมันเหมือนทีหลังทุกครั้งคราว,10,10 syllables — likely shatter/miscount,ต้องปล้ำมันเหมือนทีหลังทุกครั้งคราว,,
แนบเขนยเลยสำคัญว่าจันทร์สุดา,10,10 syllables — likely shatter/miscount,แนบเขนยเลยสำคัญว่าจันทร์สุดา,,
ไม่ทันรถจะประเทียบเหยียบสารถี,10,10 syllables — likely shatter/miscount,ไม่ทันรถจะประเทียบเหยียบสารถี,,
กระโดดลงตรงไปตึกพระชนนี,10,10 syllables — likely shatter/miscount,กระโดดลงตรงไปตึกพระชนนี,,
ให้เจียนสลาหาพระศรีทั้งพี่น้อง,10,10 syllables — likely shatter/miscount,ให้เจียนสลาหาพระศรีทั้งพี่น้อง,,
พระยิ้มย่องยื่นลูกจันทน์ให้กัลยา,10,10 syllables — likely shatter/miscount,พระยิ้มย่องยื่นลูกจันทน์ให้กัลยา,,
พระชนนีรู้เล่ห์เสนหา,8,word straddles a beat boundary,พระชนนี,รู้,เล่ห์เสนหา
ฉันยอมหย่อนตามประสงค์เหมือนวงศา,10,10 syllables — likely shatter/miscount,ฉันยอมหย่อนตามประสงค์เหมือนวงศา,,
ครั้นรุ่นราวสาวหนุ่มเหมือนภุมรา,10,10 syllables — likely shatter/miscount,ครั้นรุ่นราวสาวหนุ่มเหมือนภุมรา,,
