wak,syllables,flag,a,b,c
เห็นแม่นมั่นเหมือนกระนี้ไม่มีใคร,10,10 syllables — likely shatter/miscount,เห็นแม่นมั่นเหมือนกระนี้ไม่มีใคร,,
เดชะตราม้าไม่หลับกลับทะยาน,10,10 syllables — likely shatter/miscount,เดชะตราม้าไม่หลับกลับทะยาน,,
พลผลึกหลับสลบเหมือนศพผี,10,10 syllables — likely shatter/miscount,พลผลึกหลับสลบเหมือนศพผี,,
เห็นยังไกลกลัวจะพลาดที่มาดหมาย,10,10 syllables — likely shatter/miscount,เห็นยังไกลกลัวจะพลาดที่มาดหมาย,,
ออกควบตามทรามวัยเหมือนใจจง,9,word straddles a beat boundary,ออกควบตาม,ทรามวัยเหมือน,ใจจง
พระเชษฐาปรานีเหมือนพี่น้อง,9,word straddles a beat boundary,พระเชษฐา,ปรานีเหมือน,พี่น้อง
รักษาตัวกลัวชีวันจะบรรลัย,10,10 syllables — likely shatter/miscount,รักษาตัวกลัวชีวันจะบรรลัย,,
อย่าเพ่อนึกก่อนว่าหญิงจะวิ่งหนี,10,10 syllables — likely shatter/miscount,อย่าเพ่อนึกก่อนว่าหญิงจะวิ่งหนี,,
ได้ลือชาปรากฏเป็นยศศักดิ์,9,4-syllable word not at วรรค edge,ได้ลือชาปรากฏเป็นยศศักดิ์,,
จะกล่อมกอดกว่าจะหลับกับเขนย,10,10 syllables — likely shatter/miscount,จะกล่อมกอดกว่าจะหลับกับเขนย,,
ให้รอรีรวนเรเสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้รอรี,รวนเร,เสนหา
แม้ถนอมกล่อมกลอกเหมือนดอกไม้,9,word straddles a beat boundary,แม้ถนอม,กล่อมกลอกเหมือน,ดอกไม้
ตะลึงลืมปลื้มอารมณ์ไม่สมประดี,10,10 syllables — likely shatter/miscount,ตะลึงลืมปลื้มอารมณ์ไม่สมประดี,,
กลับมาพบพิศวงด้วยหลงใหล,10,10 syllables — likely shatter/miscount,กลับมาพบพิศวงด้วยหลงใหล,,
