wak,syllables,flag,a,b,c
นางจงจิตอธิษฐานการกุศล,10,10 syllables — likely shatter/miscount,นางจงจิตอธิษฐานการกุศล,,
พูนวาสนาจนกระทั่งฝั่งนิพพาน,10,10 syllables — likely shatter/miscount,พูนวาสนาจนกระทั่งฝั่งนิพพาน,,
แท่นบรรจถรณ์อ่อนละมุนอุ่นสะอาด,10,10 syllables — likely shatter/miscount,แท่นบรรจถรณ์อ่อนละมุนอุ่นสะอาด,,
จะตัดหางเป็นนางมนุษยชาติ,10,10 syllables — likely shatter/miscount,จะตัดหางเป็นนางมนุษยชาติ,,
ถวายพระพรขุกขักกระอักกระไอ,10,10 syllables — likely shatter/miscount,ถวายพระพรขุกขักกระอักกระไอ,,
ประดักประเดิดเวทนาน่าสงสาร,10,10 syllables — likely shatter/miscount,ประดักประเดิดเวทนาน่าสงสาร,,
นางทราบชัดว่ามุนีขมีขมัน,10,10 syllables — likely shatter/miscount,นางทราบชัดว่ามุนีขมีขมัน,,
แล้วกราบองค์สหัสนัยน์เจ้าไตรภพ,10,10 syllables — likely shatter/miscount,แล้วกราบองค์สหัสนัยน์เจ้าไตรภพ,,
ป่างองค์ท้าวมัฆวานพิมานสวรรค์,10,10 syllables — likely shatter/miscount,ป่างองค์ท้าวมัฆวานพิมานสวรรค์,,
เธอปรารภกลัวชีวาจะอาสัญ,10,10 syllables — likely shatter/miscount,เธอปรารภกลัวชีวาจะอาสัญ,,
กับทรงยศสหัสนัยน์ชาญชัยศรี,10,10 syllables — likely shatter/miscount,กับทรงยศสหัสนัยน์ชาญชัยศรี,,
ฝ่ายองค์ท้าวสหัสนัยน์เจ้าไตรภพ,10,10 syllables — likely shatter/miscount,ฝ่ายองค์ท้าวสหัสนัยน์เจ้าไตรภพ,,
อย่าสงสัยในพระสรณา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อย่าสงสัย,ในพระ,สรณา
ได้กลับมาเป็นมนุษย์สุดสมบูรณ์,10,10 syllables — likely shatter/miscount,ได้กลับมาเป็นมนุษย์สุดสมบูรณ์,,
เป็นเขตวัดขัดขวางด้วยร่างกาย,9,word straddles a beat boundary,เป็นเขตวัด,ขัดขวาง,ด้วยร่างกาย
เพราะกลับกลายเป็นสตรีบริบูรณ์,10,10 syllables — likely shatter/miscount,เพราะกลับกลายเป็นสตรีบริบูรณ์,,
เดี๋ยวนี้กลับเป็นคนต้องขวนขวาย,9,word straddles a beat boundary,เดี๋ยวนี้กลับ,เป็นคน,ต้องขวนขวาย
พรายจะกินมิได้เหลือเป็นเหยื่อปลา,10,10 syllables — likely shatter/miscount,พรายจะกินมิได้เหลือเป็นเหยื่อปลา,,
อย่าไปอู่เหมือนแต่ก่อนจงผ่อนผัน,10,10 syllables — likely shatter/miscount,อย่าไปอู่เหมือนแต่ก่อนจงผ่อนผัน,,
พระโยคีลีลากลับมากุฏิ์,9,word straddles a beat boundary,พระโยคี,ลีลากลับ,มากุฏิ์
เหมือนมณีวาวแววกับแก้วหุง,9,word straddles a beat boundary,เหมือนมณี,วาวแวว,กับแก้วหุง
กลับเพศมาเป็นมนุษย์ผุดผ่องพรรณ,10,10 syllables — likely shatter/miscount,กลับเพศมาเป็นมนุษย์ผุดผ่องพรรณ,,
สหัสนัยน์เธอให้กลายจากเพศสัตว์,10,10 syllables — likely shatter/miscount,สหัสนัยน์เธอให้กลายจากเพศสัตว์,,
ฝ่ายพระองค์ผู้ดำรงมไหสวรรย์,10,10 syllables — likely shatter/miscount,ฝ่ายพระองค์ผู้ดำรงมไหสวรรย์,,
ในถิ่นฐานอยู่ไม่ได้ดั่งใจถวิล,10,10 syllables — likely shatter/miscount,ในถิ่นฐานอยู่ไม่ได้ดั่งใจถวิล,,
ฝ่ายพระปิ่นลังกามหาสถาน,9,word straddles a beat boundary,ฝ่ายพระปิ่น,ลังกามหา,สถาน
ให้มุนีขบฉันพรรณผลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้มุนี,ขบฉัน,พรรณผลา
ฝ่ายกษัตริย์เจ้าพาราลังกาทวีป,10,10 syllables — likely shatter/miscount,ฝ่ายกษัตริย์เจ้าพาราลังกาทวีป,,
บนคัคนานต์เร็วรี่ต่างปรีดา,9,word straddles a beat boundary,บนคัคนานต์,เร็วรี่,ต่างปรีดา
ไปวันครึ่งถึงเกาะเหมือนเหาะมา,9,word straddles a beat boundary,ไปวันครึ่ง,ถึงเกาะเหมือน,เหาะมา
ยกผลไม้นานาบรรดามี,9,word straddles a beat boundary,ยกผลไม้,นานา,บรรดามี
ไปอภิวาทบาทบงสุ์พระทรงพรต,10,10 syllables — likely shatter/miscount,ไปอภิวาทบาทบงสุ์พระทรงพรต,,
ไม่ไว้ใจเห็นจะกลัวตัวไม่เคย,10,10 syllables — likely shatter/miscount,ไม่ไว้ใจเห็นจะกลัวตัวไม่เคย,,
เชิญมารดรคลาไคลไปบุรี,9,word straddles a beat boundary,เชิญมารดร,คลาไคล,ไปบุรี
แล้วเทศนาว่าไปในกองทุกข์,9,word straddles a beat boundary,แล้วเทศนา,ว่าไป,ในกองทุกข์
ให้เห็นทางไตรลักษณ์มรรคญาณ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้เห็นทาง,ไตรลักษณ์,มรรคญาณ
ออกพรรณนาให้สว่างกระจ่างใจ,10,10 syllables — likely shatter/miscount,ออกพรรณนาให้สว่างกระจ่างใจ,,
เรียกว่าเป็นอนัตตาเหมือนวาจัง,10,10 syllables — likely shatter/miscount,เรียกว่าเป็นอนัตตาเหมือนวาจัง,,
นางตั้งสัจอธิษฐานการกุศล,10,10 syllables — likely shatter/miscount,นางตั้งสัจอธิษฐานการกุศล,,
แม้นกำเนิดเกิดชาติใดใด,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แม้นกำเนิด,เกิดชาติ,ใดใด
พอจบคำอธิษฐานการอุทิศ,9,4-syllable word not at วรรค edge,พอจบคำอธิษฐานการอุทิศ,,
ให้บทจรเลียบชะง่อนศิลามา,10,10 syllables — likely shatter/miscount,ให้บทจรเลียบชะง่อนศิลามา,,
ปิดหัวเรือเหมือนอาถรรพณ์กันภูตพราย,10,10 syllables — likely shatter/miscount,ปิดหัวเรือเหมือนอาถรรพณ์กันภูตพราย,,
เธอไปสั่งเสร็จสรรพกลับกุฎี,9,word straddles a beat boundary,เธอไปสั่ง,เสร็จสรรพกลับ,กุฎี
บุญสนองส่งให้เหมือนใจหมาย,9,word straddles a beat boundary,บุญสนอง,ส่งให้เหมือน,ใจหมาย
นึกว่าเหมือนคนแก่คนแม่ม่าย,9,word straddles a beat boundary,นึกว่าเหมือน,คนแก่,คนแม่ม่าย
เอาแต่บุญกว่าจะตายวายชีวัง,10,10 syllables — likely shatter/miscount,เอาแต่บุญกว่าจะตายวายชีวัง,,
ขอหยิบยกไว้ให้สมอารมณ์หวัง,10,10 syllables — likely shatter/miscount,ขอหยิบยกไว้ให้สมอารมณ์หวัง,,
ในบรมัตถ์คัดข้อมาสอนสั่ง,9,word straddles a beat boundary,ในบรมัตถ์,คัดข้อ,มาสอนสั่ง
คิดก็เห็นเป็นอัศจรรย์แท้,8,word straddles a beat boundary,คิดก็เห็น,เป็นอัศจรรย์,แท้
ขอตามเสด็จทรงธรรม์กรุณา,9,word straddles a beat boundary,ขอตามเสด็จ,ทรงธรรม์,กรุณา
ไม่รู้จักพี่มัจฉาเหมือนอาลัย,10,10 syllables — likely shatter/miscount,ไม่รู้จักพี่มัจฉาเหมือนอาลัย,,
จะยุรยาตรไปลังกาที่อาศัย,10,10 syllables — likely shatter/miscount,จะยุรยาตรไปลังกาที่อาศัย,,
ชักมาไว้หน้าบรรณศาลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ชักมาไว้,หน้าบรรณ,ศาลา
สองดาบสินีต่างลีลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สองดาบสิ,นีต่าง,ลีลา
พอสุริยงเย็นพยับลับภูผา,10,10 syllables — likely shatter/miscount,พอสุริยงเย็นพยับลับภูผา,,
ตามมรคาแสงสว่างดั่งกลางวัน,10,10 syllables — likely shatter/miscount,ตามมรคาแสงสว่างดั่งกลางวัน,,
ตามบิตุราชมาตุรงค์องค์ฤๅษี,10,10 syllables — likely shatter/miscount,ตามบิตุราชมาตุรงค์องค์ฤๅษี,,
