wak,syllables,flag,a,b,c
จะกลับกล่าวราวเรื่องพระสังฆราช,10,10 syllables — likely shatter/miscount,จะกลับกล่าวราวเรื่องพระสังฆราช,,
จึงเรียกบาทหลางดาวิดศิษย์ผู้ใหญ่,10,10 syllables — likely shatter/miscount,จึงเรียกบาทหลางดาวิดศิษย์ผู้ใหญ่,,
พูดให้เหมาะตามหลักอย่าหักหาญ,9,word straddles a beat boundary,พูดให้เหมาะ,ตามหลัก,อย่าหักหาญ
แล้วเร่งรีบกลับมาเหมือนว่าขาน,10,10 syllables — likely shatter/miscount,แล้วเร่งรีบกลับมาเหมือนว่าขาน,,
แม้นสมหมายชวนกันตีบุรีคืน,10,10 syllables — likely shatter/miscount,แม้นสมหมายชวนกันตีบุรีคืน,,
ตำมะหงงผู้รับสั่งมานั่งหมาย,10,10 syllables — likely shatter/miscount,ตำมะหงงผู้รับสั่งมานั่งหมาย,,
บาทหลวงเฒ่าดีใจกลับไปตึก,9,word straddles a beat boundary,บาทหลวงเฒ่า,ดีใจกลับ,ไปตึก
ข้ามมหาสาคโรชโลสินธุ์,10,10 syllables — likely shatter/miscount,ข้ามมหาสาคโรชโลสินธุ์,,
สิบทิวารก็กระทั่งอ่าวลังกา,10,10 syllables — likely shatter/miscount,สิบทิวารก็กระทั่งอ่าวลังกา,,
พวกแขกล่ามบอกว่าครูผู้สั่งสอน,10,10 syllables — likely shatter/miscount,พวกแขกล่ามบอกว่าครูผู้สั่งสอน,,
ก็รีบรัดกลับไปที่ขมีขมัน,11,11 syllables — likely shatter/miscount,ก็รีบรัดกลับไปที่ขมีขมัน,,
นามกรดาวิดจิตจำนง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นามกรดา,วิดจิต,จำนง
รีบลงไปฟังกระทู้ผู้มาสอน,10,10 syllables — likely shatter/miscount,รีบลงไปฟังกระทู้ผู้มาสอน,,
ก็ถอยหลังมาเรียกคนพหลทหาร,10,10 syllables — likely shatter/miscount,ก็ถอยหลังมาเรียกคนพหลทหาร,,
มาพร้อมกันสี่คนเหมือนพลทหาร,10,10 syllables — likely shatter/miscount,มาพร้อมกันสี่คนเหมือนพลทหาร,,
ขุนเสนาเร่งให้พายไปฝ่ายเหนือ,10,10 syllables — likely shatter/miscount,ขุนเสนาเร่งให้พายไปฝ่ายเหนือ,,
เชิญขึ้นเหนือรถารีบคลาไคล,9,word straddles a beat boundary,เชิญขึ้นเหนือ,รถา,รีบคลาไคล
พระสังฆราชผู้เป็นใหญ่ให้เราจร,10,10 syllables — likely shatter/miscount,พระสังฆราชผู้เป็นใหญ่ให้เราจร,,
แต่เดิมทีเป็นที่ตั้งสอนศาสนา,10,10 syllables — likely shatter/miscount,แต่เดิมทีเป็นที่ตั้งสอนศาสนา,,
พระสังฆราชใช้เรามาว่าโดยดี,10,10 syllables — likely shatter/miscount,พระสังฆราชใช้เรามาว่าโดยดี,,
บาทหลวงกลับไปกำปั่นหวั่นนักหนา,10,10 syllables — likely shatter/miscount,บาทหลวงกลับไปกำปั่นหวั่นนักหนา,,
พิเคราะห์ดูเห็นไม่สมอารมณ์ประสงค์,10,10 syllables — likely shatter/miscount,พิเคราะห์ดูเห็นไม่สมอารมณ์ประสงค์,,
มารบหลายหนยับกลับไปเอง,9,word straddles a beat boundary,มารบหลาย,หนยับกลับ,ไปเอง
เล่นเอาขรัวอ่อนฤทธิ์เที่ยวติดตาม,9,word straddles a beat boundary,เล่นเอาขรัว,อ่อนฤทธิ์,เที่ยวติดตาม
พระตรัสว่าอย่าไปกล่าวจะยาวยืด,10,10 syllables — likely shatter/miscount,พระตรัสว่าอย่าไปกล่าวจะยาวยืด,,
อันเราเปรียบเหมือนทูตมาพูดจา,8,word straddles a beat boundary,อันเราเปรียบเหมือน,ทูต,มาพูดจา
ให้ถอนสมอช่อใบใช้เภตรา,9,word straddles a beat boundary,ให้ถอนสมอ,ช่อใบ,ใช้เภตรา
ในเวลานี้จะกลับเร่งจับการ,10,10 syllables — likely shatter/miscount,ในเวลานี้จะกลับเร่งจับการ,,
ฝ่ายพระจอมนคราเมืองวายุภักษ์,10,10 syllables — likely shatter/miscount,ฝ่ายพระจอมนคราเมืองวายุภักษ์,,
