wak,syllables,flag,a,b,c
ลูกหมายเหมือนชนนีเป็นที่ยิ่ง,10,10 syllables — likely shatter/miscount,ลูกหมายเหมือนชนนีเป็นที่ยิ่ง,,
เห็นหน่อกษัตริย์นิ่งอนาถไม่หวาดไหว,10,10 syllables — likely shatter/miscount,เห็นหน่อกษัตริย์นิ่งอนาถไม่หวาดไหว,,
สงัดเหงาเงียบเสียงสำเนียงหาย,9,word straddles a beat boundary,สงัดเหงา,เงียบเสียง,สำเนียงหาย
แจ้วแจ้วจักจั่นสนั่นเสนาะ,8,word straddles a beat boundary,แจ้วแจ้วจัก,จั่นสนั่น,เสนาะ
ให้หวิวหวิวหวาดไหวฤทัยถวิล,9,word straddles a beat boundary,ให้หวิวหวิว,หวาดไหวฤทัย,ถวิล
จึงกลับได้สมประดีค่อยมีแรง,10,10 syllables — likely shatter/miscount,จึงกลับได้สมประดีค่อยมีแรง,,
คชสารม้ามิ่งมหิงสา,9,word straddles a beat boundary,คชสาร,ม้ามิ่งมหิ,งสา
เป็นภรรยาสามีหรือพี่น้อง,9,word straddles a beat boundary,เป็นภรรยา,สามี,หรือพี่น้อง
ฝ่ายสุหรั่งอังกฤษพิศเพ่ง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ฝ่ายสุหรั่ง,อังกฤษ,พิศเพ่ง
แม้นซึมเซาแล้วจะเกี้ยวประเดี๋ยวใจ,10,10 syllables — likely shatter/miscount,แม้นซึมเซาแล้วจะเกี้ยวประเดี๋ยวใจ,,
คิดพลางทางสั่งปังกะโละ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",คิดพลางทาง,สั่งปัง,กะโละ
พอสมหมายนายโจรพเนจร,8,word straddles a beat boundary,พอสมหมาย,นาย,โจรพเนจร
เข้าในห้องทรามสงวนนวลหง,8,word straddles a beat boundary,เข้าในห้อง,ทรามสงวน,นวลหง
ถึงตลิ่งแล้วจะไปเสียไกลมือ,10,10 syllables — likely shatter/miscount,ถึงตลิ่งแล้วจะไปเสียไกลมือ,,
พี่ได้ลองแล้วก็เห็นไม่เป็นไฉน,10,10 syllables — likely shatter/miscount,พี่ได้ลองแล้วก็เห็นไม่เป็นไฉน,,
กลัวอังกฤษมันจะปล้ำทำบัดสี,10,10 syllables — likely shatter/miscount,กลัวอังกฤษมันจะปล้ำทำบัดสี,,
จะด่วนได้ให้ขัดอัธยา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จะด่วนได้,ให้ขัด,อัธยา
ทำทดแทนให้เหมือนจิตที่คิดหมาย,10,10 syllables — likely shatter/miscount,ทำทดแทนให้เหมือนจิตที่คิดหมาย,,
บังคมลาสู่สวรรคครรไล,8,word straddles a beat boundary,บังคมลา,สู่สวรรค,ครรไล
หมายว่ากลัวเกรงฝีมือหรือไฉน,10,10 syllables — likely shatter/miscount,หมายว่ากลัวเกรงฝีมือหรือไฉน,,
จะฆ่าให้ตายสิ้นเหมือนริ้นยุง,9,word straddles a beat boundary,จะฆ่าให้,ตายสิ้นเหมือน,ริ้นยุง
ตวาดว่าเหวยทมิฬสิ้นทั้งหลาย,10,10 syllables — likely shatter/miscount,ตวาดว่าเหวยทมิฬสิ้นทั้งหลาย,,
ภิปรายปราศรัยทั่วทุกตัวคน,8,word straddles a beat boundary,ภิปรายปราศรัย,ทั่ว,ทุกตัวคน
กับอังกุหร่าแขกสลัดอัศตัน,9,word straddles a beat boundary,กับอังกุ,หร่าแขกสลัด,อัศตัน
สินสมุทรสุดสวาทฉลาดแถลง,10,10 syllables — likely shatter/miscount,สินสมุทรสุดสวาทฉลาดแถลง,,
จะเที่ยวรอบขอบมหามหรณพ,10,10 syllables — likely shatter/miscount,จะเที่ยวรอบขอบมหามหรณพ,,
กว่าจะพบภูวนาถเหมือนมาดหมาย,11,11 syllables — likely shatter/miscount,กว่าจะพบภูวนาถเหมือนมาดหมาย,,
เอาโหมดเทศขึ้นไปขายข้างฝ่ายเหนือ,10,10 syllables — likely shatter/miscount,เอาโหมดเทศขึ้นไปขายข้างฝ่ายเหนือ,,
เมืองโสฬสแหลมชวาพาราสุหรัด,11,11 syllables — likely shatter/miscount,เมืองโสฬสแหลมชวาพาราสุหรัด,,
โรมพัฒน์กว้างใหญ่ไอศวรรย์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",โรมพัฒน์กว้าง,ใหญ่ไอ,ศวรรย์
เสียงร้องแรกอยู่แต่เหล่านางสาวศรี,10,10 syllables — likely shatter/miscount,เสียงร้องแรกอยู่แต่เหล่านางสาวศรี,,
ให้วิเวกหวั่นวิญญาณ์เวลาดึก,10,10 syllables — likely shatter/miscount,ให้วิเวกหวั่นวิญญาณ์เวลาดึก,,
จะนิราศแรมโรยโหยละห้อย,9,word straddles a beat boundary,จะนิราศ,แรมโรยโหย,ละห้อย
