wak,syllables,flag,a,b,c
อยู่เก๋งใหญ่ท้ายบาหลีกับศรีสุวรรณ,10,10 syllables — likely shatter/miscount,อยู่เก๋งใหญ่ท้ายบาหลีกับศรีสุวรรณ,,
แสนวิตกเต็มคิดพิศดูผ้า,9,word straddles a beat boundary,แสนวิตก,เต็มคิดพิศดู,ผ้า
ลงเอนอิงพิงเอกเขนกเขนย,9,word straddles a beat boundary,ลงเอนอิง,พิงเอกเขนก,เขนย
เที่ยวตรวจดูหมู่พหลพลไพร่,8,word straddles a beat boundary,เที่ยวตรวจดู,หมู่พหล,พลไพร่
นุชนาฏนวลน้องอย่าหมองหมาง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นุชนาฏนวล,น้องอย่า,หมองหมาง
พระหลงไล่เลี้ยวลัดสกัดสแกง,9,word straddles a beat boundary,พระหลงไล่,เลี้ยวลัดสกัด,สแกง
เป็นหลายกลับลดเลี้ยวเที่ยวตลบ,9,word straddles a beat boundary,เป็นหลายกลับ,ลดเลี้ยว,เที่ยวตลบ
เหมือนจิตใจจะวินาศหวาดระวัง,10,10 syllables — likely shatter/miscount,เหมือนจิตใจจะวินาศหวาดระวัง,,
จะกล่าวฝ่ายอุศเรนเกณฑ์ยกทัพ,10,10 syllables — likely shatter/miscount,จะกล่าวฝ่ายอุศเรนเกณฑ์ยกทัพ,,
แล้วเลี้ยงเหล้าเมาตึงเต็มกำลัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วเลี้ยงเหล้า,เมาตึง,เต็มกำลัง
จึงตรัสสั่งสารวัดหัศเกน,8,word straddles a beat boundary,จึงตรัสสั่ง,สารวัด,หัศเกน
รบคราวนี้ตีทัพเหมือนจับเสือ,9,word straddles a beat boundary,รบคราวนี้,ตีทัพเหมือน,จับเสือ
กลับมาแจ้งว่าเรือใหญ่นั้นไคลคลา,10,10 syllables — likely shatter/miscount,กลับมาแจ้งว่าเรือใหญ่นั้นไคลคลา,,
เห็นจะไปเมืองผลึกเหมือนนึกแน่,10,10 syllables — likely shatter/miscount,เห็นจะไปเมืองผลึกเหมือนนึกแน่,,
เราตามไปได้อยู่เหนือลมมัน,9,word straddles a beat boundary,เราตามไป,ได้อยู่เหนือ,ลมมัน
ดูแวบวับเสียงสะเทื้อนเหมือนฟ้าลั่น,10,10 syllables — likely shatter/miscount,ดูแวบวับเสียงสะเทื้อนเหมือนฟ้าลั่น,,
ฝ่ายพระอภัยมณีศรีสุวรรณ,9,4-syllable word not at วรรค edge,ฝ่ายพระอภัยมณีศรีสุวรรณ,,
สงสารสุดอุศเรนครั้นรุ่งเช้า,10,10 syllables — likely shatter/miscount,สงสารสุดอุศเรนครั้นรุ่งเช้า,,
เสียพระเพลาพลิกแพลงตะแคงข้าง,10,10 syllables — likely shatter/miscount,เสียพระเพลาพลิกแพลงตะแคงข้าง,,
อุศเรนเอนเอกเขนกคะเน,10,10 syllables — likely shatter/miscount,อุศเรนเอนเอกเขนกคะเน,,
เคยเป็นใหญ่กว่ากษัตริย์ขัตติยา,10,10 syllables — likely shatter/miscount,เคยเป็นใหญ่กว่ากษัตริย์ขัตติยา,,
มาครั้งนี้ตีทัพอัปรา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",มาครั้งนี้,ตีทัพ,อัปรา
ทั้งประชวรควรระงับให้กลับพล,10,10 syllables — likely shatter/miscount,ทั้งประชวรควรระงับให้กลับพล,,
จึงตอบว่าเสียเมียเหมือนเสียกาย,9,word straddles a beat boundary,จึงตอบว่า,เสียเมียเหมือน,เสียกาย
เหมือนหญิงชั่วช่างกระไรไม่อดสู,10,10 syllables — likely shatter/miscount,เหมือนหญิงชั่วช่างกระไรไม่อดสู,,
มากลายกลับแกล้งอยู่กับชู้เฉย,9,word straddles a beat boundary,มากลายกลับ,แกล้งอยู่,กับชู้เฉย
แม้นนงลักษณ์รักพระองค์เหมือนทรงรัก,10,10 syllables — likely shatter/miscount,แม้นนงลักษณ์รักพระองค์เหมือนทรงรัก,,
จะมาม้วยด้วยนางเหมือนอย่างนี้,9,word straddles a beat boundary,จะมาม้วย,ด้วยนางเหมือน,อย่างนี้
ถ้าดีแน่แล้วจะรักให้หนักหนา,10,10 syllables — likely shatter/miscount,ถ้าดีแน่แล้วจะรักให้หนักหนา,,
เลิกนิกรกองทัพกลับให้หมด,9,word straddles a beat boundary,เลิกนิกร,กองทัพกลับ,ให้หมด
ช้ากว่าอุศเรนเหลือด้วยเรือใหญ่,11,11 syllables — likely shatter/miscount,ช้ากว่าอุศเรนเหลือด้วยเรือใหญ่,,
นางฟังคำทำพิโรธเหมือนโกรธเกรี้ยว,10,10 syllables — likely shatter/miscount,นางฟังคำทำพิโรธเหมือนโกรธเกรี้ยว,,
จะก่อเกี้ยวด้วยกระดาษไม่ปรารถนา,10,10 syllables — likely shatter/miscount,จะก่อเกี้ยวด้วยกระดาษไม่ปรารถนา,,
ด้วยพากเพียรพยายามตามสมร,9,4-syllable word not at วรรค edge,ด้วยพากเพียรพยายามตามสมร,,
นึกจะใคร่ไปเยือนเหมือนหนึ่งญาติ,9,word straddles a beat boundary,นึกจะใคร่,ไปเยือนเหมือน,หนึ่งญาติ
มิได้คิดโหยกเหยกอุเบกขา,10,10 syllables — likely shatter/miscount,มิได้คิดโหยกเหยกอุเบกขา,,
ให้ซื่อสุจริตจิตอย่าคิดไฉน,10,10 syllables — likely shatter/miscount,ให้ซื่อสุจริตจิตอย่าคิดไฉน,,
เหมือนฟื้นฝอยหาตะเข็บให้เจ็บจิต,10,10 syllables — likely shatter/miscount,เหมือนฟื้นฝอยหาตะเข็บให้เจ็บจิต,,
จะหมายมาดเหมือนธิดานิจจาเอ๋ย,10,10 syllables — likely shatter/miscount,จะหมายมาดเหมือนธิดานิจจาเอ๋ย,,
ถ้ากระนั้นฉันจะขอแต่พอพบ,10,10 syllables — likely shatter/miscount,ถ้ากระนั้นฉันจะขอแต่พอพบ,,
กลับกลมเกลียวจะขอปะชะพ่อเอ๋ย,11,11 syllables — likely shatter/miscount,กลับกลมเกลียวจะขอปะชะพ่อเอ๋ย,,
จะหยิบผิดที่ตรงไหนไม่ถนัด,10,10 syllables — likely shatter/miscount,จะหยิบผิดที่ตรงไหนไม่ถนัด,,
กลัวแต่ใจจะหลงเชื่อเบื่อหนักหนา,10,10 syllables — likely shatter/miscount,กลัวแต่ใจจะหลงเชื่อเบื่อหนักหนา,,
พ่อให้แล้วทูลลากลับมาห้อง,9,word straddles a beat boundary,พ่อให้แล้ว,ทูลลากลับ,มาห้อง
เดี๋ยวนี้แม่ก็กำชับให้กลับมา,10,10 syllables — likely shatter/miscount,เดี๋ยวนี้แม่ก็กำชับให้กลับมา,,
กุมาราว่าแม่กลัวท่านหรือคะ,10,10 syllables — likely shatter/miscount,กุมาราว่าแม่กลัวท่านหรือคะ,,
พูดกันเล่นเห็นตัวกลัวอะไร,9,word straddles a beat boundary,พูดกันเล่น,เห็นตัวกลัว,อะไร
แต่เห็นเขี้ยวแม่ผีเสื้อก็เหลือกลัว,10,10 syllables — likely shatter/miscount,แต่เห็นเขี้ยวแม่ผีเสื้อก็เหลือกลัว,,
พ่อเจ้ากลัวก็คนเดียวเพราะเขี้ยวมี,10,10 syllables — likely shatter/miscount,พ่อเจ้ากลัวก็คนเดียวเพราะเขี้ยวมี,,
แล้วทูลว่าแม่กำชับให้กลับไป,10,10 syllables — likely shatter/miscount,แล้วทูลว่าแม่กำชับให้กลับไป,,
ทำไมเขากลัวกระสือหรือไฉน,10,10 syllables — likely shatter/miscount,ทำไมเขากลัวกระสือหรือไฉน,,
กุมาราว่าพระแม่ไม่กลัวใคร,10,10 syllables — likely shatter/miscount,กุมาราว่าพระแม่ไม่กลัวใคร,,
ให้แน่นอนเหมือนหนึ่งบุตรช่วยอุดหนุน,10,10 syllables — likely shatter/miscount,ให้แน่นอนเหมือนหนึ่งบุตรช่วยอุดหนุน,,
จงโปรดเกล้าให้เหมือนรับอย่ากลับถ้อย,11,11 syllables — likely shatter/miscount,จงโปรดเกล้าให้เหมือนรับอย่ากลับถ้อย,,
ถ้าได้เชยแล้วจะชมให้สมสำนวน,11,11 syllables — likely shatter/miscount,ถ้าได้เชยแล้วจะชมให้สมสำนวน,,
พระพี่จ๋าฉันจะกลับก็หลับไป,10,10 syllables — likely shatter/miscount,พระพี่จ๋าฉันจะกลับก็หลับไป,,
กลับไปห้องชนนีไม่มีใคร,10,10 syllables — likely shatter/miscount,กลับไปห้องชนนีไม่มีใคร,,
