wak,syllables,flag,guess,a,b,c
นางแปลงองค์ทรงสำอางเหมือนอย่างพราหมณ์,10,10 syllables — likely shatter/miscount,นางแปลงองค์ทรงสำอางเหมือนอย่างพราหมณ์,,,
อีกไพร่ฟ้าข้าแผ่นดินสิ้นทั้งปวง,9,4-syllable word not at วรรค edge,อีกไพร่ฟ้าข้าแผ่นดินสิ้นทั้งปวง,,,
มิได้กลับพานพบประสบเห็น,9,word straddles a beat boundary,มิได้กลับ | พานพบ | ประสบเห็น,,,
เหลือเปลวปล่งตรงปล่องเหมือนกองกูณฑ์,9,word straddles a beat boundary,เหลือเปลวปล่ง | ตรงปล่องเหมือน | กองกูณฑ์,,,
ลำน้ำนั้นมาแต่หน้าพาราณสี,10,10 syllables — likely shatter/miscount,ลำน้ำนั้นมาแต่หน้าพาราณสี,,,
จะให้ไปเกิดสวรรค์เหมือนมั่นหมาย,10,10 syllables — likely shatter/miscount,จะให้ไปเกิดสวรรค์เหมือนมั่นหมาย,,,
ล้วนเสื้อกลีบจีบนุ่งคาดพุงทับ,9,word straddles a beat boundary,ล้วนเสื้อกลีบ | จีบนุ่ง | คาดพุงทับ,,,
ครั้นพระกลับหลับสบายทั้งชายหญิง,10,10 syllables — likely shatter/miscount,ครั้นพระกลับหลับสบายทั้งชายหญิง,,,
ท่านดูแลแน่เหมือนเช่นเห็นแก่ตา,10,10 syllables — likely shatter/miscount,ท่านดูแลแน่เหมือนเช่นเห็นแก่ตา,,,
ซึ่งคนความรู้ตำราเหมือนว่าขาน,10,10 syllables — likely shatter/miscount,ซึ่งคนความรู้ตำราเหมือนว่าขาน,,,
เป็นภูมิพุทธวิชารักษาศิล,9,word straddles a beat boundary,เป็นภูมิพุทธ | วิชา | รักษาศิล,,,
ทำธรรมาสน์พุทธเพทเทศนา,10,10 syllables — likely shatter/miscount,ทำธรรมาสน์พุทธเพทเทศนา,,,
ที่คิดสารพัดได้ดังใจปอง,9,word straddles a beat boundary,ที่คิดสารพัด | ได้ | ดังใจปอง,,,
ฝ่ายล่ามว่าถ้ากระนั้นขยันยิ่ง,10,10 syllables — likely shatter/miscount,ฝ่ายล่ามว่าถ้ากระนั้นขยันยิ่ง,,,
จะลองดูให้เห็นจริงเป็นทุกสิ่งสรรพ์,10,10 syllables — likely shatter/miscount,จะลองดูให้เห็นจริงเป็นทุกสิ่งสรรพ์,,,
จึงจัดแจงแต่งธรรมาสน์อาสน์สุวรรณ,10,10 syllables — likely shatter/miscount,จึงจัดแจงแต่งธรรมาสน์อาสน์สุวรรณ,,,
นิมนต์ท่านเทศน์ธรรม์เหมือนสัญญา,9,word straddles a beat boundary,นิมนต์ท่าน | เทศน์ธรรม์เหมือน | สัญญา,,,
นางขึ้นนั่งเหนือธรรมาสน์อาสน์โอฬาร์,11,11 syllables — likely shatter/miscount,นางขึ้นนั่งเหนือธรรมาสน์อาสน์โอฬาร์,,,
ต่างเข้าไปใกล้ธรรมาสน์ดาษดา,10,10 syllables — likely shatter/miscount,ต่างเข้าไปใกล้ธรรมาสน์ดาษดา,,,
เมื่อเทศน์ไปไม่เห็นเหมือนเช่นเทศน์,9,word straddles a beat boundary,เมื่อเทศน์ไป | ไม่เห็นเหมือน | เช่นเทศน์,,,
เสียงสังเกตรูปร่างเหมือนอย่างหญิง,9,word straddles a beat boundary,เสียงสังเกต | รูปร่างเหมือน | อย่างหญิง,,,
ฝ่ายดาบสอดจิตด้วยคิดบาป,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ฝ่ายดาบสอด | จิตด้วย | คิดบาป,,,
ให้บ่าวไพร่ไล่ลัดสกัดแสกง,9,word straddles a beat boundary,ให้บ่าวไพร่ | ไล่ลัดสกัด | แสกง,,,
พวกชีพราหมณ์ตามฆ่าโยธาหาญ,9,word straddles a beat boundary,พวกชีพราหมณ์ | ตามฆ่า | โยธาหาญ,,,
แม้ไม่สู้กูไม่ฆ่าดอกอย่ากลัว,10,10 syllables — likely shatter/miscount,แม้ไม่สู้กูไม่ฆ่าดอกอย่ากลัว,,,
พวกชีพราหมณ์ถามว่าท่านมาไย,9,word straddles a beat boundary,พวกชีพราหมณ์ | ถามว่า | ท่านมาไย,,,
ราษฎรจะได้พึ่งเหมือนหนึ่งหมาย,10,10 syllables — likely shatter/miscount,ราษฎรจะได้พึ่งเหมือนหนึ่งหมาย,,,
ธรรมเนียมรบเมืองได้เหมือนใจหมาย,9,word straddles a beat boundary,ธรรมเนียมรบ | เมืองได้เหมือน | ใจหมาย,,,
ก็ได้มากเหมือนจินดาอัชฌาสัย,10,10 syllables — likely shatter/miscount,ก็ได้มากเหมือนจินดาอัชฌาสัย,,,
