wak,syllables,flag,a,b,c
ขอถวายบังคมลาฝ่าละออง,9,4-syllable word not at วรรค edge,ขอถวายบังคมลาฝ่าละออง,,
กับพระจอมเจ้าฝรั่งมังคลา,8,word straddles a beat boundary,กับพระจอม,เจ้าฝรั่ง,มังคลา
ขึ้นทรงม้าทั้งสี่ตรีพลำ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ขึ้นทรงม้า,ทั้งสี่,ตรีพลำ
เสด็จกลับเข้าวังทั้งนิกร,9,word straddles a beat boundary,เสด็จกลับ,เข้าวัง,ทั้งนิกร
ขึ้นบรรจถรณ์ข้างในที่ไสยา,9,word straddles a beat boundary,ขึ้นบรรจถรณ์,ข้างใน,ที่ไสยา
เมืองผลึกรมจักรนัครา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เมืองผลึก,รมจักร,นัครา
ท้าวรายาเสวยสวัสดิ์พิพัฒน์ผล,10,10 syllables — likely shatter/miscount,ท้าวรายาเสวยสวัสดิ์พิพัฒน์ผล,,
ให้กษัตริย์ขัตติเยศแจ้งเหตุผล,10,10 syllables — likely shatter/miscount,ให้กษัตริย์ขัตติเยศแจ้งเหตุผล,,
นางจัดแจงสาวสุรางค์นางข้าหลวง,10,10 syllables — likely shatter/miscount,นางจัดแจงสาวสุรางค์นางข้าหลวง,,
แต่บรรดาของข้าวจะเอาไป,9,word straddles a beat boundary,แต่บรรดา,ของข้าวจะ,เอาไป
มัจฉาชาติดาษดาในสาคเรศ,10,10 syllables — likely shatter/miscount,มัจฉาชาติดาษดาในสาคเรศ,,
จะพรรณนาว่ากล่าวจะยาวไป,9,word straddles a beat boundary,จะพรรณนา,ว่ากล่าว,จะยาวไป
ที่สุกวาวขาวปลั่งดาวมังกร,9,word straddles a beat boundary,ที่สุกวาว,ขาวปลั่ง,ดาวมังกร
สายระยางเกี่ยวกระหวัดรัดกระสัน,10,10 syllables — likely shatter/miscount,สายระยางเกี่ยวกระหวัดรัดกระสัน,,
