wak,syllables,flag,a,b,c
เหมือนแก่หง่อมเต็มประดาด้วยอาดูร,10,10 syllables — likely shatter/miscount,เหมือนแก่หง่อมเต็มประดาด้วยอาดูร,,
พระชลนัยน์ไหลหลั่งนั่งสะอื้น,9,word straddles a beat boundary,พระชลนัยน์,ไหลหลั่ง,นั่งสะอื้น
เพชรรัตน์พรายพร่างสว่างไสว,8,word straddles a beat boundary,เพชรรัตน์พราย,พร่างสว่าง,ไสว
เห็นองค์พระอภัยมณีศรีสุวรรณ,10,10 syllables — likely shatter/miscount,เห็นองค์พระอภัยมณีศรีสุวรรณ,,
สักเดือนหนึ่งจึงค่อยกลับไปนคเรศ,11,11 syllables — likely shatter/miscount,สักเดือนหนึ่งจึงค่อยกลับไปนคเรศ,,
หรือจะหาญหักบาญชีเป็นชีเว,10,10 syllables — likely shatter/miscount,หรือจะหาญหักบาญชีเป็นชีเว,,
จะเคืองจิตเจียมตัวกลัวหนักหนา,9,word straddles a beat boundary,จะเคืองจิต,เจียมตัวกลัว,หนักหนา
พระเมตตาเหมือนกระนี้น้องดีใจ,10,10 syllables — likely shatter/miscount,พระเมตตาเหมือนกระนี้น้องดีใจ,,
อุศเรนเป็นกันเองไม่เกรงใจ,10,10 syllables — likely shatter/miscount,อุศเรนเป็นกันเองไม่เกรงใจ,,
เห็นพระวงศ์พงศาคณาสนม,9,word straddles a beat boundary,เห็นพระวงศ์,พงศาคณา,สนม
มาเฝ้าเยื้องบาทยุคลพระชนนี,11,11 syllables — likely shatter/miscount,มาเฝ้าเยื้องบาทยุคลพระชนนี,,
พระมารดรกรกอดพระลูกรัก,9,word straddles a beat boundary,พระมารดร,กรกอด,พระลูกรัก
ก็กลับได้สมประดีค่อยมีมา,10,10 syllables — likely shatter/miscount,ก็กลับได้สมประดีค่อยมีมา,,
เหมือนเรื่องหลังครั้งไปปะพระอภัย,10,10 syllables — likely shatter/miscount,เหมือนเรื่องหลังครั้งไปปะพระอภัย,,
พระราชบุตรแบกว่ายแหวกสายสินธุ์,10,10 syllables — likely shatter/miscount,พระราชบุตรแบกว่ายแหวกสายสินธุ์,,
ไปบุรินทร์รมจักรนัครา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ไปบุรินทร์,รมจักร,นัครา
มาพานพบอุศเรนตระเวนหา,10,10 syllables — likely shatter/miscount,มาพานพบอุศเรนตระเวนหา,,
นางครวญคร่ำร่ำสะอึกสะอื้นอ้อน,9,4-syllable word not at วรรค edge,นางครวญคร่ำร่ำสะอึกสะอื้นอ้อน,,
พระกรข้อนพระอุราเกศาสยาย,10,10 syllables — likely shatter/miscount,พระกรข้อนพระอุราเกศาสยาย,,
จะไปรับพระอภัยมาไอศวรรย์,10,10 syllables — likely shatter/miscount,จะไปรับพระอภัยมาไอศวรรย์,,
พระที่นั่งศรีอเนกเอกชัย,8,word straddles a beat boundary,พระที่นั่ง,ศรีอเนก,เอกชัย
ครั้นทินกรไตรตรัสจำรัสเรือง,9,word straddles a beat boundary,ครั้นทินกร,ไตรตรัส,จำรัสเรือง
สาวสุรางค์นางนาฏในราชฐาน,10,10 syllables — likely shatter/miscount,สาวสุรางค์นางนาฏในราชฐาน,,
มาลงเรือพระที่นั่งทั้งกุมาร,9,4-syllable word not at วรรค edge,มาลงเรือพระที่นั่งทั้งกุมาร,,
พร้อมบรรดาสาวสนมกรมใน,8,word straddles a beat boundary,พร้อมบรรดา,สาวสนม,กรมใน
องค์พระอภัยมณีศรีสุวรรณ,9,4-syllable word not at วรรค edge,องค์พระอภัยมณีศรีสุวรรณ,,
ฝ่ายโฉมยงองค์ชนนีนาถ,8,word straddles a beat boundary,ฝ่ายโฉมยง,องค์ชนนี,นาถ
พระน้องเปรียบบุษยรัตน์จำรัสฉาย,10,10 syllables — likely shatter/miscount,พระน้องเปรียบบุษยรัตน์จำรัสฉาย,,
เหมือนละม้ายรูปจริตไม่ผิดกัน,10,10 syllables — likely shatter/miscount,เหมือนละม้ายรูปจริตไม่ผิดกัน,,
ไม่ควรมอบสมบัติพัสถาน,8,word straddles a beat boundary,ไม่ควรมอบ,สมบัติ,พัสถาน
ด้วยเดิมข้ามาอยู่เกาะแก้วพิสดาร,10,10 syllables — likely shatter/miscount,ด้วยเดิมข้ามาอยู่เกาะแก้วพิสดาร,,
เป็นความจริงลูกนี้จนพระชนนี,10,10 syllables — likely shatter/miscount,เป็นความจริงลูกนี้จนพระชนนี,,
เป็นผู้น้อยพลอยอาสามากระนั้น,10,10 syllables — likely shatter/miscount,เป็นผู้น้อยพลอยอาสามากระนั้น,,
เสด็จไปหน่อยเถิดคะพระบิตุลา,10,10 syllables — likely shatter/miscount,เสด็จไปหน่อยเถิดคะพระบิตุลา,,
นางสาวสวรรค์กลั้นยิ้มขยดหนี,9,word straddles a beat boundary,นางสาวสวรรค์,กลั้นยิ้ม,ขยดหนี
