wak,syllables,flag,a,b,c
ซึ่งรองบาทพระอภัยเมื่อไกลสถาน,10,10 syllables — likely shatter/miscount,ซึ่งรองบาทพระอภัยเมื่อไกลสถาน,,
ไม่เห็นกลับคืนมานิจจาเอ๋ย,8,word straddles a beat boundary,ไม่เห็นกลับคืน,มา,นิจจาเอ๋ย
ให้กลุ้มกลัดอัดอั้นหวั่นวิญญาณ์,11,11 syllables — likely shatter/miscount,ให้กลุ้มกลัดอัดอั้นหวั่นวิญญาณ์,,
พระดาบสอดปากมิอยากได้,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระดาบสอด,ปากมิ,อยากได้
ส่วนลูกไม่ใคร่ออกสิบอกตา,9,word straddles a beat boundary,ส่วนลูกไม่,ใคร่ออกสิ,บอกตา
ยังไม่เคยพบเห็นเหมือนเช่นนี้,9,word straddles a beat boundary,ยังไม่เคย,พบเห็นเหมือน,เช่นนี้
ละม้ายเหมือนพระอภัยนั้นใจหาย,10,10 syllables — likely shatter/miscount,ละม้ายเหมือนพระอภัยนั้นใจหาย,,
แต่ลักษณะจะฉลาดไม่คลาดแคล้ว,10,10 syllables — likely shatter/miscount,แต่ลักษณะจะฉลาดไม่คลาดแคล้ว,,
ข้าเป็นชาติเชื้อสัตว์เหมือนมัจฉา,9,word straddles a beat boundary,ข้าเป็นชาติ,เชื้อสัตว์เหมือน,มัจฉา
ช่วยเลี้ยงดูกุมารเหมือนหลานเถิด,9,word straddles a beat boundary,ช่วยเลี้ยงดู,กุมารเหมือน,หลานเถิด
ด้วยเหมือนหลานลูกศิษย์สนิทสนม,10,10 syllables — likely shatter/miscount,ด้วยเหมือนหลานลูกศิษย์สนิทสนม,,
ไม่มีสมบัติอะไรที่ไหนเลย,9,word straddles a beat boundary,ไม่มีสมบัติ,อะไร,ที่ไหนเลย
โอ้เกิดมาอาภัพอัปภาค,7,"7 syllables — ambiguous, [3,2,2] is only a guess",โอ้เกิดมา,อาภัพ,อัปภาค
แล้วให้คลานขึ้นบนเพลาพระเจ้าตา,10,10 syllables — likely shatter/miscount,แล้วให้คลานขึ้นบนเพลาพระเจ้าตา,,
ก็มีมาเหมือนหนึ่งในน้ำใจนึก,10,10 syllables — likely shatter/miscount,ก็มีมาเหมือนหนึ่งในน้ำใจนึก,,
โอระเห่เอระโห่โอระหึก,10,10 syllables — likely shatter/miscount,โอระเห่เอระโห่โอระหึก,,
เหมือนสินสมุทรพี่ยาทั้งกล้าหาญ,10,10 syllables — likely shatter/miscount,เหมือนสินสมุทรพี่ยาทั้งกล้าหาญ,,
ก็รู้ว่าม้ามังกรสมจรกัน,10,10 syllables — likely shatter/miscount,ก็รู้ว่าม้ามังกรสมจรกัน,,
ตัวตีนต่อจะเหมือนแม่ช่างแปรผัน,10,10 syllables — likely shatter/miscount,ตัวตีนต่อจะเหมือนแม่ช่างแปรผัน,,
จะจับได้ด้วยพระเวทวิเศษขยัน,10,10 syllables — likely shatter/miscount,จะจับได้ด้วยพระเวทวิเศษขยัน,,
ได้แม่นมั่นเหมือนหนึ่งจิตไม่ผิดเพี้ยน,10,10 syllables — likely shatter/miscount,ได้แม่นมั่นเหมือนหนึ่งจิตไม่ผิดเพี้ยน,,
มังกรหวดหางกระหวัดทั้งกัดขบ,10,10 syllables — likely shatter/miscount,มังกรหวดหางกระหวัดทั้งกัดขบ,,
คอยตามไปไม่ขัดหัทยา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",คอยตามไป,ไม่ขัด,หัทยา
เที่ยวเลียบรอบขอบเกาะเหมือนเหาะไป,9,word straddles a beat boundary,เที่ยวเลียบรอบ,ขอบเกาะเหมือน,เหาะไป
กำลังมันมากนักเหมือนยักษ์มาร,9,word straddles a beat boundary,กำลังมัน,มากนักเหมือน,ยักษ์มาร
ให้ชื่อว่าม้านิลมังกร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้ชื่อว่า,ม้านิล,มังกร
บุรีรัตนพลัดพรากจากสถาน,10,10 syllables — likely shatter/miscount,บุรีรัตนพลัดพรากจากสถาน,,
ไกลกว่าไกลกลัวจะหลงเที่ยววงวน,11,11 syllables — likely shatter/miscount,ไกลกว่าไกลกลัวจะหลงเที่ยววงวน,,
จะซูบผอมเผือดผิวจะหิวโหย,9,word straddles a beat boundary,จะซูบผอม,เผือดผิวจะ,หิวโหย
ทั้งครุฑาวายุภัสนกหัสดิน,11,11 syllables — likely shatter/miscount,ทั้งครุฑาวายุภัสนกหัสดิน,,
ประเทศแถวทางทิศสถิตเสถียร,9,word straddles a beat boundary,ประเทศแถว,ทางทิศสถิต,เสถียร
จะพากเพียรพยายามไปตามบุญ,9,4-syllable word not at วรรค edge,จะพากเพียรพยายามไปตามบุญ,,
พ่อไปปะพระบิดาแล้วอย่ากลับ,10,10 syllables — likely shatter/miscount,พ่อไปปะพระบิดาแล้วอย่ากลับ,,
จงอยู่กับภูวนาถเหมือนมาดหมาย,10,10 syllables — likely shatter/miscount,จงอยู่กับภูวนาถเหมือนมาดหมาย,,
แม้นลูกยาผาสุกสนุกสบาย,9,word straddles a beat boundary,แม้นลูกยา,ผาสุกสนุก,สบาย
มาเหมือนสั่งอย่าให้สูญนะทูนหัว,10,10 syllables — likely shatter/miscount,มาเหมือนสั่งอย่าให้สูญนะทูนหัว,,
แม่อยู่นี่มิเป็นไรดอกไม่กลัว,10,10 syllables — likely shatter/miscount,แม่อยู่นี่มิเป็นไรดอกไม่กลัว,,
พ่อไปถึงจึงทูลมูลเหตุ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พ่อไปถึง,จึงทูล,มูลเหตุ
ขอดำรงรองบาททุกชาติไป,8,word straddles a beat boundary,ขอดำรงรอง,บาท,ทุกชาติไป
สำเร็จการก็จะมาหามารดร,10,10 syllables — likely shatter/miscount,สำเร็จการก็จะมาหามารดร,,
เทพไททิพโสตจงโปรดปราน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เทพไททิพ,โสตจง,โปรดปราน
เหมือนเดินพื้นแผ่นตลิ่งวิ่งหยอยหยอย,10,10 syllables — likely shatter/miscount,เหมือนเดินพื้นแผ่นตลิ่งวิ่งหยอยหยอย,,
อุปมาเหมือนหนึ่งแหนแลลิบลิบ,10,10 syllables — likely shatter/miscount,อุปมาเหมือนหนึ่งแหนแลลิบลิบ,,
แต่หลอนหลอกออกอัดสกัดสแกง,9,word straddles a beat boundary,แต่หลอนหลอก,ออกอัดสกัด,สแกง
พลไพร่ไม่น้อยสักร้อยล้าน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลไพร่ไม่,น้อยสัก,ร้อยล้าน
มังกรกลายว่ายน้ำเหมือนเดินบก,9,word straddles a beat boundary,มังกรกลาย,ว่ายน้ำเหมือน,เดินบก
ครั้นฟื้นองค์ทรงนิลสินธพ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ครั้นฟื้นองค์,ทรงนิล,สินธพ
ขึ้นอยู่บนเกาะพนมในยมนา,10,10 syllables — likely shatter/miscount,ขึ้นอยู่บนเกาะพนมในยมนา,,
ไม่นุ่งห่มสมเพชเหมือนเปรตเปล่า,9,word straddles a beat boundary,ไม่นุ่งห่ม,สมเพชเหมือน,เปรตเปล่า
มีโยมมากเหมือนหมายสบายเรื่อย,10,10 syllables — likely shatter/miscount,มีโยมมากเหมือนหมายสบายเรื่อย,,
น่าเหียนรากปากมีแต่ขี้ฟัน,9,word straddles a beat boundary,น่าเหียนราก,ปากมี,แต่ขี้ฟัน
กรนสนั่นนอนร้ายเหมือนป่ายปีน,9,word straddles a beat boundary,กรนสนั่น,นอนร้ายเหมือน,ป่ายปีน
