wak,syllables,flag,guess,a,b,c
จะกล่าวถึงนางอสุรีผีเสื้อน้ำ,10,10 syllables — likely shatter/miscount,จะกล่าวถึงนางอสุรีผีเสื้อน้ำ,,,
อยู่ท้องถ้ำวังวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อยู่ท้องถ้ำ | วังวน | ชลสาย,,,
สุดจะหักวิญญาณ์เหมือนบ้าหลัง,10,10 syllables — likely shatter/miscount,สุดจะหักวิญญาณ์เหมือนบ้าหลัง,,,
กอดกระหวัดอุ้มองค์พระทรงโฉม,9,word straddles a beat boundary,กอดกระหวัด | อุ้มองค์ | พระทรงโฉม,,,
เห็นภูวนาถนิ่งไปก็ใจหาย,9,word straddles a beat boundary,เห็นภูวนาถ | นิ่งไป | ก็ใจหาย,,,
ราพณ์ร้ายลูบต้องประคององค์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ราพณ์ร้ายลูบ | ต้องประ | คององค์,,,
แล้วคิดกลับดับเดือดให้เหือดหาย,9,word straddles a beat boundary,แล้วคิดกลับ | ดับเดือด | ให้เหือดหาย,,,
ทำเสแสร้งใส่จริตกระบิดกระบวน,10,10 syllables — likely shatter/miscount,ทำเสแสร้งใส่จริตกระบิดกระบวน,,,
พระมากลัวผู้หญิงด้วยสิ่งใด,9,word straddles a beat boundary,พระมากลัว | ผู้หญิง | ด้วยสิ่งใด,,,
พลางแกล้งทำสะบัดสะบิ้งทิ้งสไบ,10,10 syllables — likely shatter/miscount,พลางแกล้งทำสะบัดสะบิ้งทิ้งสไบ,,,
ข้าหมายเหมือนภัสดาถึงด่าตี,10,10 syllables — likely shatter/miscount,ข้าหมายเหมือนภัสดาถึงด่าตี,,,
พลางกลมเกลียวกอดรัดกษัตรา,9,word straddles a beat boundary,พลางกลมเกลียว | กอดรัด | กษัตรา,,,
พระนึกนึกแล้วสะอึกสะอื้นไห้,9,4-syllable word not at วรรค edge,พระนึกนึกแล้วสะอึกสะอื้นไห้,,,
จะกอดไว้ไม่วางเหมือนอย่างนี้,9,word straddles a beat boundary,จะกอดไว้ | ไม่วางเหมือน | อย่างนี้,,,
ใครจะร่านเหมือนเช่นนี้ไม่มีถึง,10,10 syllables — likely shatter/miscount,ใครจะร่านเหมือนเช่นนี้ไม่มีถึง,,,
ทั้งเหม็นสาบเหม็นสางเหมือนอย่างศพ,9,word straddles a beat boundary,ทั้งเหม็นสาบ | เหม็นสางเหมือน | อย่างศพ,,,
ส่วนร่ำด่ากระนั้นได้เขาไม่ถือ,10,10 syllables — likely shatter/miscount,ส่วนร่ำด่ากระนั้นได้เขาไม่ถือ,,,
จะบังคับมิให้ใครกลุ้มใจมั่ง,10,10 syllables — likely shatter/miscount,จะบังคับมิให้ใครกลุ้มใจมั่ง,,,
จะยั่งยืนขืนขัดตัดสวาท,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จะยั่งยืนขืน | ขัดตัด | สวาท,,,
ก็จะสะบักสะบอมตรอมฤทัย,9,4-syllable word not at วรรค edge,ก็จะสะบักสะบอมตรอมฤทัย,,,
อันเชื้อชาติอสุรินทร์ย่อมกินคน,10,10 syllables — likely shatter/miscount,อันเชื้อชาติอสุรินทร์ย่อมกินคน,,,
ให้หายกลัวแล้วจะอยู่เป็นคู่ครอง,11,11 syllables — likely shatter/miscount,ให้หายกลัวแล้วจะอยู่เป็นคู่ครอง,,,
กระแซะชิดขากบกระทบเหนียง,10,10 syllables — likely shatter/miscount,กระแซะชิดขากบกระทบเหนียง,,,
กุลาโคลงไม่สู้คล่องกะพล่องกะแพล่ง,10,10 syllables — likely shatter/miscount,กุลาโคลงไม่สู้คล่องกะพล่องกะแพล่ง,,,
