wak,syllables,flag,a,b,c
ทั้งเหนือใต้ฝ่ายปัจจิมมาพร้อมกัน,10,10 syllables — likely shatter/miscount,ทั้งเหนือใต้ฝ่ายปัจจิมมาพร้อมกัน,,
ข้างฝ่ายเหนือบอกว่าปัจจามิตร,10,10 syllables — likely shatter/miscount,ข้างฝ่ายเหนือบอกว่าปัจจามิตร,,
เที่ยวร้องป่าวชาวอาณาประชาราษฎร์,10,10 syllables — likely shatter/miscount,เที่ยวร้องป่าวชาวอาณาประชาราษฎร์,,
พระญาติวงศ์พงศาคณาสนม,10,10 syllables — likely shatter/miscount,พระญาติวงศ์พงศาคณาสนม,,
บ้างพูดกันว่าฉันเองอกจะแตก,10,10 syllables — likely shatter/miscount,บ้างพูดกันว่าฉันเองอกจะแตก,,
สงสารองค์นงลักษณ์อัคเรศ,9,word straddles a beat boundary,สงสารองค์,นงลักษณ์อัค,เรศ
แม่กลัวพระบิตุรงค์จะส่งเจ้า,10,10 syllables — likely shatter/miscount,แม่กลัวพระบิตุรงค์จะส่งเจ้า,,
กันแสงพลางต่างสะอึกสะอื้นไห้,9,4-syllable word not at วรรค edge,กันแสงพลางต่างสะอึกสะอื้นไห้,,
พระมารดรสอนธิดาว่าเจ้าแม่,10,10 syllables — likely shatter/miscount,พระมารดรสอนธิดาว่าเจ้าแม่,,
สงสารแก้วเกษราสุดาสมร,10,10 syllables — likely shatter/miscount,สงสารแก้วเกษราสุดาสมร,,
ครั้นมารดรจากห้องให้หมองศรี,9,word straddles a beat boundary,ครั้นมารดร,จากห้อง,ให้หมองศรี
ยังติดสอยคอยครวญอยู่สวนศรี,10,10 syllables — likely shatter/miscount,ยังติดสอยคอยครวญอยู่สวนศรี,,
กระนั้นพี่ศรีสุดาจงไปสวน,12,12 syllables — likely shatter/miscount,กระนั้นพี่ศรีสุดาจงไปสวน,,
บัดนี้รับสั่งใช้ให้ไปสวน,10,10 syllables — likely shatter/miscount,บัดนี้รับสั่งใช้ให้ไปสวน,,
ท้าวจะส่งองค์นางเหมือนอย่างว่า,10,10 syllables — likely shatter/miscount,ท้าวจะส่งองค์นางเหมือนอย่างว่า,,
จะสงครามชิงนางเหมือนอย่างหมาย,9,word straddles a beat boundary,จะสงคราม,ชิงนางเหมือน,อย่างหมาย
ทำไฉนพี่จะได้ทำราชการ,10,10 syllables — likely shatter/miscount,ทำไฉนพี่จะได้ทำราชการ,,
ศรีสุดาหน้าม่อยชม้อยชม้าย,9,word straddles a beat boundary,ศรีสุดา,หน้าม่อยชม้อย,ชม้าย
อันศึกเสือเหนือใต้มิใช่ง่าย,8,word straddles a beat boundary,อันศึกเสือเหนือใต้,มิ,ใช่ง่าย
ไม่สบายเหมือนหนึ่งเที่ยวเกี้ยวผู้หญิง,10,10 syllables — likely shatter/miscount,ไม่สบายเหมือนหนึ่งเที่ยวเกี้ยวผู้หญิง,,
เหมือนมณีหรือจะผูกกับลูกปัด,10,10 syllables — likely shatter/miscount,เหมือนมณีหรือจะผูกกับลูกปัด,,
ไม่คู่เคียงเรียงเม็ดเพชรรัตน์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ไม่คู่เคียง,เรียงเม็ด,เพชรรัตน์
ถึงผอมซูบรูปร่างเหมือนอย่างพี่,9,word straddles a beat boundary,ถึงผอมซูบ,รูปร่างเหมือน,อย่างพี่
ครั้นจะออกอาสาเหมือนว่ากล่าว,9,word straddles a beat boundary,ครั้นจะออก,อาสาเหมือน,ว่ากล่าว
ก็กลัวท้าวจะไม่รับไม่นับถือ,11,11 syllables — likely shatter/miscount,ก็กลัวท้าวจะไม่รับไม่นับถือ,,
จากปราสาทมาสงวนไว้สวนศรี,11,11 syllables — likely shatter/miscount,จากปราสาทมาสงวนไว้สวนศรี,,
ให้ไพรีย่อยยับอัปรา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้ไพรี,ย่อยยับ,อัปรา
แล้วเด็กดอกสุมาลีให้ศรีสุดา,10,10 syllables — likely shatter/miscount,แล้วเด็กดอกสุมาลีให้ศรีสุดา,,
จะช่วยสื่อศุภสารสมานสมร,10,10 syllables — likely shatter/miscount,จะช่วยสื่อศุภสารสมานสมร,,
ขอวายวางข้างบาทบทเรศ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ขอวายวาง,ข้างบาท,บทเรศ
สี่พี่เลี้ยงเคียงข้างบรรจถรณ์แท่น,9,word straddles a beat boundary,สี่พี่เลี้ยง,เคียงข้างบรรจถรณ์,แท่น
