wak,syllables,flag,a,b,c
พระฟังคำทำครางเหมือนอย่างเจ็บ,9,word straddles a beat boundary,พระฟังคำ,ทำครางเหมือน,อย่างเจ็บ
จะทูลถามขามขยาดพระอาชญา,10,10 syllables — likely shatter/miscount,จะทูลถามขามขยาดพระอาชญา,,
พระภูวไนยได้กระดาษที่วาดรูป,10,10 syllables — likely shatter/miscount,พระภูวไนยได้กระดาษที่วาดรูป,,
ประโลมลูบหลงใหลเหมือนใฝ่ฝัน,9,word straddles a beat boundary,ประโลมลูบ,หลงใหลเหมือน,ใฝ่ฝัน
แล้วพาเหล่าสาวสุรางค์ค่อยย่างย่อง,10,10 syllables — likely shatter/miscount,แล้วพาเหล่าสาวสุรางค์ค่อยย่างย่อง,,
ค่อยขยับหยิบกระดาษรูปวาดมา,10,10 syllables — likely shatter/miscount,ค่อยขยับหยิบกระดาษรูปวาดมา,,
เห็นผลักพลิกขยิกขยี้ตีกระดาษ,10,10 syllables — likely shatter/miscount,เห็นผลักพลิกขยิกขยี้ตีกระดาษ,,
พระแปลกพักตร์อัคเรศร่วมชีวี,10,10 syllables — likely shatter/miscount,พระแปลกพักตร์อัคเรศร่วมชีวี,,
เที่ยวไล่ตีต้อนพัลวันไป,8,word straddles a beat boundary,เที่ยวไล่ตี,ต้อนพัลวัน,ไป
แล้วกลับมาหากระดาษที่วาดรูป,10,10 syllables — likely shatter/miscount,แล้วกลับมาหากระดาษที่วาดรูป,,
ให้คลั่งไคล้เคลิ้มอารมณ์ไม่สมประดี,10,10 syllables — likely shatter/miscount,ให้คลั่งไคล้เคลิ้มอารมณ์ไม่สมประดี,,
สงสารองค์นงลักษณ์อัคเรศ,9,word straddles a beat boundary,สงสารองค์,นงลักษณ์อัค,เรศ
พระมารดรข้อนทรวงเสียงผางผาง,9,word straddles a beat boundary,พระมารดร,ข้อนทรวง,เสียงผางผาง
ถึงกลัดกลุ้มคลุ้มคลั่งไม่ฟังยา,9,word straddles a beat boundary,ถึงกลัดกลุ้ม,คลุ้มคลั่ง,ไม่ฟังยา
จึงผันผายพาสุรางค์ไปปรางค์ทรอง,10,10 syllables — likely shatter/miscount,จึงผันผายพาสุรางค์ไปปรางค์ทรอง,,
เห็นภูวนาถเคลื่อนคลายค่อยวายหมอง,9,word straddles a beat boundary,เห็นภูวนาถ,เคลื่อนคลาย,ค่อยวายหมอง
นางกราบกรานตรงพระเพลาแล้วเล่าความ,10,10 syllables — likely shatter/miscount,นางกราบกรานตรงพระเพลาแล้วเล่าความ,,
พิศเพียงพิมพ์เดียวแล้วเหลียวมา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พิศเพียงพิมพ์,เดียวแล้ว,เหลียวมา
สร้อยสุวรรณนั้นว่าชื่อฉันเพราะกว่า,10,10 syllables — likely shatter/miscount,สร้อยสุวรรณนั้นว่าชื่อฉันเพราะกว่า,,
นางทูลลาว่าจะไปอวดอัยกี,10,10 syllables — likely shatter/miscount,นางทูลลาว่าจะไปอวดอัยกี,,
ให้จิตคล่ำเคลิ้มองค์กลับหลงใหล,9,word straddles a beat boundary,ให้จิตคล่ำ,เคลิ้มองค์กลับ,หลงใหล
พระมารดรวอนว่าด้วยอาลัย,9,word straddles a beat boundary,พระมารดร,วอนว่า,ด้วยอาลัย
พ่อควรเชยสาวสนมกรมใน,8,word straddles a beat boundary,พ่อควรเชย,สาวสนม,กรมใน
เฝ้าโหมแห่หึงสาเหมือนบ้าหลัง,9,word straddles a beat boundary,เฝ้าโหมแห่,หึงสาเหมือน,บ้าหลัง
ให้คลุ้มคลั่งเคลิ้มอารมณ์ไม่สมประดี,10,10 syllables — likely shatter/miscount,ให้คลุ้มคลั่งเคลิ้มอารมณ์ไม่สมประดี,,
พระมารดรถอนฤทัยไห้สะอื้น,10,10 syllables — likely shatter/miscount,พระมารดรถอนฤทัยไห้สะอื้น,,
หลงเสียแล้วกรรมเอ๋ยกรรมจะทำไฉน,10,10 syllables — likely shatter/miscount,หลงเสียแล้วกรรมเอ๋ยกรรมจะทำไฉน,,
เหมือนฉัตรชัยช่วยบำรุงให้รุ่งเรือง,10,10 syllables — likely shatter/miscount,เหมือนฉัตรชัยช่วยบำรุงให้รุ่งเรือง,,
ทั้งห้ามแหนแสนสนมกรมใน,8,word straddles a beat boundary,ทั้งห้ามแหน,แสนสนม,กรมใน
แล้วสั่งให้โหรชำระดูพระเคราะห์,10,10 syllables — likely shatter/miscount,แล้วสั่งให้โหรชำระดูพระเคราะห์,,
นางพระยาว่ากระนั้นในวันนี้,10,10 syllables — likely shatter/miscount,นางพระยาว่ากระนั้นในวันนี้,,
