wak,syllables,flag,guess,a,b,c
น้อมคำนับอภิวาทพระมาตุรงค์,10,10 syllables — likely shatter/miscount,น้อมคำนับอภิวาทพระมาตุรงค์,,,
คอยระวังยาหยูกนะลูกหนา,10,10 syllables — likely shatter/miscount,คอยระวังยาหยูกนะลูกหนา,,,
พักตร์เฉลิมจันทน์จุณเหมือนมุนี,9,word straddles a beat boundary,พักตร์เฉลิม | จันทน์จุณเหมือน | มุนี,,,
พระน้องนุ่งยกอย่างไว้หางหงส์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระน้องนุ่ง | ยกอย่าง | ไว้หางหงส์,,,
จรจรัลตามเสด็จพระเชษฐา,10,10 syllables — likely shatter/miscount,จรจรัลตามเสด็จพระเชษฐา,,,
เป็นคู่หัดจัดเอามาแต่การะเวก,10,10 syllables — likely shatter/miscount,เป็นคู่หัดจัดเอามาแต่การะเวก,,,
เห็นม้ากลายกลัวจะขบก็หลบหนี,10,10 syllables — likely shatter/miscount,เห็นม้ากลายกลัวจะขบก็หลบหนี,,,
เข้าใกล้กรายกลัวจะดีดไม่กีดขวาง,10,10 syllables — likely shatter/miscount,เข้าใกล้กรายกลัวจะดีดไม่กีดขวาง,,,
พระแกล้งขับกลับตลบกระทบทาง,10,10 syllables — likely shatter/miscount,พระแกล้งขับกลับตลบกระทบทาง,,,
สุดสาครกับกษัตริย์หัสไชย,8,word straddles a beat boundary,สุดสาคร | กับกษัตริย์ | หัสไชย,,,
เกิดด้วยองค์อัคเรศประเทศใด,10,10 syllables — likely shatter/miscount,เกิดด้วยองค์อัคเรศประเทศใด,,,
จึงเสแสร้งแกล้งว่าเหมือนปรานี,9,word straddles a beat boundary,จึงเสแสร้ง | แกล้งว่าเหมือน | ปรานี,,,
เหมือนหม่อมฉันนั้นไม่รื่นชื่นพระทัย,10,10 syllables — likely shatter/miscount,เหมือนหม่อมฉันนั้นไม่รื่นชื่นพระทัย,,,
จึงไม่ได้ลูกเต้าเหมือนเขาเลย,9,word straddles a beat boundary,จึงไม่ได้ | ลูกเต้าเหมือน | เขาเลย,,,
ให้เป็นกรรมสิทธิ์วนิดา,8,word straddles a beat boundary,ให้เป็นกรรมสิทธิ์ | วนิ | ดา,,,
จึงพลอยเมาเหมือนหนึ่งฝิ่นได้กลิ่นอาย,10,10 syllables — likely shatter/miscount,จึงพลอยเมาเหมือนหนึ่งฝิ่นได้กลิ่นอาย,,,
