wak,syllables,flag,a,b,c
การอุบายยังไม่เห็นเหมือนเช่นผี,10,10 syllables — likely shatter/miscount,การอุบายยังไม่เห็นเหมือนเช่นผี,,
อันข้านี้ตรองไม่เห็นอย่างเจรจา,10,10 syllables — likely shatter/miscount,อันข้านี้ตรองไม่เห็นอย่างเจรจา,,
ผิดก็ท่านทำมะรงเขาคงถาม,10,10 syllables — likely shatter/miscount,ผิดก็ท่านทำมะรงเขาคงถาม,,
แขกส่ำสามท้าวรายามึงอย่ากลัว,10,10 syllables — likely shatter/miscount,แขกส่ำสามท้าวรายามึงอย่ากลัว,,
เหมือนงูพิษเป็นศัตรูคงสู้หมอ,10,10 syllables — likely shatter/miscount,เหมือนงูพิษเป็นศัตรูคงสู้หมอ,,
พระเทวสินธุ์ยินคำให้รำคาญ,9,word straddles a beat boundary,พระเทวสินธุ์,ยินคำ,ให้รำคาญ
แม้นขุกเข็ญจึ่งจะกลับมารับรบ,10,10 syllables — likely shatter/miscount,แม้นขุกเข็ญจึ่งจะกลับมารับรบ,,
พระเทวสินธุ์กราบก้มบังคมทราบ,9,word straddles a beat boundary,พระเทวสินธุ์,กราบก้ม,บังคมทราบ
พอสุริยนสนธยาเกือบสายัณห์,10,10 syllables — likely shatter/miscount,พอสุริยนสนธยาเกือบสายัณห์,,
กลับไปเรือมิได้อยู่ทุกผู้คน,10,10 syllables — likely shatter/miscount,กลับไปเรือมิได้อยู่ทุกผู้คน,,
บาทหลวงว่าฮ้าเฮ้ยมังคลา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",บาทหลวงว่า,ฮ้าเฮ้ย,มังคลา
คงบันดาลเสื่อมสิ้นเหมือนกินบอน,9,word straddles a beat boundary,คงบันดาล,เสื่อมสิ้นเหมือน,กินบอน
อันผู้หญิงกับวิชาเหมือนยาพิษ,10,10 syllables — likely shatter/miscount,อันผู้หญิงกับวิชาเหมือนยาพิษ,,
เป็นแน่นอนเหมือนหนึ่งคำกูรำพัน,10,10 syllables — likely shatter/miscount,เป็นแน่นอนเหมือนหนึ่งคำกูรำพัน,,
กูจะฟันมิให้เหลือเป็นเหยื่อกา,10,10 syllables — likely shatter/miscount,กูจะฟันมิให้เหลือเป็นเหยื่อกา,,
เหมือนน้ำท่วมริมฝีปากมันยากแท้,10,10 syllables — likely shatter/miscount,เหมือนน้ำท่วมริมฝีปากมันยากแท้,,
อย่าโหยกเหยกยืดยาวให้ร้าวฉาน,10,10 syllables — likely shatter/miscount,อย่าโหยกเหยกยืดยาวให้ร้าวฉาน,,
พาอีกาลกิณีไปที่เรือ,9,4-syllable word not at วรรค edge,พาอีกาลกิณีไปที่เรือ,,
อีบุษบงรีบไปข้างฝ่ายเหนือ,10,10 syllables — likely shatter/miscount,อีบุษบงรีบไปข้างฝ่ายเหนือ,,
แต่เดี๋ยวนี้อยู่ไม่ได้ไปเหมือนคำ,10,10 syllables — likely shatter/miscount,แต่เดี๋ยวนี้อยู่ไม่ได้ไปเหมือนคำ,,
ตระกองนุชบุษบงอนงค์สมร,10,10 syllables — likely shatter/miscount,ตระกองนุชบุษบงอนงค์สมร,,
แม้นมิกลัวบาปกรรมจะทำลอง,10,10 syllables — likely shatter/miscount,แม้นมิกลัวบาปกรรมจะทำลอง,,
มีแต่เคราะห์พาให้ตกระหกระเหิน,10,10 syllables — likely shatter/miscount,มีแต่เคราะห์พาให้ตกระหกระเหิน,,
แต่ตัวพี่จะกลับไปไม่อยู่ช้า,10,10 syllables — likely shatter/miscount,แต่ตัวพี่จะกลับไปไม่อยู่ช้า,,
