wak,syllables,flag,a,b,c
ถึงเขามฤคดึกดื่นหยุดยืนคราง,9,word straddles a beat boundary,ถึงเขามฤค,ดึกดื่น,หยุดยืนคราง
หูก็ชั่วตัวก็ชาติฉกาจฉกรรจ์,10,10 syllables — likely shatter/miscount,หูก็ชั่วตัวก็ชาติฉกาจฉกรรจ์,,
แกล้งบอกเหตุให้เราคิดปริศนา,10,10 syllables — likely shatter/miscount,แกล้งบอกเหตุให้เราคิดปริศนา,,
กลับย้อนหลังมาหนทางหว่างวิถี,10,10 syllables — likely shatter/miscount,กลับย้อนหลังมาหนทางหว่างวิถี,,
คนทั้งปวงฝ่ายฝรั่งสังรเสริญ,11,11 syllables — likely shatter/miscount,คนทั้งปวงฝ่ายฝรั่งสังรเสริญ,,
นางเซียมวิไลไหว้แล้วถามเนื้อความหลัง,10,10 syllables — likely shatter/miscount,นางเซียมวิไลไหว้แล้วถามเนื้อความหลัง,,
นางเซียมวิไลได้ฟังพระสังฆราช,10,10 syllables — likely shatter/miscount,นางเซียมวิไลได้ฟังพระสังฆราช,,
เห็นสาวเสียวเฉียวฉุนเสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เห็นสาวเสียว,เฉียวฉุน,เสนหา
เหมือนตำนานนางกระตั้วไม่กลัวตาย,11,11 syllables — likely shatter/miscount,เหมือนตำนานนางกระตั้วไม่กลัวตาย,,
เขย่งขยับขยั้นเขยื้อนไม่เหมือนหมาย,12,12 syllables — likely shatter/miscount,เขย่งขยับขยั้นเขยื้อนไม่เหมือนหมาย,,
เมื่อสองสมชมชิดสนิทเสน่ห์,9,word straddles a beat boundary,เมื่อสองสม,ชมชิดสนิท,เสน่ห์
ไม่ขัดขวางห่างเหเสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ไม่ขัดขวาง,ห่างเห,เสนหา
จะแฝงแอบแยบยลกลศึก,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จะแฝงแอบ,แยบยล,กลศึก
คิดขึ้นได้ในตำราม้ากินสวน,11,11 syllables — likely shatter/miscount,คิดขึ้นได้ในตำราม้ากินสวน,,
เห็นจะควรทำได้เหมือนใจหวัง,9,word straddles a beat boundary,เห็นจะควร,ทำได้เหมือน,ใจหวัง
ให้แจ่มเม็ดเก็จกะรัตสิ้นปัดไถม,10,10 syllables — likely shatter/miscount,ให้แจ่มเม็ดเก็จกะรัตสิ้นปัดไถม,,
เนื้อผ่องแผ้วแล้วจะขายจำหน่ายไป,10,10 syllables — likely shatter/miscount,เนื้อผ่องแผ้วแล้วจะขายจำหน่ายไป,,
ให้กลับฟื้นขึ้นเช่นพลอยเหมือนถ้อยคำ,11,11 syllables — likely shatter/miscount,ให้กลับฟื้นขึ้นเช่นพลอยเหมือนถ้อยคำ,,
เงินทองซึ่งจะได้ใช้เหมือนใจหวัง,10,10 syllables — likely shatter/miscount,เงินทองซึ่งจะได้ใช้เหมือนใจหวัง,,
คงสมนึกเหมือนหนึ่งคาดไม่คลาดคลาย,10,10 syllables — likely shatter/miscount,คงสมนึกเหมือนหนึ่งคาดไม่คลาดคลาย,,
พระจดหมายใส่ศิลาจารึกไว้,9,4-syllable word not at วรรค edge,พระจดหมายใส่ศิลาจารึกไว้,,
แล้วพระฝรั่งทั้งพระมังคลา,8,word straddles a beat boundary,แล้วพระฝรั่ง,ทั้ง,พระมังคลา
อันเจนธนูรู้เวทวิเศษขลัง,9,word straddles a beat boundary,อันเจนธนู,รู้เวท,วิเศษขลัง
ไปทางปัศจิมทิศถิ่นมิจฉา,9,word straddles a beat boundary,ไปทางปัศจิม,ทิศ,ถิ่นมิจฉา
ขึ้นฝ่ายเหนือไปกับเรือกปิตัน,10,10 syllables — likely shatter/miscount,ขึ้นฝ่ายเหนือไปกับเรือกปิตัน,,
ใคร่แจ้งความถามฝรั่งพระสังฆราช,10,10 syllables — likely shatter/miscount,ใคร่แจ้งความถามฝรั่งพระสังฆราช,,
หางเสือสะบัดพลัดเพล่เรือเหหัน,10,10 syllables — likely shatter/miscount,หางเสือสะบัดพลัดเพล่เรือเหหัน,,
โยนกำปั่นโงงเงงโคลงเคลงคลอน,9,word straddles a beat boundary,โยนกำปั่น,โงงเงงโคลงเคลง,คลอน
เสียงลมลั่นครั่นครึกจนดึกดื่น,9,word straddles a beat boundary,เสียงลมลั่น,ครั่นครึกจน,ดึกดื่น
เรือก็โผนโยนโขยกกระโดกกระดอน,10,10 syllables — likely shatter/miscount,เรือก็โผนโยนโขยกกระโดกกระดอน,,
คนขึ้นนอนเปลแกว่งพลิกแพลงโยน,9,word straddles a beat boundary,คนขึ้นนอน,เปลแกว่งพลิกแพลง,โยน
ดูอ้างว้างกลางทะเลระเหระหน,10,10 syllables — likely shatter/miscount,ดูอ้างว้างกลางทะเลระเหระหน,,
กินสารพัดผลผลาล้วนกล้าแข็ง,9,word straddles a beat boundary,กินสารพัด,ผลผลา,ล้วนกล้าแข็ง
อังกฤษฝรั่งทั้งแขกแตกวงศ์วาน,9,word straddles a beat boundary,อังกฤษฝรั่ง,ทั้งแขก,แตกวงศ์วาน
อันพระองค์ทรงนามรามเดช,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อันพระองค์,ทรงนาม,รามเดช
อัคเรศร่วมจิตชื่อกฤษณา,10,10 syllables — likely shatter/miscount,อัคเรศร่วมจิตชื่อกฤษณา,,
แต่เป็นคู่อยู่มากว่าห้าสิบปี,10,10 syllables — likely shatter/miscount,แต่เป็นคู่อยู่มากว่าห้าสิบปี,,
ฝ่ายองค์พระสังฆราชผู้บาทหลวง,9,4-syllable word not at วรรค edge,ฝ่ายองค์พระสังฆราชผู้บาทหลวง,,
เห็นดาวอร่ามรายเร่ขึ้นเมฆิน,9,word straddles a beat boundary,เห็นดาวอร่าม,รายเร่,ขึ้นเมฆิน
คงได้ของอื่นสิ้นเหมือนกินทิพ,9,word straddles a beat boundary,คงได้ของ,อื่นสิ้นเหมือน,กินทิพ
แต่ว่าหยิบไม่เป็นผงคงเป็นการ,10,10 syllables — likely shatter/miscount,แต่ว่าหยิบไม่เป็นผงคงเป็นการ,,
เป็นอย่างยอดอยู่เพียงรักสมัครสมาน,10,10 syllables — likely shatter/miscount,เป็นอย่างยอดอยู่เพียงรักสมัครสมาน,,
เหมือนขยำน้ำตาลให้ทานมด,9,word straddles a beat boundary,เหมือนขยำ,น้ำตาล,ให้ทานมด
ได้แก้หน้าปรากฏยศไกร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ได้แก้หน้า,ปรากฏ,ยศไกร
ถึงแก่เฒ่าเล่าก็ดีกว่าอีสาว,9,word straddles a beat boundary,ถึงแก่เฒ่า,เล่าก็ดีกว่า,อีสาว
เรียกแม่แม่แต่ที่ลับกลับเป็นเมีย,10,10 syllables — likely shatter/miscount,เรียกแม่แม่แต่ที่ลับกลับเป็นเมีย,,
ด้วยเคยสนิทศิษย์หากับอาจารย์,9,word straddles a beat boundary,ด้วยเคยสนิท,ศิษย์หา,กับอาจารย์
ฝ่ายองค์ท้าวเจ้ากรุงบำรุงราษฎร์,10,10 syllables — likely shatter/miscount,ฝ่ายองค์ท้าวเจ้ากรุงบำรุงราษฎร์,,
พอลุกยืนขึ้นก็ล้มสิ้นสมประดี,10,10 syllables — likely shatter/miscount,พอลุกยืนขึ้นก็ล้มสิ้นสมประดี,,
ฝ่ายโฉมยงนงลักษณ์อัคเรศ,9,word straddles a beat boundary,ฝ่ายโฉมยง,นงลักษณ์อัค,เรศ
เศียรกระหวัดรัดนางในปรางค์มาศ,9,word straddles a beat boundary,เศียรกระหวัด,รัดนาง,ในปรางค์มาศ
จะมีใครเหมือนเมื่อคราวสาวสำรวย,10,10 syllables — likely shatter/miscount,จะมีใครเหมือนเมื่อคราวสาวสำรวย,,
แม้นเหมือนครั้งยังหนุ่มกระชุ่มกระชวย,10,10 syllables — likely shatter/miscount,แม้นเหมือนครั้งยังหนุ่มกระชุ่มกระชวย,,
นางตรัสถามความอาณาประชาราษฎร์,10,10 syllables — likely shatter/miscount,นางตรัสถามความอาณาประชาราษฎร์,,
ช่วยชี้ขาดขัดขวางเหมือนปางหลัง,9,word straddles a beat boundary,ช่วยชี้ขาด,ขัดขวางเหมือน,ปางหลัง
ซึ่งเป็นเจ้าสิงหลภาษา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ซึ่งเป็นเจ้า,สิงหล,ภาษา
เหมือนชนกชนนีที่รักษา,10,10 syllables — likely shatter/miscount,เหมือนชนกชนนีที่รักษา,,
นางฟังความหวามไหวฤทัยถวิล,9,word straddles a beat boundary,นางฟังความ,หวามไหวฤทัย,ถวิล
เหมือนสุบินจินตนามารศรี,10,10 syllables — likely shatter/miscount,เหมือนสุบินจินตนามารศรี,,
นึกเหมือนเช่นเป็นตระกูลประยูรวงศ์,10,10 syllables — likely shatter/miscount,นึกเหมือนเช่นเป็นตระกูลประยูรวงศ์,,
เสนารับสรรพเสร็จเสด็จกลับ,9,word straddles a beat boundary,เสนารับ,สรรพเสร็จเสด็จ,กลับ
จะเหมือนคาดหรือจะผิดคิดสงสัย,10,10 syllables — likely shatter/miscount,จะเหมือนคาดหรือจะผิดคิดสงสัย,,
มักเหมือนไกกลฝรั่งกำบังตา,10,10 syllables — likely shatter/miscount,มักเหมือนไกกลฝรั่งกำบังตา,,
เหมือนไก่อ่อนจะไปสู้ไอ้อูโต,10,10 syllables — likely shatter/miscount,เหมือนไก่อ่อนจะไปสู้ไอ้อูโต,,
ได้บ้านเมืองเรืองฤทธิ์อิศโร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ได้บ้านเมือง,เรืองฤทธิ์,อิศโร
เป็นนวลเนื้อเชื้อชาติราชหงส์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เป็นนวลเนื้อ,เชื้อชาติ,ราชหงส์
