wak,syllables,flag,a,b,c
หมวกเสื้อใส่ปีกปกเหมือนนกกา,9,word straddles a beat boundary,หมวกเสื้อใส่,ปีกปกเหมือน,นกกา
คือสุดสาครรณรงค์คงกระพัน,10,10 syllables — likely shatter/miscount,คือสุดสาครรณรงค์คงกระพัน,,
ซึ่งทรงสิงห์เหมือนพราหมณ์สงครามขยัน,10,10 syllables — likely shatter/miscount,ซึ่งทรงสิงห์เหมือนพราหมณ์สงครามขยัน,,
แต่พวกหนึ่งซึ่งเหมือนนกวิหคนั้น,10,10 syllables — likely shatter/miscount,แต่พวกหนึ่งซึ่งเหมือนนกวิหคนั้น,,
พระชนนีปรีชาช่วยข้าไท,9,word straddles a beat boundary,พระชนนี,ปรีชา,ช่วยข้าไท
เห็นจะหนักกว่าแต่หลังระวังภัย,10,10 syllables — likely shatter/miscount,เห็นจะหนักกว่าแต่หลังระวังภัย,,
บ้างไหม้เพลาเสากระโดงระโยงระยาง,11,11 syllables — likely shatter/miscount,บ้างไหม้เพลาเสากระโดงระโยงระยาง,,
อึกทึกทุกทัพวิ่งสับสน,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อึกทึกทุก,ทัพวิ่ง,สับสน
ศึกสมทบหลายทัพสลับสลอน,9,word straddles a beat boundary,ศึกสมทบ,หลายทัพสลับ,สลอน
ทั้งสามองค์ทรงพาหนะที่นั่ง,9,word straddles a beat boundary,ทั้งสามองค์,ทรงพาหนะ,ที่นั่ง
สงสารทหารหิวโหยโรยกำลัง,9,word straddles a beat boundary,สงสารทหาร,หิวโหย,โรยกำลัง
จะยกทัพกลับไปตีพรุ่งนี้เช้า,10,10 syllables — likely shatter/miscount,จะยกทัพกลับไปตีพรุ่งนี้เช้า,,
เข้าชิงเอาเมืองใหม่เหมือนใจหวัง,9,word straddles a beat boundary,เข้าชิงเอา,เมืองใหม่เหมือน,ใจหวัง
ต่างถอยทัพกลับเข้าไปในกำแพง,10,10 syllables — likely shatter/miscount,ต่างถอยทัพกลับเข้าไปในกำแพง,,
ไล่ฆ่าพลพวกฝรั่งมังคลา,8,word straddles a beat boundary,ไล่ฆ่าพล,พวกฝรั่ง,มังคลา
พอมาทันโถมจับกลับรับรบ,9,word straddles a beat boundary,พอมาทัน,โถมจับกลับ,รับรบ
กอดกระหวัดรัดแน่นรวบแขนเข้า,9,word straddles a beat boundary,กอดกระหวัด,รัดแน่น,รวบแขนเข้า
พอนางสุนีที่มาด้วยเข้าช่วยทัน,10,10 syllables — likely shatter/miscount,พอนางสุนีที่มาด้วยเข้าช่วยทัน,,
แล้วขึ้นนั่งหลังนิลสินธพ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วขึ้นนั่ง,หลังนิล,สินธพ
พอเห็นหัสกันมาเหมือนลาลี,9,word straddles a beat boundary,พอเห็นหัส,กันมาเหมือน,ลาลี
เผานครการะเวกโหยกเหยกครัน,11,11 syllables — likely shatter/miscount,เผานครการะเวกโหยกเหยกครัน,,
ไปรบพุ่งกรุงผลึกรมจักร,8,word straddles a beat boundary,ไปรบพุ่ง,กรุงผลึก,รมจักร
ทั้งสองท้าวสาวสนมรมจักร,8,word straddles a beat boundary,ทั้งสองท้าว,สาวสนม,รมจักร
ทำโอหังตั้งตัวไม่กลัวเกรง,10,10 syllables — likely shatter/miscount,ทำโอหังตั้งตัวไม่กลัวเกรง,,
เหมือนมนุษย์ในแผ่นดินสิ้นทั้งหลาย,10,10 syllables — likely shatter/miscount,เหมือนมนุษย์ในแผ่นดินสิ้นทั้งหลาย,,
ชื่อว่าอกตัญญูชาติงูพิษ,9,4-syllable word not at วรรค edge,ชื่อว่าอกตัญญูชาติงูพิษ,,
เหมือนพวกมึงซึ่งไม่รู้จักกูนี้,10,10 syllables — likely shatter/miscount,เหมือนพวกมึงซึ่งไม่รู้จักกูนี้,,
ดังทรพีวัดรอยจะคอยขวิด,9,word straddles a beat boundary,ดังทรพี,วัดรอย,จะคอยขวิด
เหมือนโลหิตที่ในกายเกิดร้ายแรง,10,10 syllables — likely shatter/miscount,เหมือนโลหิตที่ในกายเกิดร้ายแรง,,
จึงกลับม้าพาพหลพลไพร่,9,word straddles a beat boundary,จึงกลับ,ม้าพาพหล,พลไพร่
เสื้อกางเกงก็ไม่มีเหมือนผีโป่ง,10,10 syllables — likely shatter/miscount,เสื้อกางเกงก็ไม่มีเหมือนผีโป่ง,,
จักจั่นเจื้อยแจ้วแว่วแว่วเสียง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จักจั่นเจื้อย,แจ้วแว่ว,แว่วเสียง
