wak,syllables,flag,a,b,c
บนแท่นที่เศวตฉัตรจำรัสพราย,10,10 syllables — likely shatter/miscount,บนแท่นที่เศวตฉัตรจำรัสพราย,,
เทพเจ้าเข้าสังหรณ์สุบินนิมิต,10,10 syllables — likely shatter/miscount,เทพเจ้าเข้าสังหรณ์สุบินนิมิต,,
พระฟื้นองค์รู้ว่าทรงสุบินนิมิต,10,10 syllables — likely shatter/miscount,พระฟื้นองค์รู้ว่าทรงสุบินนิมิต,,
เหมือนเราไม่กตัญญูให้อยู่เดียว,10,10 syllables — likely shatter/miscount,เหมือนเราไม่กตัญญูให้อยู่เดียว,,
หนทางจรแต่พี่มาก็กว่าปี,10,10 syllables — likely shatter/miscount,หนทางจรแต่พี่มาก็กว่าปี,,
เราจะบทจรไปในวิถี,9,word straddles a beat boundary,เราจะบทจร,ไป,ในวิถี
ให้เทียมรถพระที่นั่งอลังการ,9,4-syllable word not at วรรค edge,ให้เทียมรถพระที่นั่งอลังการ,,
ตรงจำเพาะรู้กระไรใครจะเหมือน,10,10 syllables — likely shatter/miscount,ตรงจำเพาะรู้กระไรใครจะเหมือน,,
ว่าตัวน้องนี้จะไปในกระสินธุ์,10,10 syllables — likely shatter/miscount,ว่าตัวน้องนี้จะไปในกระสินธุ์,,
ทำตากลอกร้องมาเหมือนขาขาน,9,word straddles a beat boundary,ทำตากลอก,ร้องมาเหมือน,ขาขาน
ม้าก็กลับโดดไปในนที,9,word straddles a beat boundary,ม้าก็กลับ,โดดไป,ในนที
อันธารแถวม้าพินิจสถิตเสถียร,10,10 syllables — likely shatter/miscount,อันธารแถวม้าพินิจสถิตเสถียร,,
พระสุริยงไตรตรัสจรัสจรูญ,10,10 syllables — likely shatter/miscount,พระสุริยงไตรตรัสจรัสจรูญ,,
ค่อยอยู่เถิดพี่จะลาสุดาขนิษฐ์,10,10 syllables — likely shatter/miscount,ค่อยอยู่เถิดพี่จะลาสุดาขนิษฐ์,,
สำเร็จกิจจะกลับมาหาสมร,10,10 syllables — likely shatter/miscount,สำเร็จกิจจะกลับมาหาสมร,,
นัยน์เนตรคลอคลองนองน้ำตา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นัยน์เนตรคลอ,คลองนอง,น้ำตา
พระทรงหยิบเครื่องเคราไม้เท้าทอง,9,word straddles a beat boundary,พระทรงหยิบ,เครื่องเครา,ไม้เท้าทอง
ที่สิงคุตรเนินพนมร่มรุกขา,10,10 syllables — likely shatter/miscount,ที่สิงคุตรเนินพนมร่มรุกขา,,
ว่าตัวเราเล่าถวายบังคมลา,9,4-syllable word not at วรรค edge,ว่าตัวเราเล่าถวายบังคมลา,,
อธิษฐานนึกถึงคุณพระมุนี,10,10 syllables — likely shatter/miscount,อธิษฐานนึกถึงคุณพระมุนี,,
ชมละเมาะเกาะเกียนเหมือนเขียนวาด,9,word straddles a beat boundary,ชมละเมาะ,เกาะเกียนเหมือน,เขียนวาด
บางปริปริ่มอยู่ในน้ำเห็นรำไร,10,10 syllables — likely shatter/miscount,บางปริปริ่มอยู่ในน้ำเห็นรำไร,,
ฝูงกริวกราวเต่าตามกันงามดี,10,10 syllables — likely shatter/miscount,ฝูงกริวกราวเต่าตามกันงามดี,,
เป็นกลุ่มกลุ่มกลิ้งเกลือกเสลือกสลน,11,11 syllables — likely shatter/miscount,เป็นกลุ่มกลุ่มกลิ้งเกลือกเสลือกสลน,,
ว่ายตามเกลียววังวนชลสาย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ว่ายตามเกลียว,วังวน,ชลสาย
สาคเรศวังวนชลธา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",สาคเรศ,วังวน,ชลธา
จะพรรณนามากมายมีหลายพรรณ,9,word straddles a beat boundary,จะพรรณนา,มากมาย,มีหลายพรรณ
ทั้งปริงปรางลางสาดประหลาดรส,10,10 syllables — likely shatter/miscount,ทั้งปริงปรางลางสาดประหลาดรส,,
ครั้นเสร็จสรรพกลับมานั่งฝั่งชลา,10,10 syllables — likely shatter/miscount,ครั้นเสร็จสรรพกลับมานั่งฝั่งชลา,,
ถึงสาชลวนวังที่เวิ้งกุ้ง,9,word straddles a beat boundary,ถึงสาชล,วนวัง,ที่เวิ้งกุ้ง
ระลอกพลุ่งดูเป็นพรายในกระสินธุ์,10,10 syllables — likely shatter/miscount,ระลอกพลุ่งดูเป็นพรายในกระสินธุ์,,
เพราะน้ำเจิ่งดูกระจ่างสว่างไสว,10,10 syllables — likely shatter/miscount,เพราะน้ำเจิ่งดูกระจ่างสว่างไสว,,
กลัวอาชาม้ามังกรหนีซ่อนซน,10,10 syllables — likely shatter/miscount,กลัวอาชาม้ามังกรหนีซ่อนซน,,
