wak,syllables,flag,guess,a,b,c
องค์มณฑาเสด็จสวรรคครรไล,9,word straddles a beat boundary,องค์มณฑา | เสด็จสวรรค | ครรไล,,,
เชิญศพใส่ไว้ปราสาทกั้นราชวัติ,10,10 syllables — likely shatter/miscount,เชิญศพใส่ไว้ปราสาทกั้นราชวัติ,,,
นิมนต์มุนีที่บำเพ็งบวชเคร่งครัด,10,10 syllables — likely shatter/miscount,นิมนต์มุนีที่บำเพ็งบวชเคร่งครัด,,,
ตามกำหนดจดวันชันษา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ตามกำหนด | จดวัน | ชันษา,,,
ถวายพระราชสารสมเด็จพระเชษฐา,10,10 syllables — likely shatter/miscount,ถวายพระราชสารสมเด็จพระเชษฐา,,,
เหมือนเรื่องความตามสวรรคครรไล,9,word straddles a beat boundary,เหมือนเรื่อง | ความตามสวรรค | ครรไล,,,
ฝากสุรางค์นางนาฏพระญาติวงศ์,9,word straddles a beat boundary,ฝากสุรางค์ | นางนาฏพระญาติ | วงศ์,,,
ตื่นบรรทมประนมหัตถ์อธิษฐาน,10,10 syllables — likely shatter/miscount,ตื่นบรรทมประนมหัตถ์อธิษฐาน,,,
พระนิพพานนิ่งสนิทเหมือนนิทรา,10,10 syllables — likely shatter/miscount,พระนิพพานนิ่งสนิทเหมือนนิทรา,,,
เห็นสมควรชวนสองดาบสินี,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เห็นสมควรชวน | สองดาบ | สินี,,,
หนังสือเฉวียนวระชาตามดาบส,10,10 syllables — likely shatter/miscount,หนังสือเฉวียนวระชาตามดาบส,,,
ดูมืดกลุ้มคลุ้มคลื่นเสียงครืนครั่น,9,word straddles a beat boundary,ดูมืดกลุ้ม | คลุ้มคลื่น | เสียงครืนครั่น,,,
คลื่นกระทบกระแทกป่วนให้หวนเห,10,10 syllables — likely shatter/miscount,คลื่นกระทบกระแทกป่วนให้หวนเห,,,
ออกมเหสระตินสายสินธู,10,10 syllables — likely shatter/miscount,ออกมเหสระตินสายสินธู,,,
ไปสามเดือนเหมือนหนึ่งเหาะสิ้นเกาะแก่ง,10,10 syllables — likely shatter/miscount,ไปสามเดือนเหมือนหนึ่งเหาะสิ้นเกาะแก่ง,,,
จนสุดแสงสุริเยนทร์เห็นรุบหรู่,10,10 syllables — likely shatter/miscount,จนสุดแสงสุริเยนทร์เห็นรุบหรู่,,,
ชื่อละเมาะเกาะกัลปังหา,8,word straddles a beat boundary,ชื่อละเมาะ | เกาะกัลปังหา,,,
กว้างร้อยโยชน์โขดนิลเหมือนศิลา,9,word straddles a beat boundary,กว้างร้อยโยชน์ | โขดนิลเหมือน | ศิลา,,,
อยู่เขตแคว้นแดนกัลปังหา,8,word straddles a beat boundary,อยู่เขตแคว้น | แดนกัลปังหา,,,
บ้างอยู่ฝั่งสาชลล้วนคนทะเล,10,10 syllables — likely shatter/miscount,บ้างอยู่ฝั่งสาชลล้วนคนทะเล,,,
เสียงพูดจาว้าโว้ปะโหรปะเหร,11,11 syllables — likely shatter/miscount,เสียงพูดจาว้าโว้ปะโหรปะเหร,,,
จะแปลภาษามนุษย์สุดคะเน,9,4-syllable word not at วรรค edge,จะแปลภาษามนุษย์สุดคะเน,,,
คือลูกกัลปังหาในวารี,9,4-syllable word not at วรรค edge,คือลูกกัลปังหาในวารี,,,
เทพไทให้เห็นเช่นมนุษย์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เทพไทให้ | เห็นเช่น | มนุษย์,,,
รูปงามสุดสมเล่ห์เสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",รูปงามสุด | สมเล่ห์ | เสนหา,,,
ครั้นลูกมีสีเหมือนนิลดั่งจินดา,10,10 syllables — likely shatter/miscount,ครั้นลูกมีสีเหมือนนิลดั่งจินดา,,,
กินลูกกัลปังหาเป็นอาหาร,9,4-syllable word not at วรรค edge,กินลูกกัลปังหาเป็นอาหาร,,,
ล้วนหอมกลิ่นมังสาเหมือนมาลี,9,word straddles a beat boundary,ล้วนหอมกลิ่น | มังสาเหมือน | มาลี,,,
ชื่อเจ้าตรีพลำมีกำลัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ชื่อเจ้าตรี | พลำมี | กำลัง,,,
เห็นเงื้อมเงาเขากัลปังหา,8,word straddles a beat boundary,เห็นเงื้อมเงา | เขากัลปังหา,,,
ที่หนุนเรือเคลื่อนคล้อยกลับถอยหลัง,9,word straddles a beat boundary,ที่หนุนเรือ | เคลื่อนคล้อยกลับ | ถอยหลัง,,,
ไม่เหมือนกกกอดพระทองนะน้องเอ๋ย,10,10 syllables — likely shatter/miscount,ไม่เหมือนกกกอดพระทองนะน้องเอ๋ย,,,
ทั้งเจ้าตรีพลำเล่นน้ำไหล,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งเจ้าตรี | พลำเล่น | น้ำไหล,,,
ผิวเหมือนนิลนวลละอองผุดผ่องศรี,10,10 syllables — likely shatter/miscount,ผิวเหมือนนิลนวลละอองผุดผ่องศรี,,,
จึ่งปราศรัยไพเราะเสนาะสนอง,9,word straddles a beat boundary,จึ่งปราศรัย | ไพเราะเสนาะ | สนอง,,,
