wak,syllables,flag,a,b,c
ได้ครองสิงหลไว้เหมือนใจหวัง,9,word straddles a beat boundary,ได้ครองสิง,หลไว้เหมือน,ใจหวัง
เสวยสมบัติลังกาอัชฌาสัย,9,word straddles a beat boundary,เสวยสมบัติ,ลังกา,อัชฌาสัย
ทั้งศึกเสือเหนือใต้พวกไพรี,8,word straddles a beat boundary,ทั้งศึกเสือเหนือใต้,พวก,ไพรี
จะไปยังลังกามหาสถาน,9,word straddles a beat boundary,จะไปยัง,ลังกามหา,สถาน
พลทัพนับแสนแน่นอเนก,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลทัพนับ,แสนแน่น,อเนก
ทั้งนงลักษณ์อัคเรศเกศตระกูล,10,10 syllables — likely shatter/miscount,ทั้งนงลักษณ์อัคเรศเกศตระกูล,,
จึงทูลความจักรพรรดิ์กษัตริย์ศรี,10,10 syllables — likely shatter/miscount,จึงทูลความจักรพรรดิ์กษัตริย์ศรี,,
ศัตรูกริ่งเกรงจบสยบสยอน,9,word straddles a beat boundary,ศัตรูกริ่ง,เกรงจบสยบ,สยอน
พระทรงฟังสังรเสริญเจริญยศ,11,11 syllables — likely shatter/miscount,พระทรงฟังสังรเสริญเจริญยศ,,
จึงมีพจนาตรัสปราศรัย,8,word straddles a beat boundary,จึงมีพจนา,ตรัส,ปราศรัย
ให้เลี้ยงดูหมู่พหลพลไกร,8,word straddles a beat boundary,ให้เลี้ยงดู,หมู่พหล,พลไกร
สู้ติดสอยไปมาเหมือนข้าไท,9,word straddles a beat boundary,สู้ติดสอย,ไปมาเหมือน,ข้าไท
ภิปรายปราศรัยเสร็จเสด็จจร,8,word straddles a beat boundary,ภิปรายปราศรัย,เสร็จ,เสด็จจร
ฝาผนังฝังกระจกเป็นเงาฉาย,10,10 syllables — likely shatter/miscount,ฝาผนังฝังกระจกเป็นเงาฉาย,,
แล้วทรงผลัดภูษาทรงสรงกระสินธุ์,10,10 syllables — likely shatter/miscount,แล้วทรงผลัดภูษาทรงสรงกระสินธุ์,,
แล้วทรงเครื่องเรืองระยับสำหรับกษัตริย์,10,10 syllables — likely shatter/miscount,แล้วทรงเครื่องเรืองระยับสำหรับกษัตริย์,,
ที่ตึกกลางหว่างประตูข้างบูรพทิศ,10,10 syllables — likely shatter/miscount,ที่ตึกกลางหว่างประตูข้างบูรพทิศ,,
เป็นเปลวเพลิงรุ่งโรจน์โชตินา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เป็นเปลวเพลิง,รุ่งโรจน์,โชตินา
ถึงราหูคู่กาลกิณี,8,word straddles a beat boundary,ถึงราหู,คู่กาลกิณี,
จะขุ่นเคืองเกิดศึกเหมือนนึกหมาย,9,word straddles a beat boundary,จะขุ่นเคือง,เกิดศึกเหมือน,นึกหมาย
กรมแสงสารพัดให้จัดการ,8,word straddles a beat boundary,กรมแสงสารพัด,ให้,จัดการ
เหมือนยกทุกข์เอาไปขว้างกลางสิงขร,10,10 syllables — likely shatter/miscount,เหมือนยกทุกข์เอาไปขว้างกลางสิงขร,,
คงจะสมปรารถนาเอ็งอย่าแคลง,10,10 syllables — likely shatter/miscount,คงจะสมปรารถนาเอ็งอย่าแคลง,,
เหมือนกฎหมายข้างฝรั่งตั้งพิกัด,10,10 syllables — likely shatter/miscount,เหมือนกฎหมายข้างฝรั่งตั้งพิกัด,,
ให้เป็นเหยื่อมัจฉาในสาคร,9,word straddles a beat boundary,ให้เป็นเหยื่อ,มัจฉา,ในสาคร
จะปรับโทษเหมือนขบถที่โทษกรณ์,11,11 syllables — likely shatter/miscount,จะปรับโทษเหมือนขบถที่โทษกรณ์,,
จับอ้ายพวกเข้ามาอยู่เหมือนผู้ร้าย,10,10 syllables — likely shatter/miscount,จับอ้ายพวกเข้ามาอยู่เหมือนผู้ร้าย,,
