wak,syllables,flag,guess,a,b,c
แล้วจึ่งหยิบหญ้าคาออกมากอง,9,word straddles a beat boundary,แล้วจึ่งหยิบ | หญ้าคา | ออกมากอง,,,
โยนขึ้นอากาศดังเสียงวังเวง,8,word straddles a beat boundary,โยนขึ้นอากาศ | ดัง | เสียงวังเวง,,,
บันลือลั่นไพเราะเสียงเหมาะเหมง,10,10 syllables — likely shatter/miscount,บันลือลั่นไพเราะเสียงเหมาะเหมง,,,
ว่าเหวยเหวยกษัตราพวกฝาหรั่ง,11,11 syllables — likely shatter/miscount,ว่าเหวยเหวยกษัตราพวกฝาหรั่ง,,,
จงยับยั้งเอ็งอย่าเต้นเหมือนเล่นโขน,10,10 syllables — likely shatter/miscount,จงยับยั้งเอ็งอย่าเต้นเหมือนเล่นโขน,,,
ทศพิธตรึงส์ไตรเจ้าไอศวรรย์,9,word straddles a beat boundary,ทศพิธตรึงส์ | ไตรเจ้า | ไอศวรรย์,,,
จะกลับใจหรือไม่กลับจงรับคำ,10,10 syllables — likely shatter/miscount,จะกลับใจหรือไม่กลับจงรับคำ,,,
เสียงครั้นครึกกลางมหาชลาไหล,10,10 syllables — likely shatter/miscount,เสียงครั้นครึกกลางมหาชลาไหล,,,
แล้วให้ยิงปืนพิรุณกระสุนแตก,10,10 syllables — likely shatter/miscount,แล้วให้ยิงปืนพิรุณกระสุนแตก,,,
จนเป็นเหยื่อฝูงปลาในสาคร,9,word straddles a beat boundary,จนเป็นเหยื่อ | ฝูงปลา | ในสาคร,,,
ลงนั่งรากแทบจะตายสวายสวิง,10,10 syllables — likely shatter/miscount,ลงนั่งรากแทบจะตายสวายสวิง,,,
วิถีทางกลางมหาสมุทรไท,9,4-syllable word not at วรรค edge,วิถีทางกลางมหาสมุทรไท,,,
ที่นั่งทรงองค์กษัตริย์หัสกัน,8,word straddles a beat boundary,ที่นั่งทรง | องค์กษัตริย์ | หัสกัน,,,
ด้วยอำนาจแก้วเก็จเพชรรัตน์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ด้วยอำนาจ | แก้วเก็จ | เพชรรัตน์,,,
พวกฝูงสัตว์กลัวขย้อนจนอ่อนหู,10,10 syllables — likely shatter/miscount,พวกฝูงสัตว์กลัวขย้อนจนอ่อนหู,,,
จะเสี่ยงสัตย์อธิษฐานการกุศล,10,10 syllables — likely shatter/miscount,จะเสี่ยงสัตย์อธิษฐานการกุศล,,,
พอสินคำหกกษัตริย์อธิษฐาน,10,10 syllables — likely shatter/miscount,พอสินคำหกกษัตริย์อธิษฐาน,,,
ทั้งฟ้าดินมิได้เห็นว่าเป็นไฉน,10,10 syllables — likely shatter/miscount,ทั้งฟ้าดินมิได้เห็นว่าเป็นไฉน,,,
ตามพระราชประสงค์พวกพงศา,9,4-syllable word not at วรรค edge,ตามพระราชประสงค์พวกพงศา,,,
ตามเวราที่ได้สร้างเหมือนอย่างทูล,10,10 syllables — likely shatter/miscount,ตามเวราที่ได้สร้างเหมือนอย่างทูล,,,
จะขอให้โหราพยากรณ์,7,"word straddles a beat boundary; 7 syllables — ambiguous, [3,2,2] is only a guess",จะขอให้ | โหราพยากรณ์,,,
ป่างพระองค์ผู้ดำรงรมจักร,8,word straddles a beat boundary,ป่างพระองค์ | ผู้ดำรง | รมจักร,,,
ทั้งนัดดาโอรสยศยง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งนัดดา | โอรส | ยศยง,,,
เป็นเที่ยงแท้แน่เหมือนคิดดั่งจิตจง,10,10 syllables — likely shatter/miscount,เป็นเที่ยงแท้แน่เหมือนคิดดั่งจิตจง,,,
สีเหมือนไฟบนอากาศดาษดา,10,10 syllables — likely shatter/miscount,สีเหมือนไฟบนอากาศดาษดา,,,
ที่เมฆกลุ้มอากาศดาษดา,9,word straddles a beat boundary,ที่เมฆกลุ้ม | อากาศ | ดาษดา,,,
พื้นอัมพรเห็นสว่างเหมือนอย่างทาย,10,10 syllables — likely shatter/miscount,พื้นอัมพรเห็นสว่างเหมือนอย่างทาย,,,
โหรเขาคาดตามคัมภีร์ดีใจหาย,10,10 syllables — likely shatter/miscount,โหรเขาคาดตามคัมภีร์ดีใจหาย,,,
แล้วจะตามกันเข้าไปในบุรินทร์,10,10 syllables — likely shatter/miscount,แล้วจะตามกันเข้าไปในบุรินทร์,,,
ครั้นทินกรแจ่มกระจ่างสว่างตา,10,10 syllables — likely shatter/miscount,ครั้นทินกรแจ่มกระจ่างสว่างตา,,,
สมถวิลเหมือนหนึ่งในพระทัยหวัง,10,10 syllables — likely shatter/miscount,สมถวิลเหมือนหนึ่งในพระทัยหวัง,,,
จงจัดเหล่าเสนมีกำลัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",จงจัดเหล่า | เสนมี | กำลัง,,,
ห้ากษด่รียจัดพหลพลรบ,10,10 syllables — likely shatter/miscount,ห้ากษด่รียจัดพหลพลรบ,,,
ลมก็ตีเข้าฝั่งเหมือนอย่างใจ,9,word straddles a beat boundary,ลมก็ตี | เข้าฝั่งเหมือน | อย่างใจ,,,
พระเทวสินธุ์เจ้าจังหวัดปัถพี,10,10 syllables — likely shatter/miscount,พระเทวสินธุ์เจ้าจังหวัดปัถพี,,,
