wak,syllables,flag,a,b,c
ลงเรือกัลปังหาอย่าช้าที,9,4-syllable word not at วรรค edge,ลงเรือกัลปังหาอย่าช้าที,,
จะไปพักอยู่ลังกาคอยวาหุโลม,11,11 syllables — likely shatter/miscount,จะไปพักอยู่ลังกาคอยวาหุโลม,,
ท้าวเสด็จจรจรัลรีบผันผาย,10,10 syllables — likely shatter/miscount,ท้าวเสด็จจรจรัลรีบผันผาย,,
จากไพชยนต์ลงกำปั่นให้ลั่นปืน,10,10 syllables — likely shatter/miscount,จากไพชยนต์ลงกำปั่นให้ลั่นปืน,,
พวกที่ไปเมืองผลึกเหมือนนึกหมาย,10,10 syllables — likely shatter/miscount,พวกที่ไปเมืองผลึกเหมือนนึกหมาย,,
จอมกษัตริย์บรมวงศ์ประสงค์ถวิล,10,10 syllables — likely shatter/miscount,จอมกษัตริย์บรมวงศ์ประสงค์ถวิล,,
พระถามราชการกิจวินิจฉัย,9,word straddles a beat boundary,พระถามราชการ,กิจ,วินิจฉัย
ฝ่ายพระจอมสินสมุทรภุชพงศ์,8,word straddles a beat boundary,ฝ่ายพระจอม,สินสมุทร,ภุชพงศ์
เชิญพระหลานมาลังกาพาราสถาน,10,10 syllables — likely shatter/miscount,เชิญพระหลานมาลังกาพาราสถาน,,
จะภิเษกนัดดาไปธานินทร์,9,word straddles a beat boundary,จะภิเษก,นัดดา,ไปธานินทร์
จะราชาภิเษกหลานเป็นการใหญ่,9,4-syllable word not at วรรค edge,จะราชาภิเษกหลานเป็นการใหญ่,,
พวกกัลยาตามเสด็จจากเขตคัน,10,10 syllables — likely shatter/miscount,พวกกัลยาตามเสด็จจากเขตคัน,,
ชาวพารารีบไปทูลมูลคดี,10,10 syllables — likely shatter/miscount,ชาวพารารีบไปทูลมูลคดี,,
เอาไปรับจอมกษัตริย์ราชหงส์,8,word straddles a beat boundary,เอาไปรับ,จอมกษัตริย์,ราชหงส์
จงพากันลงไปรับประคับประคอง,10,10 syllables — likely shatter/miscount,จงพากันลงไปรับประคับประคอง,,
