wak,syllables,flag,a,b,c
ไปชมสวนเพชรนิลดังจินดา,10,10 syllables — likely shatter/miscount,ไปชมสวนเพชรนิลดังจินดา,,
แล้วจะได้ไปพาราการะเวก,10,10 syllables — likely shatter/miscount,แล้วจะได้ไปพาราการะเวก,,
เลี้ยงโอรสที่ในครรภ์ของกัลยา,10,10 syllables — likely shatter/miscount,เลี้ยงโอรสที่ในครรภ์ของกัลยา,,
เป็นสัจจังหวังจิตสนิทสนอง,9,word straddles a beat boundary,เป็นสัจจัง,หวังจิตสนิท,สนอง
ขอเป็นน้องรองบาทเหมือนมาดมุ่ง,9,word straddles a beat boundary,ขอเป็นน้อง,รองบาทเหมือน,มาดมุ่ง
ครั้นสิ้นบุญแม่พ่อมรณา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ครั้นสิ้นบุญ,แม่พ่อ,มรณา
ทั้งสองข้างต่างคิดสนิทสนอง,9,word straddles a beat boundary,ทั้งสองข้าง,ต่างคิดสนิท,สนอง
จะอยู่ดึกนึกก็คิดเหมือนกีดขวาง,10,10 syllables — likely shatter/miscount,จะอยู่ดึกนึกก็คิดเหมือนกีดขวาง,,
เชิงฉลาดในเล่ห์เสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เชิงฉลาด,ในเล่ห์,เสนหา
จวนจะกลับหลับนอนผ่อนกำลัง,9,word straddles a beat boundary,จวนจะกลับ,หลับนอน,ผ่อนกำลัง
อย่านิ่งนั่งทนหนาวจะหาวนอน,9,word straddles a beat boundary,อย่านิ่งนั่ง,ทนหนาวจะ,หาวนอน
นางยิ้มเยื้อนเหมือนจะเย้ยเฉลยฉลอง,11,11 syllables — likely shatter/miscount,นางยิ้มเยื้อนเหมือนจะเย้ยเฉลยฉลอง,,
แต่อายเหล่าสาวสุรางค์นางกำนัล,10,10 syllables — likely shatter/miscount,แต่อายเหล่าสาวสุรางค์นางกำนัล,,
เชิญพระไปห้องนางเหมือนอย่างเคย,9,word straddles a beat boundary,เชิญพระไป,ห้องนางเหมือน,อย่างเคย
จะออกนอกราชการคิดอ่านไฉน,10,10 syllables — likely shatter/miscount,จะออกนอกราชการคิดอ่านไฉน,,
ต้องคลาดแคล้วมิได้เห็นเหมือนเช่นเขา,10,10 syllables — likely shatter/miscount,ต้องคลาดแคล้วมิได้เห็นเหมือนเช่นเขา,,
นางว่าเบื่อเหลืออดสูกระทู้หลวง,10,10 syllables — likely shatter/miscount,นางว่าเบื่อเหลืออดสูกระทู้หลวง,,
จะปราบปรามให้เหมือนไก่อยู่ในมือ,10,10 syllables — likely shatter/miscount,จะปราบปรามให้เหมือนไก่อยู่ในมือ,,
ต้องดึงดื้อด้วยวิบากกระดากกระเด็น,10,10 syllables — likely shatter/miscount,ต้องดึงดื้อด้วยวิบากกระดากกระเด็น,,
เหมือนสาวแส้สมจะเรียงเคียงเขนย,10,10 syllables — likely shatter/miscount,เหมือนสาวแส้สมจะเรียงเคียงเขนย,,
จึงเฉยเมยมิได้เหมือนเพื่อนทั้งปวง,10,10 syllables — likely shatter/miscount,จึงเฉยเมยมิได้เหมือนเพื่อนทั้งปวง,,
ไปพบอื่นชื่นชุ่มเหมือนพุ่มพวง,9,word straddles a beat boundary,ไปพบอื่น,ชื่นชุ่มเหมือน,พุ่มพวง
เจ้ามันสุดแสนงอนเหมือนช้อนหอย,9,word straddles a beat boundary,เจ้ามันสุด,แสนงอนเหมือน,ช้อนหอย
จะหาไหนได้เหมือนเจ้าถึงเฒ่าแก่,10,10 syllables — likely shatter/miscount,จะหาไหนได้เหมือนเจ้าถึงเฒ่าแก่,,
เมื่อกระนั้นนั่นสิน้องไม่ต้องเตือน,10,10 syllables — likely shatter/miscount,เมื่อกระนั้นนั่นสิน้องไม่ต้องเตือน,,
พี่ก็รู้อยู่ว่ายากกระดากกระเดื่อง,10,10 syllables — likely shatter/miscount,พี่ก็รู้อยู่ว่ายากกระดากกระเดื่อง,,
ด้วยเต็มเคืองสุขุมเหมือนสุมขอน,9,word straddles a beat boundary,ด้วยเต็มเคือง,สุขุมเหมือน,สุมขอน
เหมือนเมื่อปีมีวันจันทร์อังฆาต,10,10 syllables — likely shatter/miscount,เหมือนเมื่อปีมีวันจันทร์อังฆาต,,
