wak,syllables,flag,a,b,c
บ้างตั้งเตาเอาลูกปรายกรวดทรายคั่ว,10,10 syllables — likely shatter/miscount,บ้างตั้งเตาเอาลูกปรายกรวดทรายคั่ว,,
หลอมตะกั่วคอยสาดเหมือนมาดหมาย,9,word straddles a beat boundary,หลอมตะกั่ว,คอยสาดเหมือน,มาดหมาย
เหล็กฝรั่งทั้งสิ้นเหมือนชินอ่อน,9,word straddles a beat boundary,เหล็กฝรั่ง,ทั้งสิ้นเหมือน,ชินอ่อน
เข้าฟันฟอนยู่ยับกลับตลบ,9,word straddles a beat boundary,เข้าฟันฟอน,ยู่ยับกลับ,ตลบ
เห็นเมฆกลุ้มคลุมฟ้าเวหาหน,9,word straddles a beat boundary,เห็นเมฆกลุ้ม,คลุมฟ้า,เวหาหน
ตายดื่นดาดกลับมาอีกไม่หลีกหลบ,10,10 syllables — likely shatter/miscount,ตายดื่นดาดกลับมาอีกไม่หลีกหลบ,,
จะกล่าวกลับทัพผลึกออกลึกแล่น,10,10 syllables — likely shatter/miscount,จะกล่าวกลับทัพผลึกออกลึกแล่น,,
พระเจ้าเมืองลังกานราสวรรค์,9,word straddles a beat boundary,พระเจ้าเมือง,ลังกานรา,สวรรค์
แล้วกลับมาพากันเข้าเฝ้าทั้งสาม,10,10 syllables — likely shatter/miscount,แล้วกลับมาพากันเข้าเฝ้าทั้งสาม,,
ยิงปืนใหญ่ออกกำปั่นเหมือนสัญญา,10,10 syllables — likely shatter/miscount,ยิงปืนใหญ่ออกกำปั่นเหมือนสัญญา,,
จะโอนอ่อนอัภิวาทบาทยุคล,10,10 syllables — likely shatter/miscount,จะโอนอ่อนอัภิวาทบาทยุคล,,
ด้วยจงรักรู้คุณการุญสนอง,9,word straddles a beat boundary,ด้วยจงรัก,รู้คุณการุญ,สนอง
เหมือนคำนับไว้ในลักษณ์ในอักษร,10,10 syllables — likely shatter/miscount,เหมือนคำนับไว้ในลักษณ์ในอักษร,,
ทั้งม้าทรงองค์พระกฤษณาน้อง,9,word straddles a beat boundary,ทั้งม้าทรง,องค์พระกฤษณา,น้อง
พระกฤษณาถาโถมเข้าโรมรัน,9,word straddles a beat boundary,พระกฤษณา,ถาโถม,เข้าโรมรัน
พระกฤษณาม้าล้มลงสลบ,9,word straddles a beat boundary,พระกฤษณา,ม้าล้ม,ลงสลบ
