w1,w2,w3,w4
ครานั้นขุนแผนแสนสงคราม,พระท้ายน้ำพลายงามนั่งปรึกษา,บัดนี้มีชัยได้พารา,จำจะแจ้งกิจจาไปกรุงไกร
ให้พระองค์ทรงทราบข่าวคดี,ว่าเราตีเอาเมืองเชียงใหม่ได้,ทั้งตัวเจ้าเชียงอินท์ปิ่นราชัย,จะโปรดปรานประการใดให้รู้ความ
จึงพร้อมใจให้เขียนเป็นสารา,ประทับตราหนุมานชาญสนาม,กับสำเนาเข้าผนึกบันทึกความ,ห่อสามชั้นใส่ในกลักพลัน
ปากกระบอกพอกครั่งประจำตรา,สั่งนายปานขวานฟ้านายคงมั่น,เอ็งไปเลือกม้าดีที่สำคัญ,พากันรีบไปในพรุ่งนี้
ไปทางลัดตัดตรงลงระแหง,พ้นกำแพงหมายมุ่งเอากรุงศรี,เสร็จการกลับมาอย่าช้าที,ให้ถึงนี่ปลายเดือนอย่าเคลื่อนคลา
สองนายคำนับรับกระบอก,ออกมารีบรัดจัดห่อผ้า,ได้ข้าวตากกรอกไถ้ไปผูกม้า,เลือกหาถูกทำนองที่ว่องไว
ตรงมาศาลาลูกขุนใน,เรียนเจ้าคุณผู้ใหญ่อยู่พร้อมหน้า,บัดนี้ท่านขุนแผนแสนศักดา,ให้กระผมถือตรามากราบท้าว
บอกขานการไปรณรงค์,ให้กราบทูลพระองค์ทรงทราบข่าว,ว่าบัดนี้มีชัยได้เมืองลาว,จะโปรดเกล้าโปรดกระหม่อมประการใด
ครานั้นท่านเจ้าคุณอธิบดี,ทราบว่าตีได้เวียงเมืองเชียงใหม่,สั่งนายเวรทันทีด้วยดีใจ,คัดบอกไวไวมาให้เรา
นุ่งสมปักปูมแดงแย่งนาคราช,หยิบผ้ากราบมาคาดบั้นเอวเข้า,จวนเสด็จออกข้างหน้าเวลาเช้า,ก็รีบไปคอยเฝ้าพระทรงธรรม์
ประทับเหนือพระที่นั่งบัลลังก์รัตน์,ภายใต้เศวตฉัตรจำรัสฉาย,เหล่าอำมาตย์หมื่นหมอบนอบน้อมกาย,กราบถวายบังคมอยู่พร้อมกัน
ครานั้นท่านเจ้าคุณอธิบดี,กราบทูลทันทีขมีขมัน,ขอเดชะพระองค์ผู้ทรงธรรม์,ชีวันอยู่ใต้พระบาทา
บัดนี้ขุนแผนแสนสงคราม,กับนายพลายงามซึ่งอาสา,บอกมากราบทูลพระกรุณา,เสมียนตราคลี่บอกออกอ่านพลัน
ในบอกว่าขุนแผนแสนสงคราม,กับนายพลายงามคนขยัน,อาสาบาทบงสุ์พระทรงธรรม์,คุมพหลพลขันธ์ไปชิงชัย
ได้เร่งรัดจัตุรงค์ทวยหาญ,ยกขึ้นไปถึงชานเมืองเชียงใหม่,ให้หยุดทัพยับยั้งตั้งซุ่มไว้,แล้วปลอมตัวเข้าไปในพารา
เวลาค่ำลอบเข้าในคุกใหญ่,แก้ไขไทยมาได้ถ้วนหน้า,ช่วยกันฆ่าคนปล้นช้างม้า,แล้วกลับมาที่ตั้งยั้งโยธี
ครั้นรุ่งเช้าลาวยกมาห้าทัพ,ไพร่พลคนคับทั้งไพรศรี,ข้าพเจ้าขับพลเข้าราวี,ต่อตีรบรุมตะลุมบอน
ฆ่านายตายลงในที่รบ,ไพร่ก็หลบหนีหายกระจายว่อน,ทั้งห้าทัพกลับถอยเข้านคร,ปิดประตูลงกลอนไว้ทุกชั้น
ในคืนนั้นข้าพเจ้ากับพลายงาม,ลอบตามขึ้นปราสาทเจ้าเชียงใหม่,พบกำลังนอนหลับจับตัวไว้,แล้วปลุกขึ้นตกใจอยู่ลนลาน
ส่วนตัวนั้นก็ถ่อมยอมเป็นข้า,ถวายราชบรรณาจนดับจิต,ขอแต่อย่าให้ตายวายชีวิต,ให้ความสัตย์สุจริตทุกสิ่งอัน
เห็นรับเป็นสัจจังพอฟังได้,จึงงดไว้ไม่ฆ่าให้อาสัญ,ข้าพเจ้าตรึกตราปรึกษากัน,ให้นายปานกับนายมั่นถือบอกมา
ครานั้นพระองค์ผู้ทรงเดช,ทราบเหตุว่าตีเชียงใหม่ได้,ราวกับจอมสุทัศน์สหัสนัยน์,มาเชิญให้ไปผ่านพิมานอินทร์
พระพักตร์ผุดผ่องพรรณรังสี,เปรมปรีดิ์ชื่นชมสมถวิล,เออกระนี้สิหนอพอได้ยิน,เหมือนปลิดปลดหมดสิ้นที่ขุ่นแค้น
กูเป็นไข้ใจมานี่กว่าปี,วันนี้หายป่วยด้วยขุนแผน,ที่มันทำความชอบจะตอบแทน,ทั้งพ่อลูกให้แม้นเสมอกัน
เจ้าพระยาจักรีจงมีตรา,ให้หากองทัพกลับเขตขัณฑ์,ส่วนอ้ายเถ้าเจ้าเมืองเชียงใหม่นั้น,ว่าโทษมันถึงอุกฤษฎ์เพราะคิดร้าย
ต้องตามกำหนดบทอัยการ,ควรประหารชีวิตให้ฉิบหาย,พวกเสนาข้าเฝ้าเข้ากับนาย,ก็ล้วนโทษถึงตายไม่เว้นตัว
ส่วนบุตรภรรยาข้าทาส,ต้องตกเป็นคนระบาตรด้วยโทษผัว,ริบทั้งช้างม้าแลควายวัว,ครอบครัวเงินทองของที่มี
ทั้งบรรดาหญิงชายชาวนคร,ต้องกวาดต้อนเป็นเชลยมาตามที่,ข้อที่มันอ่อนน้อมยอมภักดี,กูปรานียกให้ชีวิตไว้
แต่กวาดครัวเอาตัวมาให้หมด,ให้ปรากฏแก่ประเทศทั้งน้อยใหญ่,จะได้เป็นเยี่ยงอย่างข้างหน้าไป,มิให้ใครทุจริตผิดเหมือนมัน
อนึ่งนางสร้อยทองผ่องโสภา,ซึ่งมันกล้าชิงไปเชียงใหม่นั่น,กับสร้อยฟ้าธิดาของมันนั้น,ให้ส่งกันมาอย่างเป็นนางใน
ด้วยว่าราชบุตรีศรีสัตนา,เป็นต้นเหตุรบรากับเชียงใหม่,จึงจะเป็นเกียรติยศปรากฏไป,ว่ามีชัยได้นางนั้นคืนมา
จงจัดเรือประเทียบให้เรียบร้อย,ขึ้นไปคอยรับนางให้ถึงท่า,เรือรับอ้ายขุนแผนแสนศักดา,ก็เอาเรือกัญญาไปสองลำ
ทั้งพ่อลูกความดีมีหนักหนา,ให้มันขี่เรือกัญญามาให้ขำ,ให้ฦๅเลื่องเฟื่องฟุ้งทุกคุ้งน้ำ,ว่าไปทำเชียงใหม่ได้บ้านเมือง
อันครอบครัวกับตัวอ้ายเชียงใหม่,เอามันใส่เรือตามให้หลามเนื่อง,มันอยากทำวุ่นให้ขุ่นเคือง,ให้ชาวเมืองดูเล่นเป็นขวัญตา
ท่านเจ้าคุณมหาดไทยชัยชาญ,รับพระราชโองการใส่เกศา,ออกจากพระโรงชัยไปศาลา,ให้ร่างเรื่องสารตราเข้าฉับพลัน
ขึ้นกระดาษเสร็จสรรพประทับตรา,ใส่กลักปิดฝาสนิทมั่น,สองนายรับตรากราบลาพลัน,พากันรีบออกนอกกรุงไกร
ขับม้าลัดไปในไพรสัณฑ์,สิบวันเร่งตะบึงถึงเชียงใหม่,ลงจากม้าหมอบกรานคลานเข้าไป,ส่งกลักตราให้ขุนแผนพลัน
