w1,w2,w3,w4
จะกล่าวถึงหกกษัตริย์รีบรัดแล่น,มาเนืองแน่นตัดทุ่งเข้ากรุงศรี,ถึงปากอ่าวลังกาในราตรี,ให้เสนีรีบไปบอกออกพระนาม
พร้อมพหลพลรบสมทบทัพ,มาตั้งยับยั้งพหลพลอาสา,เห็นกำปั่นทอดรายชายคงคา,ที่จอดท่าอ่าวแน่นบ้างแล่นราย
ป่างพระองค์ผู้ดำรงรมจักร,ให้หยุดพักพวกพหลพลทั้งหลาย,ทอดสมอรอเคียงกันเรียงราย,เสนานายตรวจตราพลากร
ป่างพระปิ่นภูวไนยปราศรัยทัก,ทั้งหลานรักพร้อมหมดตามยศถา,แล้วคิดอ่านการจะไปในลังกา,เห็นเรือมาคอยปากอ่าวราวสักพัน
สินสมุทรวุฒิไกรทูลไทท้าว,เราตีอ่าวเข้าไปในไอศวรรย์,เพราะเห็นว่าศึกประชิดเข้าติดพัน,มันป้องกันปากน้ำทุกค่ำคืน
ที่ร่องเข้ามันก็เอากำปั่นใหญ่,มาจุกไว้สารพัดจะขัดขืน,ทั้งสองฝั่งตั้งค่ายมันรายปืน,ไว้นับหมื่นป้อมเชิงเทินเนินกำแพง
ป่างพระศรีสุวรรณวงศ์ทรงสดับ,สั่งกองทัพตั้งมั่นให้ขันแข็ง,ครั้นจะเข้าตีตัดฉวยพลัดแพลง,จะต่อแย้งไม่ถนัดเห็นขัดเชิง
เพราะช่องแคบทางจะเข้าเล่าก็ยาก,จะลำบากฉวยว่าเปิดเตลิดเหลิง,ด้วยเรือเราปลกเปลี้ยจะเสียเชิง,ฉวยละเลิงหลวมตัวสิชั่วจริง
จำจะต้องรบกันแต่ชั้นนอก,ล่อให้ออกกินเหยื่อเสือสมิง,เห็นจะไม่เสียทีดีจริงจริง,จะแอบอิงอะไรได้ในทะเล
แต่ให้พวกเรือใช้ไปไต่ถาม,แจ้งเนื้อความอ้ายจัญไรจะไพล่เผล,แม้นได้ช่องล่องลมสมคะเน,ตีให้เซสาดออกนอกสันดอน
ห้ากษัตริย์ทราบความตามรับสั่ง,ถวายบังคมบพิตรอดิศร,พร้อมทั้งพวกเสนาพลากร,นรินทรกรุงกษัตริย์ให้จัดพล
แล้วให้ไปไต่ถามตามฝรั่ง,ว่ามาตั้งอยู่ทำไมในสิงหล,พวกคนใช้ไปถามตามยุบล,กับขุนพลที่สำหรับกำกับเรือ
พวกในลำกำปั่นครั้นได้แจ้ง,เห็นพูดแข็งขันจริงยิ่งกว่าเสือ,ฝ่ายขุนนางที่เป็นใหญ่อยู่ในเรือ,ฟังเห็นเหลือดุดันไม่พรั่นพรึง
จึ่งว่าท่านคอยอยู่สักครู่ใหญ่,เราจะไปทูลว่าท่านมาถึง,คอยรับสั่งหนังสืออย่าอื้ออึง,แล้วสั่งซึ่งพวกเสมียนให้เขียนคำ
ผู้ที่มาอ่าวใหญ่เขียนใบบอก,เสมียนลอกลงสาราเลขขำ,แล้วสั่งให้เสนีที่ประจำ,เร่งให้นำกราบทูลซึ่งมูลความ
ฝ่ายโฉมยงองค์พระมังคลาราช,กับครูบาทหลวงออกไปแล้วไต่ถาม,ว่าเอ็งมาว่ากระไรในใจความ,เจ้าพวกล่ามส่งสารแก้อ่านพลัน
ในหนังสือเสนาข้าพระบาท,ที่คอยลาดตระเวนแต่งไว้แข็งขัน,มีเรือใบเรือรบสมทบกัน,ล้วนกำปั่นมากมายหลายตำบล
แล้วมีผู้มาถามเอาความถ้อย,ว่ามาคอยแย่งชิงเอาสิงหล,มันคุกคามถามไต่พวกไพร่พล,ก็เป็นจนใจตัวกลัวจะเกิน
บาทหลวงแกแจ้งความไปตามเรื่อง,ให้แค้นเคืองที่ในจิตผิดแล้วหวา,กูจะไปไต่ถามตามสงกา,อ้ายมังคลาอยู่ระวังฟังกระบวน
กับออท้าวอิศโรเจ้าโกสัย,กูจะไปตามระบอบไล่สอบสวน,คิดพูดจาเป่าปัดตัดสำนวน,พลางก็ชวนเสวกาลงมาพลัน
ถึงเรือใหญ่ให้หาพวกมาถาม,เอ็งแจ้งความแต่ที่จริงทุกสิ่งสรรพ์,ใครใช้สอยเอ็งมาถามเนื้อความนั้น,จงผ่อนผันแจ้งกิจอย่าปิดบัง
ว่าคือใครไหนมาเป็นข้าศึก,ทำหาญฮึกตีด่านชานกรุงศรี,อันเขตแคว้นแดนลังกาแลธานี,ก็เป็นที่ของใครในทุกวัน
เร่งถอยกำปั่นไปให้พ้นช่อง,เราจะล่องเข้าไปในไอศวรรย์,แม้นมิฟังยังอยู่ได้สู้กัน,เร่งผ่อนผันให้เราไปดั่งใจจง
