w1,w2,w3,w4
จะกล่าวฝ่ายสังฆราชพระบาทหลวง,ลงนั่งง่วงอยู่ที่ท้ายชายเฉลียง,กับมังคลาสานุศิษย์นั่งคิดเคียง,แล้วก็เรียงรายกันเป็นหลั่นไป
บาทหลวงเฒ่าเจ้าเล่ห์จึ่งเสแสร้ง,แล้วชี้แจงหลอกถามตามสงสัย,เองจะคิดรอญรานสถานใด,จงเล่าให้กูฟังอย่าบังกัน
จะรบรับทัพไทยอย่างไรหวา,ด้วยปัญญาเรี่ยวแรงแข็งขยัน,หรือความรู้มนตราสารพัน,จะป้องกันศัตรูหมู่ไพริน
จะต้องคิดการอุบายให้หลายอย่าง,ดูท่าทางกลศึกคอยปรึกษา,ที่จะคิดการใหญ่ในลังกา,เอาปัญญาข้าพเจ้าไม่เข้าที
อันลังกาธานีบุรีรัตน์,กูเห็นชัดมาแต่ครั้งปางประถม,ที่พวกไทยจะเข้ามาสมาคม,เห็นไม่สมควรคู่จะอยู่ครอง
พระเยซูผู้เป็นเจ้าไม่เข้าด้วย,ใครเอออวยให้มันเอาเป็นเจ้าของ,อ้ายสองท้าวช่วยกันทำแต่ลำลอง,กูตรึกตรองการอุบายหลายกระบวน
ครั้นจะนิ่งไว้ช้าปัจจามิตร,มันจะคิดหมกมุ่นทำหุนหวน,ฉวยเสียทีการใหญ่ต้องใคร่ครวญ,การก็จวนเข้าวสันต์จะกันดาร
ครั้นจะคอยห้าเมืองเรื่องเองว่า,เห็นจะช้าการไปหลายสถาน,ทั้งข้าศึกก็จะแข็งแรงรำคาญ,ฉวยเนิ่นนานหน้าฝนสิจนใจ
แกจึงสั่งมุลนายฝ่ายทหาร,ให้เตรียมการดูแลจะแก้ไข,จงจัดแจงแต่งพลสกลไกร,ให้แล้วในสามวันดั่งสัญญา
จะยกไปตีด่านเป็นการร้อน,อย่านิ่งนอนตรวจกันให้ทันหนา,เรียกเมื่อไรพร้อมกันดั่งบัญชา,ใครเลื่อยล้าโทษมึงจะถึงตาย
เอาตามบทกฎหมายเมืองฝรั่ง,เอาตัวขังฆ่าริบให้ฉิบหาย,จงบอกกันให้ทั่วทุกตัวนาย,เร่งจัดจ่ายปืนผาบรรดามี
บาทหลวงนั่งสั่งถ้วนกระบวนทัพ,แล้วจึ่งนับฤกษ์ยามตามดิถี,หยิบตำรามาพลันด้วยทันที,แล้วก็คลี่ดูพลางเหมือนอย่างเคย
เห็นวันดีสี่ค่ำจะทำศึก,ให้สมนึกเดชะบุญเจ้าคุณเอ๋ย,ขอเดชะยะโฮวาอย่าละเลย,ด้วยข้าเคยสอนสั่งอยู่ลังกา
เป็นเหตุด้วยประจามิตรมาคิดร้าย,จึ่งวุ่นวายเสียชาติศาสนา,ขอให้พระวิญญาณช่วยด้วยสักครา,ให้ปัจจามิตรวายทำลายลาญ
กษัตริย์สามองค์ท้าวเข้าไสยาสน์,ขึ้นบนอาสน์ตึกใหญ่พระทัยหมอง,แต่มังคลาสานุศิษย์เธอคิดปอง,จะตรึกตรองแก้ไขฉันใดดี
แต่ทำศึกคนตายเสียหลายแสน,เอาเขตแตนก็ไม่ได้ต้องไพล่หนี,เป็นหลายครั้งตั้งแต่มารบราวี,ก็เสียทีย่อยยับอัปรา
แกยังขืนจะมาชิงเอาสิงหล,แต่ผู้คนพลัดพรายตายนักหนา,จนน้องหลานเขาก็เบื่อเหลือระอา,เพราะปัญญาแกมันมากต้องยากเย็น
ลงนอนหงายก่ายนลาฏอนาถนึก,ทรวงสะทึกแสนวิโยคให้โศกศัลย์,ตั้งแต่มาอยู่ในเขาเจ้าประจัน,จะหาวันว่างสบายก็ไม่มี
แล้วก็ไม่ดำรัสตรัสประภาษ,นึกอนาถในจิตกนิษฐา,จึ่งเข้าไปใกล้กษัตริย์ภัสดา,นางวันทาทูลถามไปตามแคลง
พระประชวรโรคภัยไฉนหนอ,จะเรียกหมอมาพลีตีแสลง,ถวายยาสารพันได้จัดแจง,โดยตำแหน่งที่รักษาพยาบาล
ฝ่ายพระมิ่งมังคลานราราช,เห็นนุชนาฏบุษบงก็สงสาร,จึ่งตรัสว่าไม่สบายหลายประการ,เพราะอาจารย์แกทำขุ่นออกวุ่นวาย
จนเสียญาติขาดตระกูลประยูรยศ,ไม่เป็นบทดูเหมือนบ้าเที่ยวค้าขาย,มีแต่เรื่องขาดทุนออกวุ่นวาย,เพราะอุบายครูเฒ่าของเราเอง
แต่ชีวิตแทบจะตายก็หลายครั้ง,เที่ยวเซซังไปหาที่อาศัย,พอเสื่อมสร่างบางเบาบรรเทาใจ,แกมิให้อยู่ช้าถึงห้าปี
วันที่สี่ค่ำกำหนดจะให้ยก,เป็นทัพบกตีด่านชานกรุงศรี,เมื่อแตกทัพกลับมาเจ็ดราตรี,ไม่รู้ทีว่าจะนึกจะตรึกตรอง
ป่างพระจอมมังคลานราราช,ฟังนุชนาฏทูลพร้องสนองไข,เธอเห็นจริงสิ่งนี้ดีพระทัย,จึงตอบไปว่าพี่เขลาเบาปัญญา
เจ้าชักนำสำนวนควรจะเชื่อ,เห็นดีเหลือจริงแล้วมิตรกนิษฐา,เจ้ารีบไปบอกกล่าวท้าวพ่อตา,แจ้งกิจจาว่าเราเจ็บเป็นเหน็บเย็น
