w1,w2,w3,w4
จะกล่าวถึงนางผีเสื้อเมื่อคราวนั้น,ไม่ผายผันไปคูหาที่อาศัย,เที่ยวท่องน้ำดำผุดสมุทรไท,ให้ผีไพร่ภูตพรายรายระวัง
กลัวลูกยาสามีจะหนีพ้น,เป็นกังวลมิได้สิ้นถวิลหวัง,ครั้นเหนื่อยหนาวหาวนอนอ่อนกำลัง,ขึ้นยับยั้งอยู่เขาขวางกลางคงคา
ในวันเมื่อเรือแล่นออกจากเกาะ,ไม่เห็นเพราะโยคีมีคาถา,ท่านอ่านมนต์ดลจิตปิดนัยน์ตา,จึงเภตราล่วงไปได้หลายคืน
ต่อผีพรายชายด่านอยู่ชั้นนอก,เข้ามาบอกเหตุให้จึงได้ตื่น,ชะโงกชะแง้แลเล็งเขย่งยืน,ดูทะมืนเมฆาลูกตาวาว
อันนางยักษ์จักษุเสมอทิพย์,เห็นลิบลิบแล่นไปใบขาวขาว,ดูไกลนักจักแหล่นสิ้นแดนดาว,ร้องเรียกบ่าวบอกความตามให้ทัน
พวกผีพรายสายสมุทรผุดขึ้นสิ้น,บ้างแลบลิ้นเหลือกตาถลาถลัน,เสียงโครมครามตามคลื่นเป็นหมื่นพัน,ทะเลลั่นดังจะล่มถล่มทลาย
ส่วนนางมารหาญฮึกสะอึกโถม,จ้วงกระโจมโจนไล่ไพร่ทั้งหลาย,เสียงครึกครื้นคลื่นคลั่งกำลังพราย,ภูเขาขวางพังทลายทะลุยไป
ตระหง่านเงื้อมเลื่อมสลับระยับยิบ,ยังลิบลิบแลไปไกลหนักหนา,พอสิ้นแสงสุริยนสนธยา,ในเวหามืดคลุ้มชอุ่มบัง
พายุหวนป่วนคลื่นเสียงครื้นครึก,ลั่นพิลึกโกลามาข้างหลัง,ยังดึกดื่นคลื่นลั่นสนั่นดัง,เพียงจะพังแผ่นผาสุธาธาร
สำเภาโผนโยนโยกโบกสะบัด,หางเสือพลัดแพลงพลาดเสียงฉาดฉาน,เหล่าล้าต้าต้นหนพวกคนงาน,ต่างเซซานซวนทรงไม่ตรงกาย
จะล่มลำสำเภาเข้าไม่ได้,แลเห็นไฟล้อมเหมือนกับเขื่อนขัณฑ์,ด้วยเดชะเวทมนตร์คนทั้งนั้น,ประกอบกันผีสางให้ห่างตัว
แต่พวกพรายร้ายกาจปีศาจกล้า,โลดถลาหลอนหลอกบ้างกลอกหัว,บ้างแลบลิ้นปลิ้นตาให้น่ากลัว,สำแดงตัวต่างต่างในกลางคืน
ฝ่ายพวกพลบนสำเภาเผาขนไก่,จนติดไหม้ม้วนหนังเข้าทั้งผืน,แขกฝรั่งนั่งรายทนายปืน,ลุกขึ้นยืนยิงประดังเสียงตังตึง
ผียิ่งหลามตามไปจนใกล้สว่าง,ทั้งตัวนางผีเสื้อน้ำซ้ำมาถึง,ทำอำนาจผาดเสียงสำเนียงอึง,โลดทะลึ่งเลี้ยวลัดสกัดทาง
ยุดหางเสือเรือเอียงเพียงจะคว่ำ,พอคลื่นซ้ำซัดกระแทกก็แตกผาง,คนกระจัดพลัดพรายบ้างวายวาง,เสียงสุรางค์ร้องอึงคะนึงไป
พวกผู้ชายว่ายวนปนผู้หญิง,เที่ยวเกลือกกลิ้งกลางคลื่นลื่นไถล,บ้างดำผุดสุดจะกลั้นก็บรรลัย,ฝูงปลาใหญ่ได้กลิ่นขึ้นกินคน
บ้างคาบคว้าขาแข้งแย่งขยอก,ดูกลับกลอกกลิ้งเกลือกอยู่เสือกสน,ฉนากฉลามตามไล่กินไพร่พล,อลวนว่ายสล้างกลางคงคา
อันองค์ท้าวเจ้ามิ่งเมืองผลึก,พอตกลึกลมจับดับสังขาร์,สินสมุทรสุดรักพระธิดา,เอาใส่บ่าแบกว่ายสายสินธู
