w1,w2,w3,w4
จะกล่าวถึงทุกพาราครั้นมาพร้อม,จึงแล่นล้อมเกาะกลางหว่างไศล,ถึงสิงหลลังกาให้ซาใบ,ทอดอยู่ในวังวนชลธาร
แล่วแต่งให้เรือช่วงล่วงไปถาม,ครั้นแจ้งความให้ผู้ถือหนังสือสาร,รีบไปเขาเจ้าประจันมิทันนาน,เอาเรื่องสารไปแถลงแจ้งเนื้อความ
ทั้งองค์ท้าวเจ้าพาราก็มาด้วย,หวังจะช่วยต่อแย้งให้แข็งขัน,บาทหลวงยิ้มอิ่มเอมเกษมครัน,บุญมาทันแล้วสิเองเกรงมันไย
ชะจำเพาะเคราะห์ดีเป็นที่สุด,สั่งให้หยุดที่ท่าชลาไหล,พอหายเหนื่อยเมื่อยล้ามาแต่ไกล,กูจะไปคิดอ่านการสงคราม
จึงปรึกษาสองท้าวเจ้าประเทศ,คงสมเจตนาเตียนที่เสี้ยนหนาม,อุตส่าห์ช่วยกันเถิดหวาพยายาม,จะได้งามหน้าเขยได้เชยชม
เพราะความชอบของพ่อตาพาลูกสาว,เสมอดาวแจ่มจำรัสประภัสสร,จะลอยแก้วแผ้วสว่างกลางอัมพร,ทั่วนครลังกาในสามัญ
แล้วสั่งพวกขุนนางข้างฝรั่ง,ให้แต่งตั้งโต๊ะใหญ่ไวไวหวา,เครื่องกินอยู่หมูแฮมแกล้มสุรา,ท้าวรายาไก่แกะแพะทอดมัน
เขาเป็นแขกแยกเลี้ยงคนละโต๊ะ,บังกะโละเร่งรัดไปจัดสรร,ทั้งสองท้าวเกลียดหมูกินคู่กัน,เหล้าบ้าหรั่นดิ์ขวดใหญ่มาให้กู
แล้วเรียกพระมังคลาสานุศิษย์,มานั่งชิดรินเหล้าเอาอ้ายหนู,ลูกของมึงทั้งสิ้นกินกับกู,แกเชือดหมูปนแกล้มแกมสุรา
กินจนเมาเหล้าหมดเป็นสี่ขวด,แล้วพูดอวดพวกแขกแปลกภาษา,ความยินดีปรีดิ์เปรมเอมอุรา,เมาจนตาแดงก่ำดั่งตำลึง
แล้วฉุนแค้นแสนอายไม่หายแค้น,จะตอบแทนให้จงได้เพราะไกหึง,คงจะไม่พ้นฝีมืออย่าอื้ออึง,ตีให้ถึงลังกาดาประดัง
ท้าวโกสัยไปหน้าพาบาทหลวง,อาศัยดวงจันทร์กระจ่างสว่างฉาย,แล้วปราบปรามห้ามพหลพลนิกาย,อย่าวุ่นวายอื้ออึงคะนึงไป
ครั้นถึงท่าหน้าหาดเรือกลาดเกลื่อน,ชะสมเหมือนคำกล่าวท้าวโกสัย,แกยินดีปรีดาให้พาไป,กำปั่นใหญ่พร้อมกันนอกสันดอน
แต่บรรดาท้าวพระยาเรียกมาหมด,แกตั้งกฎหมายทำคำอักษร,แล้วเขียนส่งให้ทุกท้าวเจ้านคร,เอาอักษรนี้ไปดูให้รู้กัน
จะมาช่วยทำศึกเหมือนนึกหวัง,ชวนกันตั้งรบสู้เป็นคู่ขัน,ใครไม่ตามบังคับจะสับฟัน,ฆ่าให้มันถึงตายวายชีวี
สั่งสำเร็จเสร็จสรรพบังคับขาด,ปรึกษาราชการทัพนับดิถี,วันสามค่ำฤกษ์พาเวลาดี,ยกเข้าตีปากน้ำเป็นสำคัญ
ยื่นกระบี่ด้ามงาอาญาสิทธิ์,แล้วมอบกิจการทัพให้ขับขัน,ท้าวโกสัยสั่งมหาเสนาพลัน,ให้เกณฑ์กันแต่บรรดาพวกมาเรือ
ทั้งเมืองออกทุกทิศมิตรสหาย,เสนานายปากใต้ทั้งฝ่ายเหนือ,ให้ตรวจคนที่ประจำในลำเรือ,ทั้งข้าวเกลือเครื่องเสบียงที่เลี้ยงคน
แม้นลำไหนเบาบางขุนนางจัด,สารพัดน้ำท่าผลาผล,ตามบังคับจับจ่ายทั้งไพร่พล,พร้อมพหลพลทหารชำนาญปืน
