w1,w2,w3,w4
ถึงเวลาพระก็ฟื้นตื่นไสยาสน์,ลงจากอาสน์เสด็จออกนอกห้อง,นางในถ้วนหน้าข้าทูลละออง,หมอบชม้อยคอยจ้องประจำงาน
พระชำระสระสรงทรงสุคนธ์,ปรุงปนประทิ่นกลิ่นหอมหวาน,ทรงพระแสงเนาวรัตน์ชัชวาล,พระภูบาลออกท้องพระโรงเรือง
ประทับพระที่นั่งบัลลังก์อาสน์,อำมาตย์หมอบนอบน้อมประนมเนื่อง,ตรัสประภาษราชการบ้านเมือง,แล้วชำเลืองมาข้างเหล่ามหาดชา[๑]
ครานั้นขุนช้างเห็นว่างจังหวะ,ขอเดชะฝ่าพระบาทปกเกศา,ชีวิตอยู่ใต้พระบาทา,แต่เกล้ากระหม่อมเป็นข้าฝ่าละออง
อยู่ในมหาดชากว่าแปดปี,แต่หวายเปรียะยังไม่มีได้ถูกต้อง,บัดนี้จมื่นไวยใจคะนอง,ทุบถองกระหม่อมฉันแทบบรรลัย
แต่ต่อยแล้วมิหนำซ้ำท้าทาย,ถึงเจ้านายของมึงหากลัวไม่,บ่าวไพร่กว่าร้อยต่อยร่ำไป,พวกขุนนางขวางไว้จึงไม่ตาย
เมื่อขณะทุบถองร้องด่าว่า,ก็ต่อหน้าขุนนางสิ้นทั้งหลาย,ได้ห้ามปรามรู้เห็นเป็นมากมาย,แม้นมิสัตย์ขอถวายซึ่งชีวา
ครานั้นพระองค์ผู้ทรงธรรม,ได้ทรงฟังถ้อยคำขุนช้างว่า,พระนิ่งนึกตรึกความตามกิจจา,ข้อที่ว่าทุบตีทีจะจริง
อันจะร้องท้าทายถึงนายเจ้า,มันจะเสกใส่เอาให้ใหญ่ยิ่ง,เหตุที่เกิดความยุ่งขึ้นนุงนิง,เพราะอ้ายนี่ถือหยิ่งว่าพ่อเลี้ยง
ครั้นเต็มเมาเข้าจะว่ามันหยาบคาย,อ้ายไวยอายจึงทะเลาะเบาะเถียง,เกินกันแต่ละน้อยค่อยเลียบเคียง,ครั้นด่ามันมันก็เหวี่ยงเอาสาใจ
รับสั่งให้หาไปในบัดนี้,ขุนช้างทูลคดีเป็นความใหญ่,พระไวยแจ้งกิจจาเรียกข้าไท,ลงบันไดเดินเหย่าเข้าวังพลัน
นุ่งถมปักลนลานเป็นการเร็ว,เอาผ้ากราบคาดเอวขมีขมัน,เข้าไปเฝ้าองค์พระทรงธรรม์,บังคมคัลคอยฟังพระโองการ
เตะต่อยแล้วมิหนำซ้ำท้าทาย,จ้วงจาบเจ้านายได้ทุกอย่าง,ใครเล่าเป็นเจ้าของอ้ายช้าง,เอ็งอ้างว่าไม่กลัวคือตัวใคร
พวกขุนน้ำขุนนางเข้ากางกั้น,แต่กระนั้นมึงยังหาฟังไม่,ถีบถองต่อยชกตกบันได,จริงเท็จเป็นกะไรให้ว่ามา
พระไวยทูลตามข้อขอเดชะ,ข้าพระพุทธเจ้าไม่มุสา,ซึ่งขุนช้างกราบทูลพระกรุณา,เสกแสร้งแกล้งว่าเอาแต่ดี
ที่ข้อว่าหยาบช้าเป็นสาหัส,แม้นเป็นสัตย์จงประหารให้เป็นผี,ขุนช้างไปช่วยงานเมื่อวานนี้,รับประทานอาหนีเข้าตึงตน
กล่าวคำหยาบช้าสารพัน,กระหม่อมฉันห้ามปรามเป็นหลายหน,เข้ายุดหยอกมารดาต่อหน้าคน,เหลือทนแล้วจึงได้วิวาทกัน
โป้งโหยงหยาบคายเป็นหลายข้อ,ด่าทอถอดชื่อกระหม่อมฉัน,เต็มอายต่อหน้าธารกำนัล,แล้วเสกสรรลำเลิกโพนทะนา
เมื่อครั้งนั้นกระหม่อมฉันได้เจ็ดปี,ขุนช้างพาไปฆ่าตีที่ในป่า,จนสลบซบอยู่กับพสุธา,กลัวมิตายหมายว่าจะไม่ลับ
ทั้งสลบตบต่อยปะเตะปะตะ,แสกศีรษะซ้ำเอาไม้ซีกสับ,ลากตัวไปในรกยกขอนทับ,แล้วขุนช้างวางกลับไปบ้านตน
เดชะบุญกระหม่อมฉันไม่บรรลัย,ฟื้นขึ้นได้ซานมาหาชีต้น,ซ่อนตัวอยู่กับท่านอาจารย์นน,มิให้คนเห็นตัวด้วยกลัวตาย
เมื่อวานนี้อ้ายขุนช้างอ้างความหลัง,พูดดังดังได้ยินสิ้นทั้งหลาย,กระหม่อมฉันบอกกล่าวทั้งไพร่นาย,แม้นมิสัตย์ขอถวายซึ่งชีวา
ครานั้นพระองค์ดำรงภพ,ฟังจบที่พระไวยให้การว่า,ข้างต้นความดูเห็นเป็นอาญา,แต่ข้างปลายกลายมานครบาล
มึงแกล้งชวนเอาไปในป่าใหญ่,เอาขอนทับไว้แล้วแล่นหนี,มันสู้นิ่งความมากว่าแปดปี,จนวานนี้เอ็งว่าต่อหน้าคน
ขุนช้างได้ฟังรับสั่งถาม,เห็นว่าความเก่าเกิดก็หวั่นไหว,ด้วยจริงใจในอกก็ตกใจ,เหงื่อไหลโซมตัวกลัวอาญา
ซึ่งจะได้ตีฆ่าหามิได้,แกล้งกล่าวเสกใส่ให้ใหญ่ยิ่ง,ถ้าฆ่าตีก็จะมีที่อ้างอิง,ไยจึงนิ่งความไว้ไม่กราบทูล
ครั้นเกล้ากระหม่อมฟ้องหาว่าต่อยตบ,แกล้งจะกลบความร้ายให้หายสูญ,จึงเสกแสร้งใส่เอาเป็นเค้ามูล,เอาความเท็จเพ็ดทูลแต่โดยเดา
กระหม่อมฉันจะได้ว่าหามิได้,พระหมื่นไวยยุแยงแกล้งมอมเหล้า,ล่อให้พูดจาประสาเมา,แล้วเอาความร้ายมาบ้ายทา
อันที่ท้าถึงเจ้ากล่าวสาหัส,แม้นมิสัตย์ขอพระองค์ลงโทษา,ถ้าแม้นไม่จริงจังดังเจรจา,รับพระราชอาญาจนบรรลัย
