w1,w2,w3,w4
จะกล่าวฝ่ายสังฆราชพระบาทหลวง,ค่อยสร่างทรวงซึมเซาเมานักหนา,หวนรำลึกตรึกตรองมองตำรา,จะยาตรากรีทัพไปรับรอง
จนดึกดื่นคืนยังรุ่งมิได้หลับ,ให้กระสับกระส่ายจิตคิดหม่นหมอง,เกือบจะรุ่งฟ้าแดงไขแสงทอง,สกุณร้องก้องโกกิลาบิน
ไก่กระชั้นขันเอกวิเวกแว่ว,เสียงเจื้อยแจ้วกลางป่าพนาสัณฑ์,ฝูงวิหคนกกาถลาบิน,ออกจากถิ่นรังเร่พเนจร
แสงหิรัญเรืองรองขึ้นส่องฟ้า,พระสุริยาแย้มเยี่ยมเหลี่ยมสิงขร,พวกพหลพลิกฟื้นบ้างตื่นนอน,ยกหาบคอนหุงข้าวบ้างเผาปลา
ฝ่ายบาทหลวงง่วงเหงาบนเก้าอี้,สกุณีเพรียกพร้องก้องเวหา,พอหายเศร้าเบาบางสร่างอุรา,เรียกมังคลาสานุศิษย์คิดรำพึง
เห็นเงียบไปมิได้ขานนานนักหนา,ลุกออกมาด่าโป้งเสียงโผงผึง,นอนกระไรไม่รู้สึกนึกรำพึง,มันเมาถึงขนาดจริงจึ่งนิ่งไป
พลางลุกเดินมาดูประตูปิด,เห็นลิขิตปิดประตูดูสงสัย,ประหลาดจิตผิดแล้วหวาไปหาไฟ,มาส่องใกล้อ่านดูจึ่งรู้ความ
อันลังกาธานินทร์เป็นถิ่นฐาน,เชิญอาจารย์คิดความตามวิสัย,ไม่จงรักหนักหน่วงเป็นห่วงใย,ตามแต่ใจฝ่ายท้าวเจ้าประคุณ
ทั้งเสนีมีถ้วนกระบวนรบ,ผู้สมทบขาดเหลือคอยเกื้อหนุน,ข้าพเจ้าถูกแช่งแห่งเจ้าคุณ,อยู่จะวุ่นวายใจไม่สบาย
เพราะคบหญิงไม่ดีจึ่งมิโทษ,เสียประโยชน์ชั่วช้าพาฉิบหาย,พาให้เสื่อมมนตราวิชาคลาย,ต้องผันผายไปให้พ้นคนไม่ดี
พอจบเรื่องแกยิ่งเคืองโทโสพลุ่ง,มาเกิดยุ่งเจ็บจิตดั่งพิษฝี,น้อยหรือกูเมตตาทั้งปรานี,ไม่พอที่มันจะทำให้ช้ำใจ
แล้วลงจากตึกใหญ่พลางให้หา,พวกเสนาจงเรียกท้าวโกสัย,มาหากูเร็วพลันด้วยทันใด,จงเร่งไปเดี๋ยวนี้มีกังวล
ขุนนางรับบัญชาเรียกม้าใช้,รีบลงไปเล่าแถลงแห่งนุสนธิ์,พวกม้าใช้รีบรัดไปบัดดล,นำยุบลลงไปท่าชลาพลัน
ทูลท่านท้าวโกสัยว่าให้หา,พระสังฆราชาร้อนให้ผ่อนผัน,รีบขึ้นไปยังเขาเจ้าประจัน,จงเร็วพลันโดยบัญชาอย่าช้าที
