w1,w2,w3,w4
ครานั้นวันทองสยองหัว,ความกลัวตัวสั่นอยู่หวั่นไหว,ขุนช้างขุนแผนพระหมื่นไวย,ก็ตระหนกตกใจไปทุกคน
บรรดาข้าราชการที่หมอบเฝ้า,ต่างสร้อยเศร้าหัวพองสยองขน,จะเพ็ดทูลอย่างไรไม่ชอบกล,จำจนด้วยกลัวพระอาญา
พระยายมราชก็สั่งพลัน,ให้คุมวันทองจูงไปข้างหน้า,พระหมื่นไวยขุนแผนแล่นตามมา,ลูกพ่อคลอน้ำตาด้วยอาลัย
ขุนช้างลุกถลาหน้าคว่ำ,ล้มคะมำตำเสาเสือกไถล,ลุกได้จากเสาเหย่าเหย่าไป,ร้องไห้งุ่มง่ามมาตามเมีย
ทองประศรีคอยอยู่รู้กิจจา,ตีอกตกประหม่าหน้าเสีย,ลุกรีบตามมาแข้งขาเพลีย,น้ำตาไหลเรี่ยตัวสั่นงก
ให้ไปบอกลาวทองแก้วกิริยา,สร้อยฟ้าศรีมาลาทั้งห้าหก,น้ำตาน้ำมูกตละลูกนก,ตีอกตกใจต่างไคลคลา
ขุนช้างสะดุดอิฐตีนขวิดไป,หัวไถลล้มคว่ำตำขี้หมา,ลุกขึ้นไม่เช็ดระเห็จมา,แมลงวันฉ่าตอมฉู่เหม็นอู้ไป
อ้ายบ่าวร้องว้ายขุนนายขา,เช็ดขี้หมาเสียก่อนเถิดข้าไหว้,ขุนช้างเหลียวหลังอ้ายจังไร,ขี้หมาที่ไหนมาติดกู
ขุนแผนสุดแสนสงสารน้อง,นั่งลงข้างวันทองน้ำตาไหล,อัดอั้นนิ่งอึงตะลึงตะไล,สะอื้นไห้ไม่ออกซึ่งวาจา
นางแก้วกิริยาเจ้าลาวทอง,ทั้งสองโศกเศร้าเป็นหนักหนา,ทั้งนางสร้อยฟ้าศรีมาลา,ต่างคนจะษมาหาดอกไม้
คนดูล้อมพร้อมพรั่งดังกำแพง,ตะแลงแกงจนหามีที่ยืนไม่,ขุนช้างแหวกคนด้นเข้าไป,ว่าอีพ่อข้าไหว้เอาแต่บุญ
ฝูงคนหลีกวิ่งทั้งหญิงชาย,เหม็นขี้หมาออกจะตายแล้วพี่ขุน,อ้ายหนุ่มหนุ่มเหม็นนักมันผลักรุน,เซซุนเข้าไปถึงวันทอง
พระไวยแลไปเห็นขุนช้าง,ความโกรธโดดผางตรงเข้าถอง,แล้วกดหัวลงไว้ฉวยไม้พลอง,ทั้งสองมือเปื้อนขี้ตีผลุงลง
พระยายมห้ามว่าอย่าพระไวย,จะทุบตีมันไยไอ้คนหลง,ฉวยขุนช้างคร่าออกมานอกวง,นั่งลงเหม็นมือก็โกรธา
ถ้ารู้กูหาไปห้ามไม่,อ้ายจัญไรมือกูล้วนขี้หมา,ลุกขึ้นเตะส่งตรงออกมา,ขุนช้างว่าลูกตายแล้วคราวนี้
ฝ่ายขุนแผนแล่นไล่ไปชกซ้ำ,ขุนช้างล้มหัวตำทองประศรี,แกโกรธาด่าทอใช่พอดี,ขุนช้างลุกจากที่หนีออกไป
ครานั้นจึงโฉมเจ้าวันทอง,เศร้าหมองสะอึกสะอื้นไห้,ส้วมกอดลูกยาด้วยอาลัย,น้ำตาหลั่งไหลลงรินริน
วันนี้แม่จะลาพ่อพลายแล้ว,จะจำจากลูกแก้วไปสูญสิ้น,พอบ่ายก็จะตายลงถมดิน,ผินหน้ามาแม่จะขอชม
เกิดมาไม่เหมือนกับเขาอื่น,มิได้ชื่นเชยชิดสนิทสนม,แต่น้อยน้อยลอยลิ่วไปตามลม,ต้องตรอมตรมพรากแม่แต่เจ็ดปี
ให้แต่เฝ้าทุกข์ถึงคะนึงหา,นึกว่าแม่จะไม่ได้เห็นผี,เจ้าก็ไม่สูญหายวายชีวี,กลับมาได้เผาผีของมารดา
มิเสียแรงฟักฟูมอุ้มท้อง,ข้ามหนองแนวเขาลำเนาป่า,อยู่ในท้องก็เหมือนเพื่อนมารดา,ทนทุกข์เวทนาในป่าชัฏ
ผ่าแดดแผดฝนทนลำบาก,ปลิงทากร่านริ้นมันกินกัด,หนามไหน่ไขว่เกี่ยวเที่ยวเลี้ยวลัด,แม่คอยปัดระวังให้แต่ในครรภ์
พ่อพาขี่ม้าไม่ขับควบ,ขยับยวบกลัวเจ้าจะหวาดหวั่น,พอแดดเผาเข้าร่มพนาวัน,เห็นจะอ่อนผ่อนผันลงกินน้ำ
ค่อยกลืนแต่พอชื่นไม่กลืนหนัก,กลัวลูกจะสำลักทุกเช้าค่ำ,เมื่อเขาส่งลงมาต้องจองจำ,แสนระกำก็ระวังจะนั่งนอน
ด้วยเป็นห่วงบ่วงใยในลูกรัก,จะเดินหนักเกรงท้องขยักขย่อน,จะนั่งนักเจ้าจักอนาทร,ครั้นนอนนักกลัวจะเหนื่อยอนาถตัว
เจ้าคลอดรอดแล้วจึงคลายใจ,เฝ้าถนอมกล่อมไกวพ่อทูนหัว,เจ็ดปีแม่ประคองไม่หมองมัว,ขุนช้างชั่วลักลูกไปลับตา
เขาตีต่อยปล่อยหลงในดงชัฏ,กุศลซัดให้เจ้าคืนมาเห็นหน้า,พอเห็นแล้วก็ต้องพรากจากมารดา,แต่นั้นมาช้านานจึงพานพบ
กุศลหนหลังยังค้ำจุน,ให้ลูกแก้วมีบุญประจวบจบ,เที่ยวติดตามแม่พ่อพอพร้อมครบ,กลับมาต้องทำศพของมารดา
เหมือนอุตส่าห์ดั้นด้นพ้นป่าชัฏ,พอเห็นแสงจันทร์จำรัสพระเวหา,สำคัญคิดว่าจะสุขทุกเวลา,พอสายฟ้าฟาดล้มจมดินดาน
พ่อจะเห็นมารดาสักครึ่งวัน,พ้นนั้นสูญเปล่าเป็นเถ้าถ่าน,จะได้แต่คิดถึงคะนึงนาน,กลับไปบ้านเถิดลูกอย่ารอเย็น
เมื่อเวลาเขาฆ่าแม่คอขาด,จะอนาถไม่น่าจะแลเห็น,เจ้าดูหน้าเสียแต่แม่ยังเป็น,นึกถึงจะได้เห็นหน้ามารดา
ร่ำพลางนางกอดพระหมื่นไวย,น้ำตาไหลซบเซาไม่เงยหน้า,ง่วงหงุบฟุบลงกับพสุธา,กอดลูกยาแน่นิ่งไม่ติงกาย
พระไวยร้องไห้อยู่เคียงแม่,เห็นมารดานิ่งแน่ก็ใจหาย,เข้านวดแม่แก้ไขอยู่วุ่นวาย,นางค่อยคลายเจ้าก็ร่ำพิไรวอน
โอ้เจ้าประคุณของลูกเอ๋ย,แม่เคยเลี้ยงลูกแล้วสั่งสอน,ผูกเปลเห่ช้าให้ลูกนอน,ป้อนข้าวอาบน้ำให้กินนม
ประโลมลูบจูบจอมกระหม่อมแก้ว,อาบน้ำให้แล้วก็มุ่นผม,ขมิ้นทาพาเข้าที่นอนชม,แม่ปรารมภ์ระวังซึ่งโพยภัย
คราวลูกเสาะแสะแม่โศกเศร้า,หยูกยาปลาข้าวเอาใจใส่,กางมุ้งยุงริ้นทั้งเรือดไร,แม่มิให้ลูกน้อยอนาทร
ครั้นลูกเติบใหญ่ได้เจ็ดขวบ,เคราะห์ประจวบตัวลูกถูกหลอกหลอน,ขุนช้างลวงไปในป่าดอน,เอาไม้ขอนทุ่มทับไว้กับดิน
ปวดเจ็บเหน็บชาไปทั้งกาย,ครั้งนั้นลูกก็หมายว่าสูญสิ้น,จะเป็นเหยื่อเสือสัตว์มันกัดกิน,เทพไทไพรสินธุ์ท่านเมตตา
ช่วยฉุดชักผลักขอนขุนช้างให้,ลูกจึงกลับมาได้ไม่สังขาร์,ต้องพลัดพรากจากแม่แต่นั้นมา,เดินป่าหนามตำระกำใจ
คนเดียวบุกไปในไพรสัณฑ์,แต่สุพรรณถึงกาญจน์บุรีได้,บุญปลอดรอดสัตว์ในกลางไพร,ย่าเลี้ยงดูไว้จึงเป็นคน
