w1,w2,w3,w4
จะกล่าวถึงนางพิมพิลาไลย,นอนเดียวเปลี่ยวใจอยู่ในหอ,คอยทัพตรับฟังยังรั้งรอ,ไม่แจ้งข้อเนื้อความประการใด
รำลึกดึกดื่นทุกคืนคอย,แต่ละห้อยหาหลับสนิทไม่,นอนวันฝันเห็นให้เป็นไป,หลงใหลเพ้อพูดดังผีลง
อยู่อยู่แล้วก็จู่ออกนอกห้อง,หัวเราะร้องร่าเร่อมะเมอหลง,เพอิญเข็ญเป็นไข้ไม่คืนคง,แต่ทรุดทรุดแล้วทรงเสมอไป
ครานั้นศรีประจันผู้แม่เถ้า,เห็นลูกสาวซูบเศร้าลงหนักหนา,กลัดกลุ้มคลุ้มคลั่งไม่ฟังยา,มดหมอหามาก็หลายคน
หมอจะเอาอะไรให้ทุกสิ่ง,ข้าไทชายหญิงวิ่งสับสน,วุ่นวายทั้งบ้านแกบานบน,จนใจไม่รู้ว่าเป็นไร
ถามหมอลางหมอว่าไม่ตาย,ลางหมอก็ว่าร้ายเห็นไม่ได้,บ้างก็ว่าลมบาทยักษ์ชักหัวใจ,บ้างก็ว่าไข้เพื่อเลือดระดูทำ
คนเจ็บร้องเสียงเหมือนวัวมอ,อ้ายหมอนั่งหัวร่อหาดูไม่,จะให้มันรักษาไปว่าไร,ไสหัวให้ไปพ้นเรือนกู
หมออยู่ไม่ได้ไปสิ้นเรือน,ศรีประจันด่าเปื้อนสนั่นหู,หาหมอมาให้มากเปลืองหมากพลู,เข้ามาดูลูกแล้วรำคาญใจ
ผอมนักผอมหนาตาบ้องแบว,กอดลูกเข้าแล้วก็ร้องไห้,แม่เฝ้ารักษามาแต่ไร,ก็มิได้เคลื่อนคลายสักเวลา
ไม่รู้ว่าเป็นโรคสิ่งอันใด,คิดคิดผิดใจเป็นหนักหนา,ยาหมอให้กินสิ้นตำรา,เสียเงินสักตะกร้าไปได้แล้ว
อุตส่าห์เถิดนะเจ้ากินข้าวปลา,เอาใจไว้ท่าออพลายแก้ว,แต่ยกทัพขึ้นไปไม่วี่แวว,มิได้แว่วเรื่องราวว่าอย่างไร
ปลอบลูกถูกต้องประคองมือ,กินข้าวต้มฤๅแม่จะต้มให้,ไม่พูดจามาบ้างเป็นอย่างไร,ฤๅผีใครมาเข้าบอกเรามา
ลูกเต้าของเราทำไมมัน,พ่อพันศรผัวข้าฤๅไรขา,จะเซ่นเหล้าข้าวทั้งเต่าปลา,ไม่รู้ว่าพ่อมาอย่าถือใจ
ช่วยลูกพอให้คลายหายขาด,จะทำบุญตักบาตรส่งไปให้,มัวแลบลิ้นปลิ้นตาอยู่ทำไม,ออพิมเป็นไข้มาช่วยกัน
