w1,w2,w3,w4
จะกล่าวถึงนคราเมืองกาศึก,ให้ตั้งฝึกพวกทหารชาญสมร,สะพรั่งพร้อมเสนาประชากร,เจ้านครนามนรินทร์ท้าวสินชัย
เฉลิมยศพระบุตรีนารีรัตน์,ตามกษัตริย์ธิบดินทร์นรินทร์สูร,อันกาศึกเมืองนี้บริบูรณ์,ทั้งตระกูลเศรษฐีพวกมีเรือ
รับสั่งของต่างต่างขึ้นห้างไว้,แล้วขนไปเที่ยวขายข้างฝ่ายเหนือ,ทั้งยุ้งฉางใหญ่ใหญ่ใส่ข้าวเกลือ,ใครขาดเหลือจับจ่ายให้เป็นทาน
จะกล่าวถึงสังฆราชพระบาทหลวง,แต่แล่นล่วงข้ามมหาชลาไหล,สิบห้าวันบรรลุถึงทรงไกร,แกสั่งให้ทอดท่าหน้าสันดอน
ฝ่ายเรือใช้ไปตระเวนเห็นกำปั่น,ประมาณพันจอดรายชายสิงขร,จึงแวะเข้าไต่ถามนามกร,ว่าเรือจรมาแต่ไหนหรือไพรี
ฝ่ายพวกแขกในกำปั่นนั้นจึ่งว่า,เราแล่นมาจากเมืองปตาหวี,เจ้าพารามาเที่ยวชมนที,ลมมันตีพัดพาเภตราไป
ขออาศัยซื้อหากระยาหาร,ทางกันดารสารพัดจะขัดขวาง,ขัดเสบียงอาหารลงย่านกลาง,ไพร่ขุนนางเดิมทีไม่มีกิน
มาเที่ยวชมยมนาสาคเรศ,บังเกิดเหตุลมกล้าฟ้าก็เหลือง,ตีกำปั่นปัดส่งหลงบ้านเมือง,ทั้งขัดเคืองของเสบียงเลี้ยงโยธา
ขุนด่านแจ้งบอกเข้าไปในนิเวศน์,นำเอาเหตุเรื่องราวไปกล่าวหนา,กับท่านขุนเสนีผู้ปรีชา,ให้ทูลฝ่าบาทบงสุ์ดำรงวัง
พอไทท้าวเจ้านิเวศน์เสด็จออก,รีบเอาบอกเข้าประณตบทศรี,อ่านถวายเจ้าจังหวัดปัถพี,ตามคดีขุนด่านให้สารมา
ในอักษรว่ากำปั่นสักพันเศษ,เจ้าประเทศปตาหวีมียศถา,จากประเทศไปเที่ยวชมยมนา,พลัดพาราหลงทางไปกลางชล
ถึงห้าเดือนเฟือนทางสิ้นแผนที่,หลงมานี้สารพัดจะขัดสน,สิ้นเสบียงเลี้ยงเสนาประชาชน,ไปตกวนแทบจะตายวายชีวัน
