w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ใครจะเห็น,แยบคาย,อุบายมั่ง,จะขอฟัง,วาจา,เร่งว่าขาน,ดูปัญญา,มาประจบ,คิดรบราญ,จะทัดทาน,อย่างไร,ในกระบวน,พวกเสนา,ฝรั่ง,ฟังแกถาม,ก็ว่าตาม,แต่ผู้ใหญ่,จะไต่สวน,ข้าพเจ้า,ที่จะให้,ไปใคร่ครวญ,โดยกระบวน,ในตำรา,ที่หารือ
พวกเสนา,ฝรั่ง,ฟังแกถาม,ก็ว่าตาม,แต่ผู้ใหญ่,จะไต่สวน,ข้าพเจ้า,ที่จะให้,ไปใคร่ครวญ,โดยกระบวน,ในตำรา,ที่หารือ,คิดไม่เห็น,เป็นแต่คน,สำหรับใช้,ด้วยอยู่ใต้,บังคับ,เคยนับถือ,แล้วแต่ท่าน,สารพัด,จะหัดปรือ,ให้ขุดรือ,อย่างไร,จะไปตาม
คิดไม่เห็น,เป็นแต่คน,สำหรับใช้,ด้วยอยู่ใต้,บังคับ,เคยนับถือ,แล้วแต่ท่าน,สารพัด,จะหัดปรือ,ให้ขุดรือ,อย่างไร,จะไปตาม,บาทหลวงว่า,ใครจะรู้,เหมือนกูเล่า,ก็เห็นเปล่า,จริงหนอ,แต่ล่อถาม,ไม่เห็นใคร,รู้หลัก,ประจักษ์ความ,ยิ่งชักถาม,ก็ยิ่งเคอะ,เซอะทุกคน
บาทหลวงว่า,ใครจะรู้,เหมือนกูเล่า,ก็เห็นเปล่า,จริงหนอ,แต่ล่อถาม,ไม่เห็นใคร,รู้หลัก,ประจักษ์ความ,ยิ่งชักถาม,ก็ยิ่งเคอะ,เซอะทุกคน,เฮ้อนี่แน่,แยบคาย,อุบายนี้,เห็นจะดี,คิดเห็น,จะเป็นผล,เราคิดทำ,โคมไฟ,ใส่ไกกล,ปล่อยไปบน,เวหา,สักห้าพัน
เฮ้อนี่แน่,แยบคาย,อุบายนี้,เห็นจะดี,คิดเห็น,จะเป็นผล,เราคิดทำ,โคมไฟ,ใส่ไกกล,ปล่อยไปบน,เวหา,สักห้าพัน,เอาดินดำ,ทำไส้,กับไฟกรด,พอเชื้อหมด,ถึงดินดำ,กำมะถัน,ถัาพลัดตก,ลงที่ไหน,เป็นไฟกัลป์,ถึงสามวัน,จึงจะดับ,ระงับเปลว
เอาดินดำ,ทำไส้,กับไฟกรด,พอเชื้อหมด,ถึงดินดำ,กำมะถัน,ถัาพลัดตก,ลงที่ไหน,เป็นไฟกัลป์,ถึงสามวัน,จึงจะดับ,ระงับเปลว,ถูกตึกกว้าน,ร้านโรง,ก็โพลงพลุ่ง,เป็นเปลวฟุ้ง,คงถูก,กระดูกเหลว,ปัญญากู,คิดไว้,มิใช่เลว,เหมือนตกเหว,ขึ้นได้,ดั่งใจปอง
บาทหลวงค่อย,บางเบา,บรรเทาทุกข์,บังเกิดสุข,เห็นผล,คนนับถือ,เพราะความคิด,ของตน,คนจึ่งลือ,มันนับถือ,ตัวกู,ผู้อาจารย์,ที่ทุกข์ร้อน,อ่อนใจ,หายเป็นปลิด,เห็นสมคิด,ปรีดิ์เปรม,เกษมศานต์,ค่อยกินอยู่,หลับนอน,ผ่อนสำราญ,แล้วคิดการ,ปรุงยา,หาน้ำมัน
ที่ทุกข์ร้อน,อ่อนใจ,หายเป็นปลิด,เห็นสมคิด,ปรีดิ์เปรม,เกษมศานต์,ค่อยกินอยู่,หลับนอน,ผ่อนสำราญ,แล้วคิดการ,ปรุงยา,หาน้ำมัน,ประสมดิน,ปืนไว้,จะใส่เชื้อ,เอากรดเจือ,ลงในน้ำ,กำมะถัน,แล้วผูกเป็น,โคมผ้า,ขึ้นห้าพัน,เอาดินคั่น,ไว้ข้างล่าง,วางตะเกียง
ประสมดิน,ปืนไว้,จะใส่เชื้อ,เอากรดเจือ,ลงในน้ำ,กำมะถัน,แล้วผูกเป็น,โคมผ้า,ขึ้นห้าพัน,เอาดินคั่น,ไว้ข้างล่าง,วางตะเกียง,แล้วทำไก,ใส่ลิ้น,เมื่อลมหวน,จะได้ครวญ,ครางเพราะ,เสนาะเสียง,ให้จัดแจง,แต่งเสร็จ,สำเร็จเรียง,เป็นคู่เคียง,ใส่ยา,ทั้งห้าพัน
แล้วทำไก,ใส่ลิ้น,เมื่อลมหวน,จะได้ครวญ,ครางเพราะ,เสนาะเสียง,ให้จัดแจง,แต่งเสร็จ,สำเร็จเรียง,เป็นคู่เคียง,ใส่ยา,ทั้งห้าพัน,อันปัญญา,ฝรั่ง,สังฆราช,แกฉลาด,ยิ่งบุรุษ,สุดขยัน,เกณฑ์พหล,พลรบ,ไว้ครบครัน,ทั้งปืนสั้น,ปืนยาว,ทั้งง้าวทวน
อันปัญญา,ฝรั่ง,สังฆราช,แกฉลาด,ยิ่งบุรุษ,สุดขยัน,เกณฑ์พหล,พลรบ,ไว้ครบครัน,ทั้งปืนสั้น,ปืนยาว,ทั้งง้าวทวน,สำหรับเข้า,แหกค่าย,จัดไว้พร้อม,จะคอยอ้อม,รบระดม,เมื่อลมหวน,สั่งให้พวก,เกณฑ์หัด,จัดกระบวน,ไว้ให้ถ้วน,ตามบังคับ,ทุกทัพชัย
สำหรับเข้า,แหกค่าย,จัดไว้พร้อม,จะคอยอ้อม,รบระดม,เมื่อลมหวน,สั่งให้พวก,เกณฑ์หัด,จัดกระบวน,ไว้ให้ถ้วน,ตามบังคับ,ทุกทัพชัย,แม้ฤกษ์ดี,วันไร,จะได้ยก,ไปข้างบ,กริมท่า,ชลาไหล,อ้ายพวกม้น,ก็จะแตก,แยกกันไป,เราแหกค่าย,พลอยประสม,ระดมยิง
