w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ยังตั้งมั่น,แข็งแรง,หรือหย่อนฤทธิ์,จะได้คิด,รบพุ่ง,เอากรุงศรี,เองจงไป,พูดลวง,ดูท่วงที,ว่ากูนี้,ให้บาทหลวง,มาทวงเมือง,มันจะว่า,อย่างไร,แก้ไขตอบ,ตามระบอบ,ว่าให้รู้,ถึงหูเหือง,ให้มันไป,บอกเล่า,แก่เจ้าเมือง,ว่าบทเบื้อง,แต่บุรม,บุราณการ
มันจะว่า,อย่างไร,แก้ไขตอบ,ตามระบอบ,ว่าให้รู้,ถึงหูเหือง,ให้มันไป,บอกเล่า,แก่เจ้าเมือง,ว่าบทเบื้อง,แต่บุรม,บุราณการ,ของฝรั่ง,ทั้งสิ้น,แผ่นดินเกาะ,พูดให้เหมาะ,ตามหลัก,อย่าหักหาญ,ถึงมันพูด,เกะกะ,อย่าระราน,ฟังอาการ,แข็งอ่อน,ค่อยผ่อนปรน
ของฝรั่ง,ทั้งสิ้น,แผ่นดินเกาะ,พูดให้เหมาะ,ตามหลัก,อย่าหักหาญ,ถึงมันพูด,เกะกะ,อย่าระราน,ฟังอาการ,แข็งอ่อน,ค่อยผ่อนปรน,แล้วเร่งรีบ,กลับมา,เหมือนว่าขาน,ได้คิดการ,รบสู้,ดูอีกหน,แกพาศิษย์,รีบรัด,ไปบัดดล,แจ้งยุบล,แก่ท้าว,เจ้าพารา
แล้วเร่งรีบ,กลับมา,เหมือนว่าขาน,ได้คิดการ,รบสู้,ดูอีกหน,แกพาศิษย์,รีบรัด,ไปบัดดล,แจ้งยุบล,แก่ท้าว,เจ้าพารา,จะขอเรือ,สักลำ,กำปั่นใหญ่,จะใช้ให้,ดาวิด,ผู้ศิษย์หา,ไปประเทศ,เขตแคว้น,แดนลังกา,ดูพารา,เป็นอย่างไร,ไม่สบาย
จะขอเรือ,สักลำ,กำปั่นใหญ่,จะใช้ให้,ดาวิด,ผู้ศิษย์หา,ไปประเทศ,เขตแคว้น,แดนลังกา,ดูพารา,เป็นอย่างไร,ไม่สบาย,เสียเวียงวัง,เสียทั้ง,วาสนา,อ้ายไทยมา,รวบริบ,เอาฉิบหาย,จะใช้ไป,ดูแยบยล,กลอุบาย,แม้นสมหมาย,ชวนกันตี,บุรีคืน
ฝ่ายไทท้าว,โรมพัฒน์,เขาสัตย์ซื่อ,ด้วยนับถือ,ทั่วจังหวัด,ไม่ขัดขืน,จึงตรัสสั่ง,เสนา,ว่ามะรืน,เร่งจัดปืน,ผาใส่,ในเภตรา,ทั้งต้นหน,คนใช้,ในกำปั่น,เจ้าคุณท่าน,จะให้ไป,ในมหา,สาคเรศ,เขตแคว้น,แดนลังกา,ทั้งข้าวปลา,เครื่องเสบียง,ของเลี้ยงคน
ถอนสมอ,รอรา,อยู่หน้าป้อม,สะพรั่งพร้อม,พลไพร่,ทั้งซ้ายขวา,เรือตระเวน,ตามฝั่ง,เกาะลังกา,แล่นออกมา,เห็นกำปั่น,หน้าสันดอน,จึงรอรา,ซาใบ,เข้าไปถาม,พวกแขกล่าม,บอกว่าครู,ผู้สั่งสอน,คือบาทหลวง,ดาวิด,จิตอาวรณ์,เที่ยวสั่งสอน,ศาสนา,ในสามัญ
จะสั่งสอน,ศาสนา,ว่าด้วยโลก,จะดับโศก,นรชน,พวกคนหลง,ขุนด่านแจ้ง,แต่งบอก,ไปโดยจง,ทูลพระองค์,เจ้าบุรินทร์,ปิ่นลังกา,พวกคนใช้,รีบเข้าไป,ยังสถาน,ทูลพระผ่าน,ธิบดินทร์,ปิ่นมหา,กษัตริย์เจ้า,จอมวัง,กรุงลังกา,ให้ทราบฝ่า,บาทบงสุ์,ผู้ทรงชัย
กษัตริย์สุด,สาคร,บวรนาถ,ตรัสประภาษ,แก่เจ้าท่า,ชลาไหล,มันเป็นคน,เจ้าสำนวน,พูดกวนใจ,ครั้นจะให้,มันเข้ามา,ในธานี,ก็จะพูด,ยั่วยวน,กวนโทโส,ทำโกโร,อวดรู้,พูดสูสี,พระจึงสั่ง,กรมท่า,อย่าช้าที,ไปรับที่,เมืองด่าน,ชานนคร
ก็จะพูด,ยั่วยวน,กวนโทโส,ทำโกโร,อวดรู้,พูดสูสี,พระจึงสั่ง,กรมท่า,อย่าช้าที,ไปรับที่,เมืองด่าน,ชานนคร,เขาจะมา,ว่าขาน,สถานไหน,รีบลงไป,ฟังกระทู้,ผู้มาสอน,หรือจะมา,ว่าขาน,การนคร,อันบทกลอน,เขามันเปรื่อง,ที่เรื่องการ
แล้วจัดแจง,แต่งที่,ตึกทำใหม่,ตั้งโต๊ะใหญ่,เก้าอี้,ดีขยัน,ตั้งคนโท,ถ้วยน้ำ,ของสำคัญ,ให้จัดสรร,รับรอง,ล้วนของดี,แล้วแต่งเรือ,เอกชัย,ฝีพายพร้อม,เรือแห่ห้อม,คู่หน้า,ดาดผ้าสี,รีบไปถึง,กำปั่น,ด้วยทันที,ขุนเสนี,ก็ขึ้นไป,ในเภตรา
แล้วแต่งเรือ,เอกชัย,ฝีพายพร้อม,เรือแห่ห้อม,คู่หน้า,ดาดผ้าสี,รีบไปถึง,กำปั่น,ด้วยทันที,ขุนเสนี,ก็ขึ้นไป,ในเภตรา,บาทหลวงว่า,มานั่ง,บนเก้าอี้,สูบบุหรี่,ให้สบาย,ก่อนนายขา,แล้วจะได้,ขึ้นไป,สนทนา,กับมหา,อำมาตย์,ข้าราชการ
บาทหลวงว่า,มานั่ง,บนเก้าอี้,สูบบุหรี่,ให้สบาย,ก่อนนายขา,แล้วจะได้,ขึ้นไป,สนทนา,กับมหา,อำมาตย์,ข้าราชการ,แล้วเรียกพวก,คนใช้,ในกำปั่น,มาพร้อมกัน,สี่คนเหมือน,พลทหาร,สำหรับตาม,ขึ้นไป,ได้ใช้การ,ลุกลนลาน,รีบตรง,มาลงเรือ
แล้วเรียกพวก,คนใช้,ในกำปั่น,มาพร้อมกัน,สี่คนเหมือน,พลทหาร,สำหรับตาม,ขึ้นไป,ได้ใช้การ,ลุกลนลาน,รีบตรง,มาลงเรือ,กับบาทหลวง,พร้อมกัน,มิทันช้า,ขุนเสนา,เร่งให้พาย,ไปฝ่ายเหนือ,ถึงเมืองด่าน,ชานสมุทร,ให้หยุดเรือ,เชิญขึ้นเหนือ,รถา,รีบคลาไคล
กับบาทหลวง,พร้อมกัน,มิทันช้า,ขุนเสนา,เร่งให้พาย,ไปฝ่ายเหนือ,ถึงเมืองด่าน,ชานสมุทร,ให้หยุดเรือ,เชิญขึ้นเหนือ,รถา,รีบคลาไคล,เข้าประตู,เมืองด่าน,ชานสมุทร,แล้วยั้งหยุด,รถเรียง,เคียงไสว,เสนาพา,ดาวิด,ขึ้นบันได,เข้าตึกใหญ่,ท่านเสนี,ผู้ปรีชา
เข้าประตู,เมืองด่าน,ชานสมุทร,แล้วยั้งหยุด,รถเรียง,เคียงไสว,เสนาพา,ดาวิด,ขึ้นบันได,เข้าตึกใหญ่,ท่านเสนี,ผู้ปรีชา,มาคำนับ,จับมือ,เชิญไปนั่ง,ที่โต๊ะตั้ง,เก้าอี้,ที่ปรึกษา,ราชการ,บ้านเมือง,เรื่องนานา,ตั้งน้ำชา,กล้วยขนม,ทั้งนมเนย
มาคำนับ,จับมือ,เชิญไปนั่ง,ที่โต๊ะตั้ง,เก้าอี้,ที่ปรึกษา,ราชการ,บ้านเมือง,เรื่องนานา,ตั้งน้ำชา,กล้วยขนม,ทั้งนมเนย,แล้วเชิญให้,กินอยู่,ดูจริต,มันจะคิด,อย่างไรมั่ง,ฟังเฉลย,บาทหลวงพูด,ชักทำเนียบ,มาเปรียบเปรย,ว่าเราเคย,อยู่ลังกา,มาช้านาน
แล้วเชิญให้,กินอยู่,ดูจริต,มันจะคิด,อย่างไรมั่ง,ฟังเฉลย,บาทหลวงพูด,ชักทำเนียบ,มาเปรียบเปรย,ว่าเราเคย,อยู่ลังกา,มาช้านาน,เมื่อเสียเมือง,เรื่องหลัง,เรายังเด็ก,เดินสารเจ๊ก,เขาไป,ไกลสถาน,ครั้นโตใหญ่,ไปเที่ยวหา,พระอาจารย์,ท่านโองการ,บวชให้,มาหลายปี
เมื่อเสียเมือง,เรื่องหลัง,เรายังเด็ก,เดินสารเจ๊ก,เขาไป,ไกลสถาน,ครั้นโตใหญ่,ไปเที่ยวหา,พระอาจารย์,ท่านโองการ,บวชให้,มาหลายปี,เป็นบาทหลวง,ล่วงรู้ใน,ศาสนา,จึงเที่ยวมา,สอนสั่ง,ทางวิถี,ในประเทศ,เขตแคว้น,แดนบุรี,การชั่วดี,ให้ระงับ,เร่งกลับใจ
เป็นบาทหลวง,ล่วงรู้ใน,ศาสนา,จึงเที่ยวมา,สอนสั่ง,ทางวิถี,ในประเทศ,เขตแคว้น,แดนบุรี,การชั่วดี,ให้ระงับ,เร่งกลับใจ,คนทุกวัน,ชั้นนี้,มีแต่โลภ,หลงละโมบ,ทุจริต,ผิดวิสัย,คิดรวบรุม,คุมเหง,ไม่เกรงใจ,ให้เที่ยวไป,ทุกประเทศ,เขตนคร
เร่งจัดแจง,ป้อมค่าย,ไว้ให้มั่น,ได้เล่นกัน,วุ่นวาย,หนานายหนา,จะดึงดื้อ,อยู่ในวัง,กรุงลังกา,ทั้งเจ้าข้า,จะต้องวิ่ง,เป็นสิงคลี,เสนาใหญ่,ได้ฟัง,นั่งหัวเราะ,ลังกาเกาะ,ก่อนก็ลือ,ว่าถือผี,แต่เดี๋ยวนี้,เป็นของไทย,มิได้มี,ท่านพาที,น่ากลัว,หนังหัวพอง
เสนาใหญ่,ได้ฟัง,นั่งหัวเราะ,ลังกาเกาะ,ก่อนก็ลือ,ว่าถือผี,แต่เดี๋ยวนี้,เป็นของไทย,มิได้มี,ท่านพาที,น่ากลัว,หนังหัวพอง,ผีอ้ายเฒ่า,เจ้ากรรม,มันทำวุ่น,จนเกิดขุ่น,เจ้านาย,พึ่งวายหมอง,ประเดี๋ยวนี้,ผีจะมา,หาไม้พลอง,ต้องรับรอง,ไกล่เกลี่ย,เสียกบาล
ผีอ้ายเฒ่า,เจ้ากรรม,มันทำวุ่น,จนเกิดขุ่น,เจ้านาย,พึ่งวายหมอง,ประเดี๋ยวนี้,ผีจะมา,หาไม้พลอง,ต้องรับรอง,ไกล่เกลี่ย,เสียกบาล,เราจะไป,ทูลท้าว,เจ้านิเวศน์,ให้ทราบเหตุ,เรื่องราว,ท่านกล่าวขาน,จะได้จัด,แจงไป,พ้นภัยพาล,หาถิ่นฐาน,อยู่ใหม่,ดั่งใจปอง
เจ้าบาทหลวง,ดาวิด,เรียกศิษย์หา,คำนับลา,ขุนนาง,พลางสนอง,ถ้าแม้นท่าน,จะสงสัย,ในทำนอง,ขอเชิญลอง,ลงไป,ในเภตรา,ขุนเสนี,รับคำ,ต่างคำนับ,บาทหลวงกลับ,ไปกำปั่น,หวั่นนักหนา,ฟังเขาพูด,มิได้พรั่น,ตันอุรา,ตัวเรามา,ตั้งกระทู้,ดูทำนอง
ขุนเสนี,รับคำ,ต่างคำนับ,บาทหลวงกลับ,ไปกำปั่น,หวั่นนักหนา,ฟังเขาพูด,มิได้พรั่น,ตันอุรา,ตัวเรามา,ตั้งกระทู้,ดูทำนอง,เขากลับว่า,อาจารย์,เป็นผีสาง,ต้องเริศร้าง,ไปแต่ตัว,จนมัวหมอง,ใช้มาหลอก,เขาก็รู้,ดูทำนอง,เหลือจะตรอง,ไม่เห็นท่า,จะราวี
เขากลับว่า,อาจารย์,เป็นผีสาง,ต้องเริศร้าง,ไปแต่ตัว,จนมัวหมอง,ใช้มาหลอก,เขาก็รู้,ดูทำนอง,เหลือจะตรอง,ไม่เห็นท่า,จะราวี,ด้วยปึกแผ่น,แน่นหนา,ถึงมารบ,ที่หลีกหลบ,เขาก็ใหญ่,ทางไล่หนี,เขาตั้งมั่น,กันศัตรู,หมู่ไพรี,จะมาตี,เห็นไม่ได้,ดังใจจง
ฝ่ายเสนี,ที่มารับ,กับบาทหลวง,ตามกระทรวง,เช่นกับผู้,มาสู่หา,ด้วยมิได้,ไปเฝ้า,เจ้าพารา,ต่างพูดจา,ข้อคำ,นำยุบล,ก็กลับไป,ทูลองค์,พระทรงภพ,ตั้งแต่ต้น,จนจบ,อนุสนธิ์,ป่างพระปิ่น,นคเรศ,เกศสกล,ภูวดล,ดำรัส,ตรัสภิปราย
ไม่สิ้นมาด,ปรารถนา,ลังกาเกาะ,อ้ายเจ้าเคราะห์,คนหลง,นี้โฉงเฉง,รู้วิชา,มากมาย,มีหลายเพลง,เที่ยวข่มเหง,บุกรุก,ไปทุกแดน,เมื่อแต่ครั้ง,มังคลาเป็น,สานุศิษย์,มันก็คิด,ให้ลำบาก,ได้ยากแสน,ต้องพลัดพราก,จากนิเวศน์,เสียเขตแดน,ทั้งแตกแตน,พ่อแม่,ไปแต่ตัว
เมื่อแต่ครั้ง,มังคลาเป็น,สานุศิษย์,มันก็คิด,ให้ลำบาก,ได้ยากแสน,ต้องพลัดพราก,จากนิเวศน์,เสียเขตแดน,ทั้งแตกแตน,พ่อแม่,ไปแต่ตัว,เพราะหลงลม,อ้ายเฒ่า,อ้ายเจ้าเล่ห์,มันถ่ายเท,แทบจะแยก,แตกเมียผัว,จนมังคลา,หนีปลอด,ได้รอดตัว,เล่นเอาขรัว,อ่อนฤทธิ์,เที่ยวติดตาม
เพราะหลงลม,อ้ายเฒ่า,อ้ายเจ้าเล่ห์,มันถ่ายเท,แทบจะแยก,แตกเมียผัว,จนมังคลา,หนีปลอด,ได้รอดตัว,เล่นเอาขรัว,อ่อนฤทธิ์,เที่ยวติดตาม,วิสัยชาติ,บาทหลวง,แล้วยั่วศึก,ยังหาญฮึก,ยักลำ,คนซ้ำสาม,เข้าที่ไหน,พาให้,เขาเกิดความ,จนลุกลาม,ไม่รู้สิ้น,เพราะดิ้นรน
วิสัยชาติ,บาทหลวง,แล้วยั่วศึก,ยังหาญฮึก,ยักลำ,คนซ้ำสาม,เข้าที่ไหน,พาให้,เขาเกิดความ,จนลุกลาม,ไม่รู้สิ้น,เพราะดิ้นรน,พระตรัสพลาง,ทางว่า,อย่าปรารภ,คิดสมทบ,เล่นเจ้าครู,ดูอีกหน,นี่มันใช้,สายมาดู,ก็รู้กล,อันแยบยล,เสือเฒ่า,พอเข้าใจ
พระตรัสพลาง,ทางว่า,อย่าปรารภ,คิดสมทบ,เล่นเจ้าครู,ดูอีกหน,นี่มันใช้,สายมาดู,ก็รู้กล,อันแยบยล,เสือเฒ่า,พอเข้าใจ,พระตรัสว่า,อย่าไปกล่าว,จะยาวยืด,จะหวานจืด,ร้อนเย็น,เป็นวิสัย,เขาจะมา,ว่าขาน,ประการใด,เราอย่าไป,ตอบต่อ,ข้อคดี
พระตรัสว่า,อย่าไปกล่าว,จะยาวยืด,จะหวานจืด,ร้อนเย็น,เป็นวิสัย,เขาจะมา,ว่าขาน,ประการใด,เราอย่าไป,ตอบต่อ,ข้อคดี,พระสั่งเสร็จ,แล้วเสด็จ,ขึ้นจากอาสน์,ขุนอำมาตย์,บังคม,ก้มเกศี,ไปสั่งพวก,เมืองด่าน,ชานบุรี,คอยฟังข่าว,เอาคดี,แล้วรีบมา
ฝ่ายดาวิด,คิดเห็น,ไม่เป็นผล,ดูเล่ห์กล,ปึกแผ่น,ยังแน่นหนา,อันเราเปรียบ,เหมือนทูต,มาพูดจา,ไม่เห็นท่า,ทางไหน,จะได้เมือง,จำจะต้อง,กลับไป,ในวันนี้,จะเซ้าซี้,เขาก็รู้,เบื่อหูเหือง,ซึ่งจะมา,รบราญ,ตีบ้านเมือง,ก็เห็นเรื่อง,ที่จะยับ,อัปรา
อีตาเฒ่า,ได้ฟัง,ยิ่งคั่งแค้น,ชะแง้แหงน,อยู่เป็นครู่,ดูเวหา,พระเยซู,อยู่ที่ไหน,จึงไม่มา,ช่วยศิษย์หา,กำจัด,พวกศัตรู,แกโกรธเกรี้ยว,เคี้ยวเหงือก,ดังออดออด,เหมือนหอกสอด,เข้ามาแยง,แทงรูหู,นัยน์ตาโต,เท่ากำปั้น,หันมาดู,ตะคอกขู่,ดาวิด,คิดอย่างไร
แกโกรธเกรี้ยว,เคี้ยวเหงือก,ดังออดออด,เหมือนหอกสอด,เข้ามาแยง,แทงรูหู,นัยน์ตาโต,เท่ากำปั้น,หันมาดู,ตะคอกขู่,ดาวิด,คิดอย่างไร,ที่สอนสั่ง,หวังว่า,แทนตาหู,ไยมิขู่,ให้มันกลัว,หัวไถล,ถึงพลาดท่า,มันจะมา,ทำไมใคร,นิสัยไพร่,เช่นอ้ายนี่,ดีแต่กิน
ที่สอนสั่ง,หวังว่า,แทนตาหู,ไยมิขู่,ให้มันกลัว,หัวไถล,ถึงพลาดท่า,มันจะมา,ทำไมใคร,นิสัยไพร่,เช่นอ้ายนี่,ดีแต่กิน,มิใช่ชาติ,ทองคำ,อ้ายซ้ำเสือก,แกขบเหงือก,ด่าไปดั่ง,ใจถวิล,ใช้ให้ไป,หลอกลวง,ทวงแผ่นดิน,เห็นจะสิ้น,ปัญญา,ทำตาปรอย
มิใช่ชาติ,ทองคำ,อ้ายซ้ำเสือก,แกขบเหงือก,ด่าไปดั่ง,ใจถวิล,ใช้ให้ไป,หลอกลวง,ทวงแผ่นดิน,เห็นจะสิ้น,ปัญญา,ทำตาปรอย,แต่ฝูงสัตว์,เกเร,เดรัจฉาน,ยังเที่ยวคลาน,หาที่อยู่,เช่นปูหอย,นี่มนุษย์,เจียวหนาหวา,ทำตาปรอย,เห็นใช้สอย,กันไม่ได้,ใช่ไก่ชน
แต่ฝูงสัตว์,เกเร,เดรัจฉาน,ยังเที่ยวคลาน,หาที่อยู่,เช่นปูหอย,นี่มนุษย์,เจียวหนาหวา,ทำตาปรอย,เห็นใช้สอย,กันไม่ได้,ใช่ไก่ชน,แกบ่นพลาง,ทางไป,หาไทท้าว,เจ้าแดนด้าว,นคเรศ,แจ้งเหตุผล,เชิญท่านช่วย,ด้วยสักครั้ง,ที่กังวล,ตีสิงหล,ให้วินาศ,ดาษดา
แกบ่นพลาง,ทางไป,หาไทท้าว,เจ้าแดนด้าว,นคเรศ,แจ้งเหตุผล,เชิญท่านช่วย,ด้วยสักครั้ง,ที่กังวล,ตีสิงหล,ให้วินาศ,ดาษดา,ด้วยแรกเริ่ม,เดิมที,มีแต่ครั้ง,พระเยซู,ผู้ตั้ง,ศาสนา,บังคับให้,จอมกษัตริย์,ขัตติยา,เจ้าลังกา,มาแต่ครั้ง,ตั้งนคร
