w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
จะกล่าววัง,ลังกา,วัณฬาราช,เสียหน่อนาถ,นึกหมาย,เหมือนทายฝัน,กับรำภา,ผกาสุ,ลาลีวัน,ปรับทุกข์กัน,เห็นจะมี,หมอดีมา,เพราะหัสไชย,ได้ธง,ลงอักษร,มาถอดถอน,เวทมนตร์,ดลคาถา,ไม่ทันรู้,จู่ไป,เสียไกลตา,จะตรึกตรา,แก้ไข,ฉันใดดี
นางละเวง,เกรงว่า,พวกข้าศึก,จะหาญฮึก,รบพุ่ง,เอากรุงศรี,อนึ่งพระ,อนุชา,กับสามี,ได้หมอดี,มาแก้,จะแปรปรวน,ทางปรึกษา,ปรารมภ์,ระทมทุกข์,ไม่มีสุข,เศร้าสร้อย,ละห้อยหวน,เขาชิงรัก,หักหาญ,เป็นการจวน,จะก่อกวน,การศึก,ให้นึกกลัว
ทางปรึกษา,ปรารมภ์,ระทมทุกข์,ไม่มีสุข,เศร้าสร้อย,ละห้อยหวน,เขาชิงรัก,หักหาญ,เป็นการจวน,จะก่อกวน,การศึก,ให้นึกกลัว,นางยุพา,ลาลี,ทั้งพี่น้อง,ไม่จากห้อง,ร้องไห้,อาลัยผัว,คิดถึงที่,มีท้อง,ให้หมองมัว,ต่างซ่อนตัว,ซบสะอื้น,กลืนน้ำตา
ฝ่ายโฉมยง,องค์ละเวง,วัณฬาราช,คิดถึงบาท,หลวงครู,คู่ปรึกษา,จำจะไป,งอนง้อ,ขอสมา,ขอวิชา,ช่วยประจญ,คนทั้งปวง,จึงแจ้งความ,สามนาง,เหมือนอย่างนึก,จะไปตึก,สังฆราช,พระบาทหลวง,ถึงโกรธา,ด่าทอ,ว่าล่อลวง,เราทั้งปวง,ง้องอน,คงอ่อนใจ
จึงแจ้งความ,สามนาง,เหมือนอย่างนึก,จะไปตึก,สังฆราช,พระบาทหลวง,ถึงโกรธา,ด่าทอ,ว่าล่อลวง,เราทั้งปวง,ง้องอน,คงอ่อนใจ,อย่าถือโทษ,โกรธขึ้ง,ไปพึ่งพระ,เห็นพระองค์,คงจะ,ไม่เสียได้,จงรีบจัด,รถา,หาดอกไม้,จะรีบไป,ขอสมา,ท่านอาจารย์
ทั้งสามนาง,ต่างรับ,คำนับน้อม,มาเตรียมพร้อม,รถา,ที่หน้าฉาน,เทียนข้าวตอก,ดอกไม้,จัดใส่พาน,พร้อมทหาร,แห่แหน,มาแน่นนันต์,นางวัณฬา,อ่าองค์,แล้วทรงเครื่อง,ค่อยย่างเยื้อง,ขึ้นรถ,พระกลดกั้น,นางรำภา,ยุพาสุ,ลาลีวัน,ขึ้นนั่งชั้น,ลดเลื่อน,ให้เคลื่อนคลา
นางวัณฬา,อ่าองค์,แล้วทรงเครื่อง,ค่อยย่างเยื้อง,ขึ้นรถ,พระกลดกั้น,นางรำภา,ยุพาสุ,ลาลีวัน,ขึ้นนั่งชั้น,ลดเลื่อน,ให้เคลื่อนคลา,ถึงกุฎี,ที่ฝรั่ง,สังฆราช,ค่อยลีลาศ,เลียบบันได,ขึ้นไปหา,เห็นพระนั่ง,ตั้งธูป,เทียนบูชา,ขอสมา,หมอบเรียง,เคียงเคียงไป
บาทหลวงแก่,แลเห็น,เขม้นมุ่ง,โมโหฟุ้ง,ร่ำด่า,ไม่ปราศรัย,อีตอแหล,แร่ออกมา,หากูไย,กูมิได้,ปรารถนา,คบค้ามึง,ทั้งเจ้าข้า,หน้าสด,ปดเป็นครอก,มีแต่หลอ,กลวงกู,ไม่รู้ถึง,ไปรับตัว,ผัวเขา,มาเคล้าคลึง,เมียเขาหึง,โรมโรม,เหมือนโหมโรง
ทั้งเจ้าข้า,หน้าสด,ปดเป็นครอก,มีแต่หลอ,กลวงกู,ไม่รู้ถึง,ไปรับตัว,ผัวเขา,มาเคล้าคลึง,เมียเขาหึง,โรมโรม,เหมือนโหมโรง,อียุพา,ลาลี,อีตอแหล,ไม่ทันแก่,จะเป็นม่าย,อีตายโหง,ช่างชักสื่อ,หาผัว,อีตัวโกง,จนท้องโป่ง,ป่องหยอด,ยอดตำแย
นางวัณฬา,สารภาพ,กราบบาทหลวง,ฉันทั้งปวง,ผิดหมด,ปดตอแหล,รู้สึกใน,ใจตัว,ว่าชั่วแท้,สุดแล้วแต่,เจ้าคุณ,กรุณา,ยังเคืองแค้น,แม้นว่า,จะลงโทษ,ไม่ถือโกรธ,เลยสักนิด,ผิดหนักหนา,ฉันไม่มี,ที่เห็น,เป็นกำพร้า,จงเมตตา,หลานรัก,อีกสักครั้ง
ยังเคืองแค้น,แม้นว่า,จะลงโทษ,ไม่ถือโกรธ,เลยสักนิด,ผิดหนักหนา,ฉันไม่มี,ที่เห็น,เป็นกำพร้า,จงเมตตา,หลานรัก,อีกสักครั้ง,จะสัตย์ซื่อ,ถือพระ,ละพยศ,ไม่โป้ปด,ตอแหล,เหมือนแต่หลัง,บาทหลวงด่า,ว่ากูไม่,พอใจฟัง,นางชาววัง,ปากหวาน,น้ำตาลทา
จะสัตย์ซื่อ,ถือพระ,ละพยศ,ไม่โป้ปด,ตอแหล,เหมือนแต่หลัง,บาทหลวงด่า,ว่ากูไม่,พอใจฟัง,นางชาววัง,ปากหวาน,น้ำตาลทา,ถ้าถึงที่,มีการ,มาวานใช้,ส่วนบุญไม่,ได้ทำ,กรรมหนักหนา,กูคิดถึง,คุณท้าว,เจ้าลังกา,กรุณา,นับถือ,คนซื่อตรง
ถ้าถึงที่,มีการ,มาวานใช้,ส่วนบุญไม่,ได้ทำ,กรรมหนักหนา,กูคิดถึง,คุณท้าว,เจ้าลังกา,กรุณา,นับถือ,คนซื่อตรง,ครั้นมาถึง,มึงได้,ครองไอศูรย์,ผ่าประยูร,เสียศักดิ์,กูรักหลง,เสียดายเหลือ,เชื้อกษัตริย์,ขัตติย์วงศ์,ไม่ดำรง,รักศักดิ์,รักแต่ตัว
ครั้นมาถึง,มึงได้,ครองไอศูรย์,ผ่าประยูร,เสียศักดิ์,กูรักหลง,เสียดายเหลือ,เชื้อกษัตริย์,ขัตติย์วงศ์,ไม่ดำรง,รักศักดิ์,รักแต่ตัว,พลอยให้หญิง,สิงหล,ปะปนเปื้อน,แต่เล่นเพื่อน,แล้วมิหนำ,ยังซ้ำผัว,กูเป็นพระ,ละชีวิต,ไม่คิดกลัว,มึงจะคั่ว,หรือจะยำ,มิทำไย
พลอยให้หญิง,สิงหล,ปะปนเปื้อน,แต่เล่นเพื่อน,แล้วมิหนำ,ยังซ้ำผัว,กูเป็นพระ,ละชีวิต,ไม่คิดกลัว,มึงจะคั่ว,หรือจะยำ,มิทำไย,อันร่างเหมือน,เรือนโร,ครับโศกสุข,ตายแล้วทุกข์,มันจะมี,มาที่ไหน,กูสัตย์ซื่อ,ถือมั่น,แม้บรรลัย,จะขึ้นไป,เป็นพระอินทร์,กินสุรา
อันร่างเหมือน,เรือนโร,ครับโศกสุข,ตายแล้วทุกข์,มันจะมี,มาที่ไหน,กูสัตย์ซื่อ,ถือมั่น,แม้บรรลัย,จะขึ้นไป,เป็นพระอินทร์,กินสุรา,นี่ธุระ,อะไร,ที่ไหนหรือ,จึงด้านดื้อ,มากุฎี,อีมุสา,หรือรู้ตัว,กลัวบาป,ที่หยาบช้า,จะสมา,โทษทัณฑ์,หรือฉันใด
นี่ธุระ,อะไร,ที่ไหนหรือ,จึงด้านดื้อ,มากุฎี,อีมุสา,หรือรู้ตัว,กลัวบาป,ที่หยาบช้า,จะสมา,โทษทัณฑ์,หรือฉันใด,กูก็จะ,อนุญาต,ไม่คาดโทษ,หาถือโกรธ,ให้มึงตก,นรกไม่,ถือคุณพระ,ให้ดี,แต่นี้ไป,จงอย่าได้,โป้ปด,ประชดกู
กูก็จะ,อนุญาต,ไม่คาดโทษ,หาถือโกรธ,ให้มึงตก,นรกไม่,ถือคุณพระ,ให้ดี,แต่นี้ไป,จงอย่าได้,โป้ปด,ประชดกู,จงป้องกัน,อันตราย,เสียดายศักดิ์,แม้ไม่รัก,ษายศ,จะอดสู,เห็นพวกพ้อง,ของเขา,ชาวชมพู,มาตั้งอยู่,พร้อมพรั่ง,ระวังภัย
บาทหลวงรับ,จับต้อง,มองพินิจ,อักษรผิด,ลังกาภา,ษาสยาม,เคยเรียนครู,รู้ว่าคือ,หนังสือพราหมณ์,จึงอ่านตาม,ปริศนา,ว่าอย่าทำ,ใครผูกไว้,ไม่แก้,เป็นแม่ม่าย,เคยนอนหงาย,มาแต่ก่อน,จะนอนคว่ำ,พออ่านออก,ดอกร่วง,ยับระยำ,รู้ว่าทำ,ด้วยข้าวตอก,เป็นดอกฟ้า
คือทิศา,ปาโมกข์,โลกเชษฐ์,ผู้วิเศษ,การะเวก,เสกมาให้,ทั้งปริศ,นาว่าเหน็บ,ให้เจ็บใจ,นึกจะใคร่,ลองฤทธิ์,ไม่คิดกลัว,เกลียดแต่มึง,ซึ่งตอแหล,มาแต่หลัง,ให้นึกชัง,น้ำหน้า,กะลาหัว,แล้วร่ำบอก,ดอกฟ้า,เขาว่าตัว,เป็นผู้หญิง,ชิงผัว,ไม่กลัวใคร
เกลียดแต่มึง,ซึ่งตอแหล,มาแต่หลัง,ให้นึกชัง,น้ำหน้า,กะลาหัว,แล้วร่ำบอก,ดอกฟ้า,เขาว่าตัว,เป็นผู้หญิง,ชิงผัว,ไม่กลัวใคร,ซึ่งแต่ก่อน,นอนหงาย,จะกลายคว่ำ,เป็นข้อคำ,เยาะเย้ย,เฉลยไข,มีผัวเหมือน,เดือนหงาย,สบายใจ,พอผัวไป,จะต้องคว่ำ,กินน้ำตา
นางฟังคำ,ร่ำบอก,ยิ่งชอกช้ำ,ทั้งแค้นคำ,ค่อนคิดเป็น,ปริศนา,จึงวิงวอน,ผ่อนผัน,ด้วยปัญญา,เจ้าคุณด่า,ดีใจ,เหมือนให้พร,แต่ครั้งนี้,มิช่วย,เห็นม้วยมิด,อย่าถือผิด,หนหลัง,ช่วยสั่งสอน,แม้ได้ตัว,สินสมุทร,สุดสาคร,เหมือนแต่ก่อน,เห็นจะกลับ,กองทัพไป
ให้มันเข้า,เป่ามนต์,สะกดทัพ,แม้ไม่หลับ,พราหมณ์แก่,คิดแก้ไข,เองเป็นหญิง,ยิงเกาทัณฑ์,ข้ามมันไป,พอมนต์ไสย,เสื่อมหาย,ให้พรายทับ,จึงเอายา,ทาลิ้นอ้าย,สินสมุทร,กับอ้ายสุด,สาคร,ทั้งนอนหลับ,ปลุกให้ตื่น,กลืนน้ำนม,อาคมวับ,จะรักกลับ,ตามมา,ในราตรี
จึงเอายา,ทาลิ้นอ้าย,สินสมุทร,กับอ้ายสุด,สาคร,ทั้งนอนหลับ,ปลุกให้ตื่น,กลืนน้ำนม,อาคมวับ,จะรักกลับ,ตามมา,ในราตรี,นางละเวง,วัณฬา,รำภาเล่า,ทำเหมือนเขา,อย่าให้ผัว,เอาตัวหนี,คอยระวัง,ขังไว้,พอได้ที,ออกไปตี,กองทัพ,ไล่จับตัว
นางละเวง,วัณฬา,รำภาเล่า,ทำเหมือนเขา,อย่าให้ผัว,เอาตัวหนี,คอยระวัง,ขังไว้,พอได้ที,ออกไปตี,กองทัพ,ไล่จับตัว,บรรดาเหล่า,เผ่าพงศ์,วงศ์กษัตริย์,ทั้งข้าเฝ้า,เอามามัด,แล้วตัดหัว,เอาไพร่ไว้,ใช้เล่น,เหมือนเช่นวัว,ตัวกับผัว,จะได้อยู่,เป็นคู่กัน
บรรดาเหล่า,เผ่าพงศ์,วงศ์กษัตริย์,ทั้งข้าเฝ้า,เอามามัด,แล้วตัดหัว,เอาไพร่ไว้,ใช้เล่น,เหมือนเช่นวัว,ตัวกับผัว,จะได้อยู่,เป็นคู่กัน,ต้องลงยันต์,ฟันลิ้น,ให้สิ้นเสร็จ,ถึงพูดเท็จ,ก็เห็นจริง,ทุกสิ่งสรรพ์,แล้วเรียกไป,ในตึก,จารึกยันต์,ลงลิ้นฟัน,ให้สตรี,ทีละคน
ต้องลงยันต์,ฟันลิ้น,ให้สิ้นเสร็จ,ถึงพูดเท็จ,ก็เห็นจริง,ทุกสิ่งสรรพ์,แล้วเรียกไป,ในตึก,จารึกยันต์,ลงลิ้นฟัน,ให้สตรี,ทีละคน,แล้วเอามีด,กรีดถัน,คั้นโลหิต,ทำยาติด,เกลือกกิน,แทรกฝิ่นฝน,รสสตรี,แม้บุรุษ,ปุถุชน,ให้รักทน,ไปไม่รอด,ต้องกอดกัน
แล้วเอามีด,กรีดถัน,คั้นโลหิต,ทำยาติด,เกลือกกิน,แทรกฝิ่นฝน,รสสตรี,แม้บุรุษ,ปุถุชน,ให้รักทน,ไปไม่รอด,ต้องกอดกัน,แล้วสอนว่า,ครั้งนี้,มิตีทัพ,เขาจะจับ,ตัวฆ่า,ให้อาสัญ,ทั้งสี่นาง,ต่างรับ,อภิวันท์,พอสายัณห์,กราบลา,มาในวัง
แล้วสอนว่า,ครั้งนี้,มิตีทัพ,เขาจะจับ,ตัวฆ่า,ให้อาสัญ,ทั้งสี่นาง,ต่างรับ,อภิวันท์,พอสายัณห์,กราบลา,มาในวัง,เรียกย่องตอด,ยอดรัก,มาซักซ้อม,มันรับพร้อม,ใจสม,อารมณ์หวัง,ต่างผูกม้า,มาประทับ,แล้วยับยั้ง,ขึ้นหยุดนั่ง,หน้าพลับพลา,ในราตรี
ฝ่ายทิศา,ปาโมกข์,โลกเชษฐ์,เสกทรายเวท,อาถรรพณ์,ให้กันผี,โรยรอบค่าย,ควายธนู,ประตูมี,ในราตรี,ตรวจตรา,เรียกหากัน,บ้างตีฆ้อง,กองไฟ,มิให้หลับ,เห็นคนจับ,เข่นฆ่า,ให้อาสัญ,กองตระเวน,เกณฑ์รบ,ไว้ครบครัน,คอยป้องกัน,เจ้านาย,รายระวัง
จำจะจัด,สตรี,ที่น้อยน้อย,ให้เคียงคอย,ปรนนิบัติ,ไม่ขัดขวาง,แล้วฝึกหัด,จัดเหล่าสา,วสุรางค์,ที่รูปร่าง,รุ่นราว,สาวน้อยน้อย,ให้สำหรับ,ขับกล่อม,อยู่พร้อมพรัก,ให้ลูกรัก,ร่วมใจ,เรียกใช้สอย,ถือโทนทับ,พับเพียบ,ล้วนเรียบร้อย,ร้องดอกสร้อย,เสียงหวาน,ประสานเพลง
