w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
สินสมุทร,สุดสาคร,บวรนาถ,เชิญพระบาท,บิตุรงค์,เผ่าพงศา,ให้เสด็จ,กลับหลัง,เข้าลังกา,ทั้งเสนา,นักพรต,หมดทุกองค์,สั่งพหล,พลทหาร,โห่เตรียมรถ,มาพร้อมหมด,สมหวัง,ดั่งประสงค์,พวกเกณฑ์แห่,แออัด,จัตุรงค์,ทั้งทวนธง,เขียวแดง,แย่งมังกร
สั่งพหล,พลทหาร,โห่เตรียมรถ,มาพร้อมหมด,สมหวัง,ดั่งประสงค์,พวกเกณฑ์แห่,แออัด,จัตุรงค์,ทั้งทวนธง,เขียวแดง,แย่งมังกร,อภิรุม,ชุมสาย,รายสลับ,แลระยับ,ฉัตรเรียง,เคียงสลอน,เครื่องอาวุธ,เสโล่,แลโตมร,ธนูศร,ดาบดั้ง,ตั้งกระบวน
อภิรุม,ชุมสาย,รายสลับ,แลระยับ,ฉัตรเรียง,เคียงสลอน,เครื่องอาวุธ,เสโล่,แลโตมร,ธนูศร,ดาบดั้ง,ตั้งกระบวน,เชิญเสด็จ,สามกษัตริย์,ขึ้นรถา,เสวกา,แห่แหน,เข้าแดนสวน,เจ็ดกษัตริย์,พร้อมพรัก,แล้วชักชวน,ตามกระบวน,พระมุนินทร์,ปิ่นประชา
อังกาบแก้ว,สายหยุด,พุทธชาด,ระดาดาษ,ดอกระย้า,มหาหงส์,ยี่สุ่นแซม,แกมปน,ต้นประยงคุ์,ประดู่ดง,ดอกเหลือง,เนื่องกันไป,ฝูงกาลิง,จับกิ่ง,อุโลกร้อง,นกยูงทอง,จับยอด,ยางไสว,กาสักจับ,ยืนพลอด,บนยอดไทร,นกเขาไฟ,จับแฟบ,ยืนแอบตัว
ฝูงกาลิง,จับกิ่ง,อุโลกร้อง,นกยูงทอง,จับยอด,ยางไสว,กาสักจับ,ยืนพลอด,บนยอดไทร,นกเขาไฟ,จับแฟบ,ยืนแอบตัว,สาลิกา,จับนิ่ง,บนกิ่งแก้ว,เสียงเจื้อยแจ้ว,คลอเคลีย,ทั้งเมียผัว,เห็นคนมา,บินว่อน,เที่ยวซ่อนตัว,เพราะความกลัว,หนีไป,เสียไกลรัง
สาลิกา,จับนิ่ง,บนกิ่งแก้ว,เสียงเจื้อยแจ้ว,คลอเคลีย,ทั้งเมียผัว,เห็นคนมา,บินว่อน,เที่ยวซ่อนตัว,เพราะความกลัว,หนีไป,เสียไกลรัง,นกขมิ้น,จับแมงเม่า,พลางเคล้าคู่,ซังแชวอ,ยู่พูดพลอด,ยอดมะสัง,กาเรียนดง,ส่งเสียง,สำเนียงดัง,บนยอต,ตรังแซ่ซ้อง,ก้องกังวาน
นกขมิ้น,จับแมงเม่า,พลางเคล้าคู่,ซังแชวอ,ยู่พูดพลอด,ยอดมะสัง,กาเรียนดง,ส่งเสียง,สำเนียงดัง,บนยอต,ตรังแซ่ซ้อง,ก้องกังวาน,โพระดก,จับไม้,มะเดื่อปล้อง,กระทุ้งทอง,จับกระถิน,กินอาหาร,ฝูงกระทา,จับกระทิง,ไม่นิ่งนาน,ร้องประสาน,ควักข้าวตาก,ไปฝากตา
ฝูงแรดร้าย,ควายเปลี่ยว,เที่ยวเลี้ยวลัด,ในป่าชัฏ,พุ่มไม้,ไพรระหง,ทั้งฝูงฬา,กาสร,ในดอนดง,ตุ่นกระจง,จามรี,มีบนเนิน,เจ็ดกษัตริย์,ทัศนา,ในป่าไม้,ยกพลไป,ตามลำเนา,ภูเขาเขิน,ระยะย่าง,ทางไป,พอใจเพลิน,รีบดำเนิน,พลไป,ใกล้ลังกา
ฝ่ายพระยา,วาโหม,ที่อยู่ด่าน,เมืองป่าตาล,พร้อมพรัก,คอยรักษา,ครั้นรู้ข่าว,เจ้านาย,เสด็จมา,ก็ปรีดา,ต้อนรับ,กองทัพพลัน,เอาสิ่งของ,กองราย,ถวายเสร็จ,เชิญเสด็จ,ทรงเดช,เข้าเขตขัณฑ์,เจ็ดกษัตริย์,สุริย์วงศ์,เผ่าพงพันธุ์,ทั้งนักธรรม์,เสวกา,พลากร
เอาสิ่งของ,กองราย,ถวายเสร็จ,เชิญเสด็จ,ทรงเดช,เข้าเขตขัณฑ์,เจ็ดกษัตริย์,สุริย์วงศ์,เผ่าพงพันธุ์,ทั้งนักธรรม์,เสวกา,พลากร,พระอภัย,มุนี,ฤๅษีสาม,เสด็จตาม,มรรคา,หน้าสิงขร,หยุดประทับ,รถา,พลากร,เจ้านคร,นครา,เมืองป่าตาล
