w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
เฉลิมยศ,พระบุตรี,นารีรัตน์,ตามกษัตริย์,ธิบดินทร์,นรินทร์สูร,อันกาศึก,เมืองนี้,บริบูรณ์,ทั้งตระกูล,เศรษฐี,พวกมีเรือ,รับสั่งของ,ต่างต่าง,ขึ้นห้างไว้,แล้วขนไป,เที่ยวขาย,ข้างฝ่ายเหนือ,ทั้งยุ้งฉาง,ใหญ่ใหญ่,ใส่ข้าวเกลือ,ใครขาดเหลือ,จับจ่าย,ให้เป็นทาน
ฝ่ายพวกแขก,ในกำปั่น,นั้นจึ่งว่า,เราแล่นมา,จากเมือง,ปตาหวี,เจ้าพารา,มาเที่ยว,ชมนที,ลมมันตี,พัดพา,เภตราไป,ถึงห้าเดือน,เหมือนอย่างว่า,ใช่ข้าศึก,อย่าได้นึก,เคลือบแคลง,แหนงไฉน,สิ้นแผนที่,แล่นหลง,เวียนวงไป,จำไม่ได้,ขอบเขต,ประเทศทาง
ถึงห้าเดือน,เหมือนอย่างว่า,ใช่ข้าศึก,อย่าได้นึก,เคลือบแคลง,แหนงไฉน,สิ้นแผนที่,แล่นหลง,เวียนวงไป,จำไม่ได้,ขอบเขต,ประเทศทาง,ขออาศัย,ซื้อหา,กระยาหาร,ทางกันดาร,สารพัด,จะขัดขวาง,ขัดเสบียง,อาหาร,ลงย่านกลาง,ไพร่ขุนนาง,เดิมที,ไม่มีกิน
พวกตระเวน,แจ้งกิจจา,พากันกลับ,มาบอกกับ,ขุนด่าน,ชาญสมร,ว่ากำปั่น,ที่มา,หน้าสันดอน,เจ้านคร,ปตาหวี,บุรีเรือง,มาเที่ยวชม,ยมนา,สาคเรศ,บังเกิดเหตุ,ลมกล้า,ฟ้าก็เหลือง,ตีกำปั่น,ปัดส่ง,หลงบ้านเมือง,ทั้งขัดเคือง,ของเสบียง,เลี้ยงโยธา
มาเที่ยวชม,ยมนา,สาคเรศ,บังเกิดเหตุ,ลมกล้า,ฟ้าก็เหลือง,ตีกำปั่น,ปัดส่ง,หลงบ้านเมือง,ทั้งขัดเคือง,ของเสบียง,เลี้ยงโยธา,ขุนด่านแจ้ง,บอกเข้าไป,ในนิเวศน์,นำเอาเหตุ,เรื่องราว,ไปกล่าวหนา,กับท่านขุน,เสนี,ผู้ปรีชา,ให้ทูลฝ่า,บาทบงสุ์,ดำรงวัง
ขุนด่านแจ้ง,บอกเข้าไป,ในนิเวศน์,นำเอาเหตุ,เรื่องราว,ไปกล่าวหนา,กับท่านขุน,เสนี,ผู้ปรีชา,ให้ทูลฝ่า,บาทบงสุ์,ดำรงวัง,พวกเสมียน,เขียนสาร,ให้ม้าใช้,รีบเข้าไป,แจ้งยุบล,เหมือนหนหลัง,คนที่รับ,หนังสือไป,เข้าในวัง,ส่งให้ยัง,เสนา,ในธานี
พวกเสมียน,เขียนสาร,ให้ม้าใช้,รีบเข้าไป,แจ้งยุบล,เหมือนหนหลัง,คนที่รับ,หนังสือไป,เข้าในวัง,ส่งให้ยัง,เสนา,ในธานี,พอไทท้าว,เจ้านิเวศน์,เสด็จออก,รีบเอาบอก,เข้าประณต,บทศรี,อ่านถวาย,เจ้าจังหวัด,ปัถพี,ตามคดี,ขุนด่าน,ให้สารมา
ในอักษร,ว่ากำปั่น,สักพันเศษ,เจ้าประเทศ,ปตาหวี,มียศถา,จากประเทศ,ไปเที่ยวชม,ยมนา,พลัดพารา,หลงทาง,ไปกลางชล,ถึงห้าเดือน,เฟือนทาง,สิ้นแผนที่,หลงมานี้,สารพัด,จะขัดสน,สิ้นเสบียง,เลี้ยงเสนา,ประชาชน,ไปตกวน,แทบจะตาย,วายชีวัน
ถึงห้าเดือน,เฟือนทาง,สิ้นแผนที่,หลงมานี้,สารพัด,จะขัดสน,สิ้นเสบียง,เลี้ยงเสนา,ประชาชน,ไปตกวน,แทบจะตาย,วายชีวัน,มาขอซื้อ,ข้าวปลา,กระยาหาร,พอสำราญ,อิ่มเอม,เกษมสันต์,ขออยู่ซื้อ,หาสัก,พอห้าวัน,พระทรงธรรม์,จะโปรดปราน,สถานใด
เหมือนอกเรา,อกเขา,ก็เร่าร้อน,ต้องอาวรณ์,หลงมา,น่าสงสาร,อย่าต้องซื้อ,ต้องหา,ให้ช้าการ,กับอาหาร,ไม่กระไร,จะให้ปัน,จงไปเชิญ,เจ้าพารา,ขึ้นมาก่อน,มีทุกข์ร้อน,เป็นไฉน,จึ่งผายผัน,อันข้าวของ,เครื่องเสบียง,จะเลี้ยงกัน,เราให้ปัน,ดอกให้คน,มาขนไป
