w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ดูดวงเพชร,เก็จแก้ว,แววสว่าง,แจ่มกระจ่าง,พร่างพราย,เป็นหลายสี,กลัวจะอึง,ถึงพระ,ชนนี,ให้มนตรี,ลอบไปฝัง,ไว้ลังกา,ห้ามมิให้,ใครพูด,ถึงโคตรเพชร,หัวจะเด็ด,ขาดลง,ทั้งวงศา,พวกหญิงชาย,นายไพร่,ที่ได้มา,ชาวเมืองกา,ระเวกนั้น,เจ็ดพันคน
ห้ามมิให้,ใครพูด,ถึงโคตรเพชร,หัวจะเด็ด,ขาดลง,ทั้งวงศา,พวกหญิงชาย,นายไพร่,ที่ได้มา,ชาวเมืองกา,ระเวกนั้น,เจ็ดพันคน,ใช้สีข้าว,เช้าค่ำต้อง,ตรำตราก,ตำดินตาก,ตักน้ำ,ทำถนน,เวลารุ่ง,หุงข้าว,เลี้ยงชาวพล,ใช้แบกขน,ฉุดลาก,เหนื่อยยากครัน
ดูต้นไม้,ไกวกวัด,สะบัดโบก,เขยื้อนโยก,ขย้อนทุก,ต้นรุกขา,ฝูงนกหก,ตกใจ,บินไปมา,ช้างม้าลา,ล้มลุก,ตะคลุกคลาน,ทะเลลึก,ครึกครื้น,เป็นคลื่นคลั่ง,กระทบฝั่ง,ฟูมฟาด,เสียงฉาดฉาน,ชายหญิงยืน,ขึ้นก็ล้ม,ต้องก้มคลาน,ต่างเซซาน,ซวนทรง,ไม่ตรงกาย
ทะเลลึก,ครึกครื้น,เป็นคลื่นคลั่ง,กระทบฝั่ง,ฟูมฟาด,เสียงฉาดฉาน,ชายหญิงยืน,ขึ้นก็ล้ม,ต้องก้มคลาน,ต่างเซซาน,ซวนทรง,ไม่ตรงกาย,ถึงสามวัน,นั้นจึงสิ้น,แผ่นดินไหว,เป็นควันไฟ,มืดมน,อยู่จนสาย,ต่างสงสัย,ไม่รู้ที่,จะดีร้าย,ทั้งหญิงชาย,โจษกัน,จำนรรจา
ฝ่ายฝรั่ง,สังฆราช,ไม่อาจบอก,พูดนอกคอก,เคลือบแฝง,แถลงไข,เหตุเพราะผัว,ตัวจะมา,เหมือนอาลัย,ดินจึงไหว,ให้วิบัติ,อัศจรรย์,สักหน่อยหนึ่ง,มึงจะท้อง,กระป่องเหยาะ,น่าหัวเราะ,รักผัว,ตัวขยัน,แกล้งพูดพร่ำ,ทำนาย,นางอายครัน,ต้องผินผัน,พักตรา,เมินพาที
สักหน่อยหนึ่ง,มึงจะท้อง,กระป่องเหยาะ,น่าหัวเราะ,รักผัว,ตัวขยัน,แกล้งพูดพร่ำ,ทำนาย,นางอายครัน,ต้องผินผัน,พักตรา,เมินพาที,เจ้าคุณเฝ้า,เย้ายั่ว,ผัวที่ไหน,เอาอะไร,มาว่า,น่าบัดสี,คิดขายหน้า,ลาพระ,จรลี,กลับไปที่,ราชฐาน,รำคาญครัน
นางวัณฬา,ว่าตำรับ,บังคับขาด,ประชาราษฎร์,หรือมันจะ,ละวิสัย,ต้องถือศิล,กินบวช,นั้นรวดไป,เห็นไม่ได้,ดังตำรา,ทั้งธานี,จะเกิดเข็ญ,เป็นทุกข์,ถึงลูกหลาน,ไปตรวจด่าน,การบำรุง,ชาวกรุงศรี,กลัวจะทำ,ล้ำเหลือ,จะเชื่อดี,ไปเที่ยวตี,เมืองเขา,ด้วยเยาว์ความ
จะเกิดเข็ญ,เป็นทุกข์,ถึงลูกหลาน,ไปตรวจด่าน,การบำรุง,ชาวกรุงศรี,กลัวจะทำ,ล้ำเหลือ,จะเชื่อดี,ไปเที่ยวตี,เมืองเขา,ด้วยเยาว์ความ,ถึงชนะ,ก็ไม่สิ้น,อรินราช,พยาบาท,เบียดเบียน,เป็นเสี้ยนหนาม,ต้องหนักจิต,คิดอ่าน,การสงคราม,แม่มีความ,เกลียดเหลือ,ด้วยเบื่อใจ
ถึงชนะ,ก็ไม่สิ้น,อรินราช,พยาบาท,เบียดเบียน,เป็นเสี้ยนหนาม,ต้องหนักจิต,คิดอ่าน,การสงคราม,แม่มีความ,เกลียดเหลือ,ด้วยเบื่อใจ,อันลูกเรา,เยาว์อยู่,ไม่รู้ทุกข์,จะอาจอุก,ทำเข็ญ,เป็นไฉน,จะร้ายดี,มิได้รู้,ด้วยอยู่ไกล,หรือจะให้,หามา,เสียธานี
นางรำภา,ว่าวิสัย,ไตรดายุค,ย่อมเป็นศึก,แล้วเป็นสุข,ทุกกรุงศรี,เมื่อถึงคราว,ชาวบุรินทร์,อยู่กินดี,ก็ไม่มี,ยุคเข็ญ,ย่อมเว้นวาย,เมื่อถึงคราว,ชาวนคร,จะร้อนนั้น,จะป้องกัน,ฉันใด,ก็ไม่หาย,ไม่ถึงกรรม,ทำอย่างไร,ก็ไม่ตาย,ถ้าถึงกรรม,ทำลาย,ต้องวายปราณ
