w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายพระปิ่น,ภูวดล,กัมพลรัตน์,คิดจะจัด,แจงคู่ให้,สู่สมาน,กับราเม,ศหน่อไท,อันชัยชาญ,ได้สมาน,ร่วมพงศ์,กับวงศ์เรา,พระเอื้อนอรรถ,ตรัสกับ,มเหสี,จะต้องหา,นารี,โฉมเฉลา,ถึงให้ของ,สิ่งใดใด,เห็นไม่เอา,ก็เห็นเขา,ไม่ประสงค์,จำนงปอง
ดีแล้วน้อง,มันไม่ต้อง,ไปเที่ยวหา,ได้พงศา,พันผูก,สืบลูกหลาน,ทำอย่างไร,จึงจะได้,ให้กุมาร,เห็นรูปทรง,นงคราญ,ก็ครั้งเดียว,แม้นชอบใจ,เราจะได้,ไปสู่ขอ,แต่แม่พ่อ,นงลักษณ์,สักประเดี๋ยว,คงสำเร็จ,เสร็จประสงค์,จำนงเจียว,ถึงบิดเบี้ยว,ไปอย่างไร,คงไม่ฟัง
แม้นชอบใจ,เราจะได้,ไปสู่ขอ,แต่แม่พ่อ,นงลักษณ์,สักประเดี๋ยว,คงสำเร็จ,เสร็จประสงค์,จำนงเจียว,ถึงบิดเบี้ยว,ไปอย่างไร,คงไม่ฟัง,มเหสี,อัญชุลี,สนองอรรถ,ที่ท้าวตรัส,เห็นจะสม,อารมณ์หวัง,ด้วยมารดร,ท้าวอภัย,อยู่ในวัง,ประชวรรั้ง,เรื้อมา,สิบห้าปี
ฉันคิดเห็น,ท่านครู,เป็นผู้เฒ่า,จะเชิญเอา,ไปด้วย,ได้ช่วยหลาน,ให้ไปดู,โรคา,พยาบาล,เป็นตะพาน,จะได้ไป,ในบุรินทร์,พระเห็นชอบ,ตอบว่า,ถ้าเช่นนั้น,ไปเชิญท่าน,ผู้สว่าง,ทางกสิณ,เข้ามาที่,ปรางค์ชัย,ในบุรินทร์,แกรู้สิ้น,สารพัด,ได้จัดแจง
พระเห็นชอบ,ตอบว่า,ถ้าเช่นนั้น,ไปเชิญท่าน,ผู้สว่าง,ทางกสิณ,เข้ามาที่,ปรางค์ชัย,ในบุรินทร์,แกรู้สิ้น,สารพัด,ได้จัดแจง,เหวยสาวใช้,ไปเชิญ,ท่านครูเฒ่า,ว่าตัวเรา,มีธุระ,จะแถลง,นางสาวใช้,รีบไป,แล้วชี้แจง,เล่าแถลง,เชิญเข้าไป,ในพารา
เหวยสาวใช้,ไปเชิญ,ท่านครูเฒ่า,ว่าตัวเรา,มีธุระ,จะแถลง,นางสาวใช้,รีบไป,แล้วชี้แจง,เล่าแถลง,เชิญเข้าไป,ในพารา,เป็นการใหญ่,ใช้คุณ,เข้าไปเฝ้า,ท่านผู้เฒ่า,แจ้งใน,ที่ให้หา,นางสาวใช้,นำเข้าไป,ถึงปรางค์ปรา,ด้วยราชา,นับถือ,แกซื่อตรง
ควรเป็นคู่,สู่สม,อุดมเดช,กับราเม,ศสมพงศ์,ในวงศ์หญิง,อีกอย่างหนึ่ง,จะได้เมือง,รุ่งเรืองจริง,ยังอีกสิ่ง,จะได้ของ,ที่ต้องตา,คือกระบี่,ที่วิเศษ,ในเขตแคว้น,เสมอแม้น,กับมณี,ดีหนักหนา,ของแต่ครั้ง,ตั้งเมือง,สารันมา,พราหมณ์พฤฒา,ได้ในถ้ำ,อันอำไพ
สมเด็จท้าว,เจ้าบุรินทร์,บดินทร์สูร,ได้ฟังทูล,ปรีดิ์เปรม,เกษมศรี,อาจารย์เฒ่า,ทูลลา,ฝ่าธุลี,มาสู่ที่,สำนัก,ตำหนักจันทน์,แถลงเล่า,ราวเรื่องกับ,ราเมศ,ว่าทรงเดช,เจ้ากรุงไกร,ไอศวรรย์,เธอจะหา,นุชนาง,ให้รางวัล,เมืองสารัน,นั้นอนงค์,เป็นวงศ์เธอ
แล้วจึ่งว่า,ข้าแต่,อาจารย์เจ้า,ทำไมเรา,จะพบ,ประสบศรี,แกจึ่งว่า,เราต้องไป,เป็นไมตรี,มเหสี,ของพระยา,จะพาจร,ทั้งท้าวไท,ก็จะไป,กับพ่อด้วย,ไปเยี่ยมป่วย,ท่านย่าสุ,ดาสมร,ข้าจะเป็น,แพทย์รักษา,อย่าอาวรณ์,ช่วยดับร้อน,โรคภัย,ให้หายพลัน
ทั้งท้าวไท,ก็จะไป,กับพ่อด้วย,ไปเยี่ยมป่วย,ท่านย่าสุ,ดาสมร,ข้าจะเป็น,แพทย์รักษา,อย่าอาวรณ์,ช่วยดับร้อน,โรคภัย,ให้หายพลัน,พระชื่นชอบ,ขอบคุณ,การุญรัก,ไม่อายพักตร์,พระเจ้าพี่,ดีขยัน,สนทนา,กับอาจารย์,สำราญครัน,จนสุริ,ยันเย็นดับ,ลับพระเมรุ
