w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายฝรั่ง,มังคลา,คิดปรารภ,ศึกสมทบ,หลายทัพ,เห็นคับขัน,จึงปรึกษา,ฝรั่ง,สิ้นทั้งนั้น,จะผ่อนผัน,คิดอ่าน,ประการใด,พวกคนเก่า,เหล่าขุนนาง,แต่ปางก่อน,เคยราญรอน,รู้เห็น,เป็นไฉน,ที่ยกเพิ่ม,เติมมา,คือว่าใคร,หมวกเสื้อใส่,ปีกปก,เหมือนนกกา
กันนงเยาว์,เสาวคนธ์,วิมลมิ่ง,ซึ่งทรงสิงห์,เหมือนพราหมณ์สง,ครามขยัน,แต่พวกหนึ่ง,ซึ่งเหมือนนก,วิหคนั้น,แต่ก่อนมัน,มิได้มา,ช่วยราวี,ดูเหมือนแขก,แปลกหน้า,ถีบถาโถม,โจนกระโจม,โหมหัก,ดังปักษี,แต่ปางหลัง,ครั้งเมื่อพระ,ชนนี,มารบที่,เมืองใหม่,ทำไกกล
ดูเหมือนแขก,แปลกหน้า,ถีบถาโถม,โจนกระโจม,โหมหัก,ดังปักษี,แต่ปางหลัง,ครั้งเมื่อพระ,ชนนี,มารบที่,เมืองใหม่,ทำไกกล,สินสมุทร,จุดไฟ,เที่ยวไล่จับ,เราจุดรับ,รอบกำแพง,ทุกแห่งหน,ปัจจามิตร,ติดกับ,ถึงอับจน,พอเกิดฝน,ตกระงับ,เพลิงดับไป
พระมังคลา,ว่าทหาร,พาลประมาท,จึงพลั้งพลาด,เสียทัพ,เพราะหลับใหล,ซึ่งข้าศึก,ฮึกหาญ,ประการใด,จะแก้ไข,คิดล้าง,ให้วางวาย,อันแยบยล,กลหนู,สู้พยัคฆ์,เขารู้จัก,จึงไม่ได้,ดังใจหมาย,ที่แปลกอย่าง,ต่างหาก,มีมากมาย,จะยักย้าย,แก้ไข,ผลาญไพรี
อันแยบยล,กลหนู,สู้พยัคฆ์,เขารู้จัก,จึงไม่ได้,ดังใจหมาย,ที่แปลกอย่าง,ต่างหาก,มีมากมาย,จะยักย้าย,แก้ไข,ผลาญไพรี,เราเห็นว่า,ข้าศึก,จะนึกคาด,ว่าไม่อาจ,รบรับ,ถอยทัพหนี,ทั้งพวกเพิ่ม,เติมมา,เวลานี้,เห็นท่วงที,จะประมาท,องอาจใจ
เราเห็นว่า,ข้าศึก,จะนึกคาด,ว่าไม่อาจ,รบรับ,ถอยทัพหนี,ทั้งพวกเพิ่ม,เติมมา,เวลานี้,เห็นท่วงที,จะประมาท,องอาจใจ,จะให้พวก,ชาวละหม่า,นทหารเสือ,ลอบเผาเรือ,ขึ้นที่ท่า,ชลาไหล,ให้พวกพ้อง,กองทัพ,ลงดับไฟ,เราล้อมไล่,ให้มันลง,ข้างคงคา
จะให้พวก,ชาวละหม่า,นทหารเสือ,ลอบเผาเรือ,ขึ้นที่ท่า,ชลาไหล,ให้พวกพ้อง,กองทัพ,ลงดับไฟ,เราล้อมไล่,ให้มันลง,ข้างคงคา,ชิงเอาค่าย,ชายฝั่ง,ออกตั้งมั่น,จงเกณฑ์กัน,ออกสักแสน,ให้แน่นหนา,พวกฝรั่ง,บังคม,ชมปัญญา,จัดโยธา,ห้าหมื่น,ถือปืนรบ
ชิงเอาค่าย,ชายฝั่ง,ออกตั้งมั่น,จงเกณฑ์กัน,ออกสักแสน,ให้แน่นหนา,พวกฝรั่ง,บังคม,ชมปัญญา,จัดโยธา,ห้าหมื่น,ถือปืนรบ,ทั้งทวนยาว,หลาวแหลน,เป็นแสนหนึ่ง,ไม่อื้ออึง,เอะอะ,เงียบสงบ,เห็นเพลิงไหม้,ให้ระดม,ออกสมทบ,เข้ารุมรบ,พร้อมกัน,ตามสัญญา
ฝ่ายพวกพ้อง,กองละหม่า,นทหารยักษ์,เกลี้ยกล่อมมา,สาพิภักดิ์,รักอาสา,ออกหลังป้อม,อ้อมลง,ข้างคงคา,ต่างประดา,น้ำทน,ดำด้นไป,ขึ้นเรือรบ,ครบร้อย,ค่อยค่อยย่อง,เห็นพวกกอง,เรือระงับ,นอนหลับใหล,ค่อยเลี่ยงหลีก,ฉีกชุด,แล้วจุดไฟ,เผาให้ไหม้,เชื้อชัน,น้ำมันยาง
ฝ่ายฝรั่ง,ทั้งหลาย,ชิงค่ายได้,ทั้งนายไพร่,พร้อมพรัก,เข้ารักษา,ฝ่ายนงเยาว์,เสาวคนธ์,ถอยพลมา,พบเชษฐา,กับทั้ง,พระหัสไชย,ทั้งโยธา,วาหุโลม,วาโหมนั้น,ถึงเสียที,มิได้พรั่น,ประหวั่นไหว,ต่างตีฆ้อง,กลองสำหรับ,เรียกทัพชัย,ประชุมไพร่,พร้อมพรั่ง,ริมฝั่งชล
