w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
พระทราบสิ้น,ยินดี,เป็นที่สุด,ด้วยพระนุช,น้องนาถมี,วาสนา,บาทหลวงฉุน,หุนหัน,ด่าวัณฬา,มันชั่วช้า,โฉดเฉา,ช่างเมามัว,ทำเสียชาติ,ศาสนา,ข้างฝาหรั่ง,ไปบวชนั่ง,ฉอเลาะ,ปะเหลาะผัว,ไม่ฝังปลูก,ลูกหลาน,วงศ์วานตัว,มันชาติชั่ว,จริงเจียววะ,อีละเวง
ทำเสียชาติ,ศาสนา,ข้างฝาหรั่ง,ไปบวชนั่ง,ฉอเลาะ,ปะเหลาะผัว,ไม่ฝังปลูก,ลูกหลาน,วงศ์วานตัว,มันชาติชั่ว,จริงเจียววะ,อีละเวง,ให้ศัตรู,ดูถูก,ทำลูกเต้า,ยอมให้เขา,ชาวผลึก,ฮึกข่มเหง,ส่วนพวกพ้อง,ของผัว,มันกลัวเกรง,จริงนะเอง,อีวัณฬา,มันบ้ากาม
ให้ศัตรู,ดูถูก,ทำลูกเต้า,ยอมให้เขา,ชาวผลึก,ฮึกข่มเหง,ส่วนพวกพ้อง,ของผัว,มันกลัวเกรง,จริงนะเอง,อีวัณฬา,มันบ้ากาม,ให้เรือใช้,ไปนัดน้อง,กับสองหลาน,เกณฑ์ทหาร,พร้อมพรั่ง,มาทั้งสาม,จะกำจัด,สัตว์บาป,คิดปราบปราม,ทำสงคราม,ครั้งนี้,ให้มีชัย
ให้เรือใช้,ไปนัดน้อง,กับสองหลาน,เกณฑ์ทหาร,พร้อมพรั่ง,มาทั้งสาม,จะกำจัด,สัตว์บาป,คิดปราบปราม,ทำสงคราม,ครั้งนี้,ให้มีชัย,เอ็งต่อลำ,กำปั่น,สักพันหนึ่ง,เกณฑ์อากึ่ง,ตั้งทำ,ริมน้ำไหล,ยาวสามเส้น,เช่นกันหมด,กำหนดไว้,เกณฑ์พวกไพร่,ลงประจำ,ลำละพัน
เอ็งต่อลำ,กำปั่น,สักพันหนึ่ง,เกณฑ์อากึ่ง,ตั้งทำ,ริมน้ำไหล,ยาวสามเส้น,เช่นกันหมด,กำหนดไว้,เกณฑ์พวกไพร่,ลงประจำ,ลำละพัน,เป็นทหาร,ล้านถ้วน,กระบวนทัพ,เรือสำหรับ,ใช้แต่ง,ให้แข็งขัน,น้องนัดดา,มาพร้อม,รวมรอมกัน,แก้แค้นมัน,ไม่ได้,มิใช่ชาย
เป็นทหาร,ล้านถ้วน,กระบวนทัพ,เรือสำหรับ,ใช้แต่ง,ให้แข็งขัน,น้องนัดดา,มาพร้อม,รวมรอมกัน,แก้แค้นมัน,ไม่ได้,มิใช่ชาย,อี่แม่เลี้ยง,เอี้ยงดู,คนผู้เฒ่า,เคยเป็นเจ้า,ชาวกำพล,คนทั้งหลาย,ปลอมไปด้วย,ช่วยว่า,เสนานาย,ถือกฎหมาย,อาชญา,เฆี่ยนฆ่าตี
อี่แม่เลี้ยง,เอี้ยงดู,คนผู้เฒ่า,เคยเป็นเจ้า,ชาวกำพล,คนทั้งหลาย,ปลอมไปด้วย,ช่วยว่า,เสนานาย,ถือกฎหมาย,อาชญา,เฆี่ยนฆ่าตี,พวกเสนา,ข้าเฝ้า,คนเฒ่าแก่,ให้ดูแล,อยู่บำรุง,ชาวกรุงศรี,เร่งคิดอ่าน,การใหญ่,เห็นได้ที,เคราะห์เองคลาย,หลายปี,จะดีครัน
พระมังคลา,ฝาหรั่ง,ฟังบาทหลวง,สั่งกระทรวง,เสนาปรี,ชาขยัน,ให้เร่งรัด,จัดแจง,บอกแบ่งปัน,ต่อกำปั่น,พันลำ,รีบทำการ,ด้วยเมืองเพชร,กำพล,ผู้คนมาก,บ้างฉุดลาก,ถากฟัน,บ้างขันกว้าน,แต่เดือนห้า,มาเดือนเจ็ด,สำเร็จการ,เกณฑ์ทหาร,ลงประจำ,ทุกลำเรือ
ลำที่นั่ง,เหรา,ยาวห้าเส้น,สลักเป็น,เกล็ดกระหนก,แผ่นผกผัน,ล้วนหุ้มทอง,รองเรือง,เครื่องสุบรรณ,เป็นช่องชั้น,บัลลังก์,ล้วนฝังพลอย,เอาเข้มขาบ,ทาบเป็นใบ,ใส่สลับ,ระยางระ,ยับแย่งย้าย,ล้วนสายสร้อย,พร้อมสะพรั่ง,ทั้งพัน,เป็นหลั่นลอย,ต่างเตรียมคอย,หน่อนาถ,จะยาตรา
พระมังคลา,อ่าองค์,สรงสนาน,พนักงาน,คอยถวาย,เครื่องซ้ายขวา,ทรงสำอาง,อย่างฝรั่ง,เมืองลังกา,นางพระยา,ยิ้มย่อง,ประคองเคียง,ฝูงนารี,ที่จะไป,ให้ใช้สอย,ทั้งใหญ่น้อย,สาวแก่,เซ็งแซ่เสียง,เชิญเครื่องอ่าน,พานเครื่องหอม,อยู่พร้อมเพรียง,แล้วแม่เลี้ยง,นำหน้า,มังคลาตาม
